index,source,edge,target,edge-comments,edge-causative,source-isPerson,edge-direction,target-isPerson
45,hepatitis B,is about as difficult to catch as,AIDS,,TRUE,45,TRUE,45
46,hepatitis B,nearly always need to have,blood or sexual contact,,TRUE,46,TRUE,46
47,hepatitis B,main risk factors are,IV drug abusers,,TRUE,47,FALSE,47
48,hepatitis B,main risk factors are those who engage in,sex with multiple partners,,FALSE,48,TRUE,48
49,vaccine-derived immunity,is thought to be,short lived,,FALSE,49,FALSE,49
50,persons,up to 60% who initially respond will lose detectable,antibodies,within 12 years,FALSE,50,TRUE,50
51,hepatitis B vaccines,will provide little to no,protection,,FALSE,51,FALSE,51
52,hepatitis B vaccines,little to no protection to real,risks,,FALSE,52,TRUE,52
53,hepatitis B vaccines,harms far more than it helps,children,,FALSE,53,FALSE,53
54,Vaccine Adverse Event Reporting System (VAERS),developed by government to report,vaccine reactions,,FALSE,54,TRUE,54
55,,many experts believe that only 10 percent of the adverse events are reported,,"generalize numbers? = low percent; also, ""experts""",FALSE,55,TRUE,55
56,,"despite the assertion by conventional health experts that no link has ever been found between vaccines and autism, there are plenty of links, if you know how to look",,,FALSE,56,FALSE,56
57,,"you cannot come to a conclusion on the vaccine-autism issue by looking at studies that examine just one type of vaccine, or one type of ingredient",,,FALSE,57,TRUE,57
58,MMR vaccine,only one studied in association with,autism,,FALSE,58,FALSE,58
59,,where are the rigorous studies demonstrating the cumulative effect of several vaccines administered simultaneously or within a short time span?,,,FALSE,59,TRUE,59
60,,it is illogical and downright ignorant to state that the current vaccination schedule is a-okay and vaccines have nothing to do with the rise in autism,,,FALSE,60,FALSE,60
61,autism rates,have risen to new heights,,,FALSE,61,TRUE,61
62,rate of autism,accepted rate was 1 in 50,,,FALSE,62,FALSE,62
63,autism rates,conservatively increased to 1 in 63,,,FALSE,63,TRUE,63
64,parent-reported cases of autism,100 percent increase in 2007 compared to 2003,,,FALSE,64,TRUE,64
65,,to dismiss the vaccine link with a blanket statement that has not been verified by rigorous scientific study is unconscionable,,,FALSE,65,FALSE,65
66,,we must demand a more rational approach where safety comes before profits,,,FALSE,66,TRUE,66
67,,just like there were links between smoking and lung cancer,,,FALSE,67,FALSE,67
68,,there is enough proof today to call halt to our excessive vaccine program ban any level of mercury in vaccines,,,FALSE,68,TRUE,68
69,newborn boys,more than tripled their risk of developing,autism spectrum disorder,after receiving hep B vaccine,FALSE,69,FALSE,69
70,hepatitis B vaccine,increased use coincides with rise in,autism,,FALSE,70,TRUE,70
71,,"8% of infants received the Hep B vaccine in 1992. at the time ASD rate was 67 in 10,000. in 1996 82% of infants received Hep B vaccine, ASD rate rose to 100 in 10,000",,,FALSE,71,FALSE,71
72,hepatitis B vaccine,contained 25 micrograms,thimerosal,,FALSE,72,TRUE,72
73,thimerosal,contains,mercury,,FALSE,73,TRUE,73
74,thimerosal,long been thought to be contributing factor,autism,,FALSE,74,FALSE,74
75,thimerosal,has potent,neurotoxic effects,,FALSE,75,TRUE,75
76,hepatitis B vaccine,can still damage those with certain genetic factors,myelin,,FALSE,76,FALSE,76
77,children,who received the hepatitis B vaccine were 50 percent more likely to develop,central nervous system inflammatory demyelination,,FALSE,77,TRUE,77
78,GlaxoSmithKine's Energix B,to be the worst of the bunch,vaccine,,FALSE,78,FALSE,78
79,GlaxoSmithKine's Energix B,increasing risk by 74 percent,demyelination,,FALSE,79,TRUE,79
80,GlaxoSmithKine's Energix B,tripled risk of developing,multiple sclerosis,in genetically susceptible people,FALSE,80,FALSE,80
81,GlaxoSmithKine's Energix B,contain 0.5mg,aluminum,,FALSE,81,TRUE,81
82,aluminum,may be even worse than,mercury,,FALSE,82,TRUE,82
83,,there are likely a wide variety of potential factors involved; not just one vaccine or one ingredient,,,FALSE,83,FALSE,83
84,,we need to nkow what all of these exposures in combination mean to the health of our children if we ever want to turn the tide of autism around,,,FALSE,84,TRUE,84
85,thimerosal,is,safe,,FALSE,85,FALSE,85
86,newer studies,dispute,industry-funded findings,,FALSE,86,TRUE,86
87,thimerosal,used as,preservative,,FALSE,87,FALSE,87
88,thimerosal,induces similar to that seen in autism patients,neural damage,,FALSE,88,TRUE,88
89,thimerosal-induced cellular damage,led to,mitochondrial damage,,FALSE,89,FALSE,89
90,thimerosal-induced cellular damage,led to,reduced oxidative-reduction activity,,FALSE,90,TRUE,90
91,thimerosal-induced cellular damage,led to,cellular degeneration,,FALSE,91,TRUE,91
92,thimerosal-induced cellular damage,led to,cell death,,FALSE,92,FALSE,92
93,thimerosal,even low concentrations induced significant,cellular toxicity,,FALSE,93,TRUE,93
94,thimerosal,found to be significantly more toxic than other,metal compounds,,FALSE,94,FALSE,94
95,"Robert F. Kennedy, Jr.",wrote Rolling Stone article exposing truth about,drug industry's greed,,FALSE,95,TRUE,95
96,drug industry,hatched up plan to cover up dangers,thimerosol,,FALSE,96,FALSE,96
97,"CDC, FDA, WHO",secretly gathered to discuss,thimerosol,according to Kennedy's account,FALSE,97,TRUE,97
98,thimerosol,is,toxic heavy metal,,FALSE,98,FALSE,98
99,thimerosol,appeared to be responsible for drastic increase in,autism,,FALSE,99,TRUE,99
100,thimerosol,appeared to be responsible for drastic increase among children,other neurological disorders,,FALSE,100,TRUE,100
101,group of top government scientists and health officials,did not take every precaution to protect,public health,,FALSE,101,FALSE,101
102,group of top government scientists and health officials,plotting how to protect,industry,,FALSE,102,TRUE,102
103,group of top government scientists and health officials,plotting how to protect industry's bottom line by getting rid of,troubling data,,FALSE,103,FALSE,103
104,thimerosal,was eventually removed from the majority of,childhood vaccines,in 2001,FALSE,104,TRUE,104
105,thimerosal,is still used in some,multi-dose vials,,FALSE,105,FALSE,105
106,thimerosal,is present in nearly all,seasonal flu vaccines,,FALSE,106,TRUE,106
107,swine flu vaccines,many will contain 25 mcg of,mercury,,FALSE,107,FALSE,107
108,low-level mercury poisoning,study confirming link between,autism spectrum disorder,,FALSE,108,TRUE,108
109,severe ASDs,children found to have significantly higher levels of,mercury intoxication,,FALSE,109,TRUE,109
110,severe ASDs,higher levels of mercury intoxication than,mild ASDs,,FALSE,110,FALSE,110
111,glutathione,key biochemical in body's pathway,mercury detoxification,,FALSE,111,TRUE,111
112,glutathione,significantly lower in patients diagnosed with,ASD,,FALSE,112,FALSE,112
113,lower glutahione levels,related to,greater severity of autism,,FALSE,113,TRUE,113
114,mercury,is not the only toxin that can affect,glutathione levels,although this study shows relationship between loewr glutathione levels and greater severity of autism,FALSE,114,FALSE,114
115,toxins,plethora in your daily environment that contribute to,toxic load,,FALSE,115,TRUE,115
116,toxins,any number may be contributing to,problem,,FALSE,116,FALSE,116
117,toxic microbes,may be significant contributing factor to,autism,,FALSE,117,TRUE,117
118,endotoxins,may be significant contributing factor to,autism,,FALSE,118,TRUE,118
119,phthalates,may be significant contributing factor to,autism,,FALSE,119,FALSE,119
120,electromagnetic fields,may be significant contributing factor to,autism,,FALSE,120,TRUE,120
121,,it is becoming increasingly necessary to continue to educate yourself and your family on the issues surrounding vaccinations of all kinds,,,FALSE,121,FALSE,121
122,squalene,is another dangerous,vaccine ingredient,,FALSE,122,TRUE,122
123,National Vaccine Information Center,leader for,vaccine safety,,FALSE,123,FALSE,123
