index,source,edge,target,edge-comments
64,vaccines,caused a spike in adverse events for those with,genetic predisposition,
65,vaccine damage,can be correlated to child's,DNA,
66,genetic test,could alert parent or doctor of,risk,of vaccine injury
67,parent,might rationally decide to avoid,vaccinating,
68,medical science,reveals some children more vulnerable than other to,vaccine damage,
69,MTHFR,genetic polymorphism in gene was associated with [adverse events] after,smallpox vaccination,
70,IRF1,genetic polymorphism in gene was associated with [adverse events] after,smallpox vaccination,in 2 independent study samples
71,vaccinia virus-naive subjects,who were enrolled in study developed at [vaccination site],pock formation,
72,vaccinia virus-naive subjects,subset experienced,systemic reactions,
73,systemic reactions,included,fever,
74,systemic reactions,included,rash,
75,systemic reactions,included,regional lymphadenopathy,
76,variant genotypes,three confirmed to be associated with,adverse events,in second study
77,gene products,involved in pathogenesis of,adverse events,
78,child,avoiding vaccinating will prevent from becoming,brain damaged and autistic,
79,brain damaged and autistic,caused by toxic adjuvants and additives in,vaccine,
80,children,could become brain damaged by,toxic adjuvants,
81,children,could become brain damaged by,toxic additives,
82,vaccine,has ,toxic adjuvants,
83,vaccine,has ,additives,
84,genetic correlation,there is with,vaccine damage,
85,vaccine industry,does not want anyone to be aware of vaccine damage with,genetic correlation,
86,vaccine manufacturers,pushing,total quack science delusion,
87,CDC,pushing,total quack science delusion,
88,vaccines harm no children at all,is,total quack science delusion,
89,vaccines,can and do damage some,children,
90,idea,that vaccines harm children not allowed to surface in,mainstream media,
91,vaccine damage,idea isn't allowed to surface,mainstream media,
92,vaccine damage,contradict and expose,CDC,
93,vaccine damage,contradict and expose,Big Pharma,
94,mainstream media,will not expose,outright lies,
95,mainstream media,will not expose,scientific fraud,
96,mainstream media,will not expose,criminal conspiracy,
97,CDC and Big Pharma,has between them,outright lies,
98,CDC and Big Pharma,has between them,scientific fraud,
99,CDC and Big Pharma,has between them,criminal conspiracy,
100,quackery,must be maintained by,vaccine industry,
101,vaccine industry,has,conflicts of interest,
102,vaccine industry,has,medical fraud,
103,vaccine industry,has,financial collusion,
104,quackery,must be maintained by,vaccine industry,
105,quackery,must be maintained or else comes tumbling down,house of cards,
106,California Governor Jerry Brown,will soon have to decide if he's going to commit,medical genocide,
107,medical genocide,against California's,genetically at-risk children,
108,families,have right to know about children's,genetic weaknesses,
109,genetic weaknesses,families must know about before,mandatory vaccinations,letter from concerned citizen
110,genetic defects,affect large number of,general population,letter from concerned citizen
111,general population,15% have 2,mutations in MTHFR C677T enzyme,
112,mutations in MTHFR C677T enzyme,means people are unable to remove from their body,toxins,letter from concerned citizen
113,Mexican descent,approximately 40% have inherited both,MTHFR C677T enzyme defects,letter from concerned citizen
114,Italian descent,approximately 30% have inherited both,MTHFR C677T enzyme defects,letter from concerned citizen
115,French Canadian descent,approximately 40% have inherited both,MTHFR C677T enzyme defects,letter from concerned citizen
116,MTHFR C677T enzyme defects,is like having that has rarely had oil changed,30 year old car,
117,toxins,body can only excrete 20-30% with,MTHFR C677T enzyme defects,
118,toxins,accumulate in,body,
119,toxins,cause all sorts of,health problems,
120,genetic weaknesses,need to know what they are before subjected to,vaccines,
121,genetic weaknesses,need to know what they are before subjected to,vaccine preservatives,
122,genetic counseling,needs to be mandatory requirement prior to,forced vaccinations,
123,genetic testing,needs to be mandatory requirement prior to,forced vaccinations,
124,senators,asking to think this through before more harmed,genetically weakened children,
125,MTHFR C677T defect,can be overridden by taking,methylfolate,
126,MTHFR C677T defect,can be overridden by taking,Vitamin B12,
127,MTHFR C677T defect,never take,folic acid,
128,folic acid,cheap synthetic form of,folate,
129,folic acid,found in most,vitamin supplements,
130,MTHFR C677T defect,cannot break down,folic acid,
131,folic acid,accumulates and becomes,toxic,
132,inexpensive test,for,genetic defects,
133,genetic tests,through doctor's office should be a required covered test under,mandatory Health Law,
134,disclosure,needs to be mandated prior to,forced vaccinations,
135,genetic tests,need to be done prior to,forced vaccinations,
