index,source,edge,target,edge-comments,
92,adverse effects,experienced after flu shot vaccines include,swelling of the brain,,
93,adverse effects,experienced after flu shot vaccines include,partial facial paralysis,,
94,vaccine insert sheets,openly admit most of have never been tested for safety in,pregnant women,,
95,vaccines,are not safe for,pregnant women,,
96,vaccine effects,are unknown on,fetal development,,
97,Gardasil,admits the effects are unknown on,fetal development,,
98,vaccine insert sheets,readily admit they are manufactured with a cocktail of,toxic chemical ingredients,,
99,vaccines,are manufactured with a cocktail of,toxic chemical ingredients,,
100,toxic chemical ingredients,in vaccines including,fetal bovine serum,,
101,fetal bovine serum,is,blood serum of aborted baby cows,,
102,vaccinated children,as many as 97 percent struck by,infectious disease,,
103,vaccines,do not achieve absolute,immunity,,
104,vaccines,are not totally,safe,,
105,vaccines,are not totally,effective,,
106,death,from the very strain of flu she was just vaccinated against in five-year old,girl,,
107,mainstream media,"claims to report honest, unbiased",information about vaccines,,
108,CDC whistleblower,admitting vaccines are linked to,autism,vaccine-autism link,
109,mainstream media,total nationwide blackout on news about,CDC whistleblower,,
110,criminal cover-up,stretches back more than 12 years,CDC,,
111,criminal cover-up,was one of the most,censored medical news stories,of 2014,
112,CDC,falsely claims,vaccines are safe,,
113,CDC,falsely claims,vaccines are effective,,
114,heavy metals,still used in,vaccines,given to children,
115,CDC website,still lists,toxic chemical ingredients,used in vaccines,
116,CDC,still lists toxic chemical ingredients used in vaccines on,CDC website,,
117,toxic chemical ingredients,are used in,vaccines,CDC website lists,
118,mercury,CDC openly admits still used in,vaccines,CDC openly admits,
119,formaldehyde,CDC openly admits still used in,vaccines,CDC openly admits,
120,MSG,CDC openly admits still used in,vaccines,CDC openly admits,
121,aluminum,CDC openly admits still used in,vaccines,CDC openly admits,
122,antibiotics,CDC openly admits still used in,vaccines,CDC openly admits,
123,vaccine industry,does not care about,children,,
124,vaccine industry,calls for arrest of,parents of unvaccinated children,,
125,vaccine industry,calls for breaking up of,families of unvaccinated children,,
126,vaccine industry,begging for,state,,
127,state,to seize at gunpoint,custody of children,vaccine industry wants,
128,state,to incarcerate in prison,parents,vaccine industry wants,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
