id,source,edge,target,edge-comments
55,Norwegian health authorities,urged everyone in 2009 to receive,vaccinations,writes Global Post
56,vaccinations,were urged after WHO designated,swine flu pandemic,
57,Norwegians,more than 2 million people were given,Pandemrix,reports Global Post
58,Pandemrix,given in,unprecedented drive,
59,Pandemrix,is produced by,GlaxoSmithKline,
60,Pandemrix,was used to inoculate up to 30 million people in 47 other,European countries,writes Global Post
61,vaccine damage,is used by,Big Pharma,
62,vaccine damage,is route to selling more,medications,
63,vaccine-damaged children,end up being,big profit centers,for pharmaceutical companies
64,vaccine-damaged children,were damaged in the first place by,pharmaceutical companies,
65,vaccine-damaged children,are children damaged by,defective vaccines,media reports
66,media,reports case after case where children are damaged by,defective vaccines,
67,severe narcolepsy,developed in boy after receiving,Pandemrix,
68,severe narcolepsy,family of boy who developed wants,financial compensation,from GlaxoSmithKline
69,International Business Times,reports about,Peter Todd,
70,Peter Todd,is,lawyer of Pandemrix victims,reports International Business Times
71,Peter Todd,represented many,Pandemrix victims,reports International Business Times
72,Pandemrix victims,have,incurable condition,said Peter Todd
73,Pandemrix victims,have,lifelong condition,said Peter Todd
74,incurable condition,will require,extensive medication,
75,lifelong condition,will require,extensive medication,
76,vaccine-damaged children,generate even more,profits,
77,profits,generated by being damaged for,Big Pharma,
78,Big Pharma,has perfect,sinister revenue model,
79,Big Pharma,is run like a,criminal mafia,
80,Pandemrix,also damaged,NHS medical staff,reports International Business Times
81,NHS medical staff,some were affected by,Pandemrix,reports International Business Times
82,NHS medical staff,because of symptoms were,unable to do their jobs,reports International Business Times
83,NHS medical staff,will be suing,UK government,reports International Business Times
84,NHS medical staff,will be suing for millions in,lost earnings,reports International Business Times
85,Josh Hadfield,is,vaccine-damaged child,reports International Business Times
86,Josh Hadfield,is on,expensive anti-narcolepsy drugs,
87,expensive anti-narcolepsy drugs,help him stay awake during,stay awake during the school day,
88,European Medicines Agency,warned in 2011 against using in under 20 years of age,Pandemrix,reports International Business Times
89,Pandemrix,causes,heightened risk of narcolepsy,in vaccinated children
90,heightened risk of narcolepsy,study indicates 13-fold in,vaccinated children,reports International Business Times
91,GlaxoSmithKline,refused to acknowledge,Pandemrix-narcolepsy link,reports International Business Times
92,pharma-controlled U.S. media,claims none in the United States,vaccine-damaged children,
93,children,were damaged by,swine flu vaccine,
94,swine flu vaccine,damaged 800 children in,United Kingdom,
95,swine flu vaccine,damaged 800 children in,across Europe,
96,pharma-controlled lamestream media,says number is zero of,vaccine-damaged children,
97,vaccine injury denialism,is particularly dangerous form of,delusional junk science,
98,vaccine injury denialism,is present-day,mantra of pharma-controlled press,
99,pharma-controlled press,includes usual suspects such as,Washington Post,
100,pharma-controlled press,includes usual suspects such as,New York Times,
101,pharma-controlled press,includes usual suspects such as,CNN,
102,pharma-controlled press,pretend no,vaccine-damaged children,
103,pharma-controlled press,hopes U.S. public is stupid enough,U.S. public,
104,U.S. public,pharma controlled press hopes U.S. public is stupid enough to believe the,lie,
105,vaccines are safe,is a,lie,
106,children,800 lives were destroyed by,swine flu vaccine,in United Kingdom
107,children,will never again lead,normal life,
108,children,every year tens of thousands more diagnosed with,autism,
109,vaccine industry,is destroying,generation of children,
110,vaccine industry,is committing a,holocaust,
111,"Robert F. Kennedy, Jr.",correctly compared vaccine industry to a,holocaust,
112,sellout media,is covering up,holocaust,
113,vaccinations,are,crime against children,
114,mainstream media,has,sellout editors,
115,mainstream media,has,professional liars,
116,sellout editors,cover up,truth,about vaccine industry
117,professional liars,cover up,truth,about vaccine industry
118,vaccine industry,is maiming by the thousands,children,
119,vaccine industry,has no sense of,humanity,
,,,,
,,,,
,,,,
,,,,
