index,source,edge,target,edge-comments
134,pertussis,in the past decade is on the rise in the,United States,
135,pertussis,can cause,vomiting,
136,pertussis,is,whooping cough,
137,pertussis booster shot,over time,decreasing effectiveness,
138,pertussis booster shot,is given to,preteens,
139,pertussis cases,have sprialled upward in the past decade,Australia,says co-author Associate Professor Manoj Gambhir
140,pertussis cases,"according to CDC 48,000 cases in U.S. in 2012, the most since 1955, even with high",vaccine coverage,for childhood and preteen
141,pertussis in infants,face notably high risk for,death,
142,pertussis in infants,face notably,high-risk,
143,pertussis in infants,face notably high risk for,severe disease,
144,pertussis increase,recent in,Americans,
145,pertussis increase,attributed to  Tdap,waning effectiveness,"similar findings emerged from Wisconsin study, leading the CDC to attribute"
146,pertussis vaccine,sixth dose has been recommended since 2005 for,adolescents,
147,pertussis vaccine,linked to increase in U.S.,cases,
148,pertussis vaccine,improved vaccine is needed says,CDC,
149,pertussis vaccine,current schedule of vaccinations and further booster doses may require,changes,according to Gambhir
150,pertussis vaccine,had concerns about,vaccine duration,
151,pertussis vaccine,is initially effective with 73%,effectiveness,said Dr. Anna Acosta
152,pertussis vaccine,after 2-4 years falls to 34%,effectiveness,said Dr. Anna Acosta
153,pertussis vaccine,modification may have also contributed to the recent,pertussis increase,
154,pertussis vaccine,was developed to address public concerns,vaccine reaction,
155,PLOS Computational Biology,published a paper that found level of protection is lower from new,acellular pertussis vaccine,
156,polarized area,has,Jenny McCarthy,
157,polarized area,has,side of right and good,or you're Jenny McCarthy
158,politicians,"as the U.S. sees a measles flare-up, some seem to jump on the bandwagon",anti-vaccination,Washington Post reports
159,pregnant women,during their third trimester should continue to get,pertussis vaccine,Acosta stressed
160,proposed restrictions,introduced partly in response to,Disneyland measles outbreak,
161,protection,lower level with,acellular pertussis vaccine,Gambhir research finds
162,protested,that SB 277 would deprive young people of,public education,by parents
163,Rand Paul,expected to run for 2016,president,
164,Rand Paul,is,Republican,
165,Rand Paul,said that most,vaccines should be voluntary,KY Senator
166,Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,
167,Richard Pan,altered SB 277 to make it possible for multiple families to join in,home-school,
168,Richard Pan,altered SB 277 with,proposed restrictions,to make it possible for multiple families to join in home-schooling unvaccinated children
169,risk of complications,is lower but still significant for,pertussis in adults,
170,risk of complications,is lower but still significant for,pertussis in teens,
171,Saron Runner,voted against,SB 277,
172,SB 277,removes vaccine exemptions in,California,
173,SB 277,authors agreed to,changes,
174,SB 277,opponents packed,committee hearing room,
175,SB 277,would deprive young people of right to,education,
176,SB 277,change added,vaccination exemption,for students enrolled in independent study program run by public school system
177,SB 277,has struck,fair balance,thinks Ben Allen
178,SB 277,changes make it easier for parents to,home-school,
179,SB 277,will not help those who can't,home-school,
180,SB 277,will not help,low-income family,
181,SB 277,changes make it easier for,parents,
182,SB 277,would eliminate,personal belief exemption,
183,SB 277,altered with,proposed restrictions,
184,SB 277,opponents many said would continue,protest,
185,SB 277,would deprive young people of,public education,
186,SB 277,won't,reach everyone,Ben Allen told education committee
187,SB 277,will increase everyone's safety against,infectious disease,Ben Allen told education committee
188,SB 277,passed by key,Senate committee,
189,SB 277,cleared,Senate Education Committee,on bipartisan vote
190,SB 277,approved by key,Senate panel,
191,SB 277,will not help,single working parent,
192,SB 277,would require more,vaccinated children,in California
193,SB 277,removes,vaccination exemption,in California
194,side effects,difference in risk between standard flu vaccine and high-dose flu vaccine is very,minimal,
195,side effects,are rare,vaccines,
196,standard flu vaccine,is appropriate for,age 65 and older,says CDC
197,standard flu vaccine,works just as well for those,ages 65-84,published in journal Clinical Infectious Diseases
198,state-required vaccinations,on grounds of,personal belief,
199,Tdap,was added to vaccine protocal because of concerns about,vaccine duration,for ages 11 and 12 and adults who never got Tdap; in 2005
200,Tina Kimmel,is former,scientist,with CA Department of Public Health
201,Tina Kimmel,is shocked and disappointed about,SB 277,
202,University of British Columbia,research looking at potential,vaccine-autism link,link between aluminum in vaccines and neurological disorders
203,upward trend,despite low number of,cases,says Gambhir
204,upward trend,despite low number of,cases,says Professor Neil Ferguson
205,upward trend,even though there are currently low number of,pertussis cases,whooping cough
206,vaccinated children,more required before entering,school,
207,vaccination,impact has taken time to show change in,data,
208,vaccination,have decreased whooping cough disease incidence in the,United States,in mid 1970s
209,vaccination exemption,added to SB 277 for,students enrolled in independent study program,run by public school system
210,vaccine debate,often spearheaded by,celebrities,
211,vaccine debate,often spearheaded by,nonprofit organizations,
212,vaccine debate,is,polarized area,said Renee Gentry
213,vaccine debate,funding comes from a number of,wealthy family foundations,
214,vaccine efficacy,is still high,acelluar vaccine,
215,vaccine efficacy,drop significant of acellular vaccine when compared to,whole-cell vaccine,according to Gambhir
216,vaccine refusal,may have caused rise in,disease,in small clusters says Gambhir
217,vaccine refusal,clusters cannot account for generalised rise in,disease,Gambhir says
218,vaccine risk,are far lower than the potential for permanent damage or death caused by,vaccine-preventable diseases,
219,vaccines,cause various,childhood illnesses,
220,vaccines,cause,cognitive disorders,
221,vaccines,are very,effective,said Renee Gentry
222,vaccines,are,for-profit,said Renee Gentry
223,vaccines,cause,immune disorders,
224,vaccines,cause,inflammatory disorders,
225,vaccines,are not,magic,said Renee Gentry
226,vaccines,are,man-made,said Renee Gentry
227,vaccines,are not,miracles,said Renee Gentry
228,vaccines,are incredibly,necessary,said Renee Gentry
229,vaccines,are,not perfect,stressed Dr. Anna Acosta
230,vaccines,are not magic,Pez dispensers,said Renee Gentry
231,vaccines,"are very effective, incredibly necessary, man-made, for-profit",pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
232,vaccines,should be treated as,pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
233,vaccines,among children and adolescents are still best way to provide,protection,stressed Dr. Anna Acosta
234,waning immunity,may be an issue in new series of,pertussis vaccine,
235,whole-cell vaccine,caused reactions in some,children,
236,whole-cell vaccine,was very,effective,says Gambhir
237,whooping cough,is,pertussis,
238,young people,would be deprived of,public education,
