index,source,edge,target,edge-comments
125,new strategies,can push past,herd immunity,
126,we,will fail to prevent a very,preventable disease,otherwise
127,Washington State public-private pilot program,trains,pro-vaccine parents,to be community advocates
128,pro-vaccine parents,are trained to be,community advocates,
129,pro-vaccine parents,spread,vaccine message,pro-vaccine message
130,vaccine message,spread on,social media,
131,vaccine message,spread by speaking directly to,neighbors,
132,vaccine message,spread at,schools,
133,vaccine message,spread at,community events,
134,fence sitters,could be encouraged to vaccinate by asking to,make plans ahead of time,
135,employees,were more likely to get flu shot when prompting to write down,date and time for shot,2011 study at midwestern utilities firm
136,date and time for shot,should be,written down,2011 study at midwestern utilities firm
137,flu shots,not as controversial as,MMR shots,
138,measles,is very,preventable disease,
139,teen girls,are receiving important health benefits from,HPV vaccine,
140,teen girls,are receiving important,health benefits,
141,risk of precancerous changed,dropped after,immunization,
142,sexually transmitted virus,causes,cervical cancer,
143,HPV vaccine,protects against,sexually transmitted virus,
144,HPV vaccine,protects against,cervical cancer,
145,vaccine,teen girls who received experienced reduction in,cervical dysplasia,
146,vaccine,teen girls who received suffered fewer cases,genital warts,
147,genital warts,can happen as soon as girl becomes,sexually active,
148,cervical dysplasia,can happen as soon as girl becomes,sexually active,
149,parents,have been delaying vaccination for,daughters,
150,parents,don't think daughters are,sexually active,
151,ages 14 to 17,are,sexually active,
152,sexually active,ages 14 to 17 are,at risk,
153,HPV vaccine,needs to be given before,at risk,
154,HPV vaccine,is recommended,ages 11 or 12,
155,HPV vaccine,is recommended,boys,
156,HPV vaccine,is recommended,girls,
157,HPV vaccination rates,continued to lag in,U.S.,
158,HPV vaccine,is about,preventing cancer,
159,women,only about half have received,one dose of vaccine,
160,women,just a third have received,three-dose course,
161,HPV vaccine,can prevent,cancer,
162,parents,are not running to get kids,protection,
163,cervical dysplasia,tends to be earliest signs of,HPV infection,
164,genital warts,tends to be earliest signs of,HPV infection,
165,protection,girls receive with a few years of inoculation with,HPV vaccine,
166,cervical dysplasia,if left untreated and unchecked,becomes cancer,
167,risk of cervical dysplasia,reduced by 44% for girls who received,vaccine,
168,genital warts,fewer cases in girls eligible for free,HPV vaccine,
169,teen girls,eligible for free HPV vaccine ended up with fewer cases of,genital warts,
170,magnitude of benefits,is surprising in,young age group,
171,HPV vaccine,has,magnitude of benefits,
172,health officials,recommend,HPV vaccine,at age 11 or 12
173,Tdap,is,tetanus/diptheria/pertussis,
174,Tdap,is other,important vaccine,
175,HPV vaccine,given at same time as other important vaccines,Tdap,tetanus/diptheria/pertussis
176,HPV vaccine,given at same time as other important vaccines,meningitis,
177,meningitis,is,important vaccine,
178,Gardasil 4,protects against 4 strains,human papillomavirus,HPV
179,Cervarix,protects against 2 strains,human papillomavirus,HPV
180,Gardasil 9,protects against 9 strains,human papillomavirus,HPV
181,parents,many are hung up on fact that vaccine is for,sexually transmitted virus,
182,health care providers,many are hung up on fact that vaccine is for,sexually transmitted virus,
183,parents,fail to grasp that HPV vaccine is first to,prevent cancer,
184,health care providers,fail to grasp that HPV vaccine is first to,prevent cancer,
185,waiting longer,could mean less potent,immune response,
186,waiting longer,leads to less effective,protection,
187,immune response,could be less potent after waiting longer to get,vaccine,
188,immune response,if less potent leads to less effective,protection,
189,HPV vaccine,let's not make it about,sex,
190,HPV vaccine,is about,preventing cancer,
191,HPV vaccine,has,benefits,
192,HPV vaccine benefits,can be seen in,high school girls,
193,HPV vaccine,prevents,cervical cancer,in women
194,HPV vaccine,protection against,genital warts,in women
195,HPV vaccine,protection against,cervical dysplasia,in women
196,high school girls who received Gardasil,were less likely than those unvaccinated to be diagnosed with,cervical dysplasia,three doses
197,Gardasil,appeared to reduce risk of,genital warts,
198,Gardasil,billed as vaccine against,cervical cancer,
199,cervical cancer,typically strikes in 40s or 50s,women,
200,CDC,recommends girls get vaccinated when 11 or 12,Gardasil,when 11 or 12
201,CDC,recommends boys get vaccinated when 11 or 12,Gardasil,when 11 or 12
202,girls,should get vaccinated with,Gardasil,when 11 or 12
203,boys,should get vaccinated with,Gardasil,when 11 or 12
204,girls,should get vaccinated with Gardasil before exposed to,HPV,CDC recommends
205,boys,should get vaccinated with Gardasil before exposed to,HPV,CDC recommends
206,girls,should get vaccinated with Gardasil before,sexually active,CDC recommends
207,boys,should get vaccinated with Gardasil before,sexually active,CDC recommends
208,parents,many have no sense of urgency about,Gardasil,
209,parents,many have no,sense of urgency,about Gardasil
210,girls,only 57% between ages 13 and 17 had received,one dose Gardasil,CDC report
211,girls,only 38% between ages 13 and 17 had received,three doses Gardasil,CDC report
212,parents,believe no harm in,delaying Gardasil,researchers say
213,parents,are putting at risk,daughters' health,researchers say
214,delaying Gardasil,puts at risk,daughters' health,
215,Gardasil,targets four main,HPV strains,
216,Gardasil,can prevent,variety of medical conditions,
217,variety of medical conditions,some may lead to,cervical cancer,
218,protection,from Gardasil kicks in,fast,study results show
219,HPV vaccine benefits,observed in,young age group,strengthens vaccination recommendations
220,HPV vaccine benefits,strengthens,vaccination recommendations,
221,vaccinated,few girls vaccinated if not eligible for,free vaccine,
222,free vaccine eligible girls,even if eligible on 50.6% got,three doses Gardasil,
223,cervical dysplasia,characterized by,abnormal cells,
224,cervical dysplasia,can lead to,cervical cancer,
225,vaccinated girls,5.7 fewer cases per 1000,cervical dysplasia,than unvaccinated girls
226,free vaccine eligible girls,2.32 fewer cases,cervical dysplasia,than non-free vaccine eligible girls
227,cervical dysplasia,one case averted for every 175,vaccinated girls,
228,genital warts,also caused by,HPV,
229,free vaccine eligible girls,.34 fewer cases,genital warts,than non-free vaccine eligible girls
230,vaccinated girls,.83 fewer cases,genital warts,than unvaccinated girls
231,strong evidence,of,positive health impact,
232,positive health impact,of,Gardasil vaccine,on teens
233,Cervarix,similar to,Gardasil,
234,Cervarix,approved for use in United States targets two,HPV strains,
235,new version of Gardasil,similar to,Gardasil,
236,new version of Gardasil,approved for use in,United States,
237,new version of Gardasil,targets nine,HPV strains,
238,policy makers,can use findings to substantiate arguments against,delaying vaccination,
239,physicians,can use findings to substantiate arguments against,delaying vaccination,
240,delaying vaccination,may result in missed,prevention opportunities,study authors concluded
241,vaccines,scientifically proven to be best way to prevent the,spread of communicable diseases,
242,families,in Arizona are choosing,choosing not to vaccinate children,in Arizona
243,families,in Arizona number is increasing,choosing not to vaccinate children,in Arizona
244,families,in the US number is increasing,choosing not to vaccinate children,in the U.S.
245,Disneyland outbreak,created a firestorm of,interest in vaccinations,
246,Disneyland outbreak,produced largest number of cases since considered eliminated,measles,
247,parents,can choose to exempt their children from required childcare and school vaccinations for,personal beliefs,in Arizona
248,parents,can choose to exempt their children from required childcare and school vaccinations for,religious reasons,in Arizona
249,parents,can choose to exempt their children from required childcare and school vaccinations for,medical exemption,in Arizona
250,children,can be exempted from,required vaccinations,
251,required vaccinations,can be exempt for,personal belief reasons,
252,required vaccinations,can be exempt for,religious reasons,
253,required vaccinations,can be exempt if child has,medical issue,
254,exemption rates,went down in Arizona for 2014-2015 in,childcare,
255,exemption rates,went down in Arizona for 2014-2015 in,kindergarten,
256,medical issue,can make dangerous,vaccination,
257,decrease in exemption rates,is,good news,
258,decrease in exemption rates,might be,fluke,
259,decrease in exemption rates,may be,change in mindset of families,
260,Arizona Deparment of Health Services,hopes will continue next year,decrease in exemption rates,the trend
261,decrease in exemption rates,if continues may be due to,Arizona Department of Health Services,
262,decrease in exemption rates,if continues may be due to,concerns,
263,public health,will keep watching and working to help our state reach ,herd immunity,against all vaccine-preventable diseases
264,National Infant Immunization Week,highlight importance of protecting,infants,from vaccine-preventable diseases
265,National Infant Immunization Week,celebrate achievements,immunization programs,
266,Dr. Bill Adams,"is an advocate, educator, champion for",preventive health,"champion for preventive health, educator"
267,vaccines,are successful,public health tools,
268,vaccines,are cost-effective,public health tools,
269,vaccines,help protect,vaccinated individuals,
270,vaccines,help protect,entire communities,
271,vaccines,prevent,spread of infectious diseases,
272,vaccines,reduce,spread of infectious diseases,
273,vaccination,will prevent,illnesses,
274,vaccination,will prevent,hospitalizations,
275,vaccination,will prevent,deaths,
276,vaccinating,is best way to protect by age 2 from,serious childhood diseases,14 serious childhood diseases
277,serious childhood diseases,like,whooping cough,
278,serious childhood diseases,like,measles,
279,diseases,can be especially serious,young children,
280,immunization schedule,is important to follow to protect,young children,
281,immunization schedule,provides in life,early immunity,
282,babies,can be protected before they are born from,whooping cough,
283,whooping cough,is an example,serious childhood diseases,
284,pregnant women,recommended to receive,Tdap vaccine,
285,Tdap vaccine,help protects baby from whooping cough for ,pregnant women,
286,Tdap vaccine,encouraged before meeting,baby,
287,Tdap vaccine,encouraged,parents,
288,Tdap vaccine,encouraged,caregivers,
289,Tdap vaccine,encouraged,close contacts,
290,parents,have not heard of today's vaccines because of,vaccine success,
291,polio,example of great impact in U.S.,vaccines,
292,polio,was America's most feared,disease,
293,polio,no reports in U.S. thanks to,vaccination,
294,vaccine-preventable diseases,still circulate around,U.S.,
295,vaccination,neccesary to protect everyone from,potential outbreaks,
296,rare diseases,are,transmitted around the world,
297,measles increase,is an example of seriousness of,vaccine-preventable diseases,
298,California,largest outbreak,measles,
299,immunization,is a shared,responsibility,
300,Babies,should receive,recommended immunizations,by age of 2
301,infants,should follow,recommended immunization schedule,
302,Children,should follow,recommended immunization schedule,
303,Pregnant women,during third trimester should recieve,Tdap vaccine,
304,Babies at 2 months,can recieve first,whooping couch vaccine,
305,Vaccines,in U.S. have eliminated,Polio,
306,Immunization programs,promotes,healthy communities,
307,Department of Public Health Immunization Program,is proud to announce selection of as Centers for Disease Control and Prevention Childhood Immunization Champion for Massachusetts,Dr. Bill Adams,
308,Dr. Adams,is an advocate for,improved immunization policy and funding,Massachusetts
309,Dr. Adams,is an educator for,parents,
310,Dr. Adams,is an educator for,physicians,
311,Dr. Adams,is an educator for,policy makers,
312,Vaccines,among children born during 1994-2013 will prevent 322 million ,illnesses,
313,Vaccination,among children born during 1994-2013 will prevent 21 million,hospitalizations,
314,infants,are later exposed to,life-threatening diseases,
315,Parents,are encouraged to talk to,child's doctor,to ensure that their baby is up-to-date on immunizations
316,vaccination of pregnant women,helps protect from whooping cough,baby,until baby is vaccinated at 2 months
317,Caregivers,parents should encourage to receive,Tdap vaccine,at least 2 weeks before meeting baby
318,Close contacts,parents should encourage to receive,Tdap vaccine,at least 2 weeks before meeting baby
319,Vaccines,have been succesful in,preventing disease,
320,Families,must work to help protect entire,community,
321,Healthcare professionals,must work to help protect entire,community,
322,Public health officials,must work to help protect entire,community,
323,Programs,in Massachusetts are working to insure,high immunization rates,
324,Partners,in Massachusetts are working to insure,high immunization rates,
325,vaccines,prevent dangerous or even deadly,diseases,
326,vaccines,reduce the,risk of infection,
327,vaccines,work with the body's,natural defenses,
328,vaccines,help the body safely develop,immunity,
329,vaccines,help develop imminty by imitating an,infection,
330,vaccines,do not cause,illness,
331,vaccines,cause the immune system to develop the same response as it does to a real,infection,so that the body can recognize and fight the vaccine-preventable disease in the future
332,vaccine,sometimes the imitation infection can cause,minor symptoms,
333,minor symptoms,are normal and should be expected as the body builds,immunity,
334,vaccines,help body safely develop,immunity to diseases,
335,vaccines,help develop,immunity,
336,imitation infection,does not cause,illness,
337,imitation infection,causes to develp same response as to real infection,immune system,
338,body,can recognize and fight in future,VPD,
339,minor symptoms,such as,fever,
340,minor symptoms,are,normal,
341,minor symptoms,should be,expected,
342,MMR vaccine,no evidence it raises,autism risk,april 21 issue of J of Am Med Assoc
343,children at increased genetic risk,no evidence it raises,autism risk,
344,no evidence,MMR vaccine raises,autism risk,
345,MMR vaccine-autism link,roots of theory in,Wakefield study,
346,Wakefield study,later found to be,fraudulent,
347,numerous international studies,have found no evidence for,MMR vaccine-autism link,
348,parents,still some remain,worried,
349,parents,who already have a child with autism seem even more concerned,child with autism,parents of kids with ASD
350,Jain study,finds no,vaccine-autism link,
351,autism,no increased risk even among,children at increased genetic risk,
352,parents of children with ASD,are more likely,delaying vaccinations,Dr. Bryan King said research has shown
353,delaying vaccinations,puts at risk of potentially serious infections,children,said Dr. Anjali Jain
354,health officials,blame,parents who choose to delay vaccination,for disease reappearance
355,measles reappearance,health officials blame in part on,parents who choose to delay vaccination,
356,United States,in recent years has seen a rising rate of,ASD,
357,child,one in 68 kids has some form of,ASD,according to latest federal estimates
358,genes,it is known that genes make certain children more vulnerable to,autism,
359,children with affected older sibling,are at higher-than-average risk,autism risk,increased risk
360,environmental factors,also have to play a role,autism,
361,ASD,range widely in,severity,
362,children with ASD,some have mild,problems with social interactions,
363,children with ASD,some are,unable to speak,
364,children with ASD,some focus on limited number of,repetitive behaviors,
365,children,some have,genetic predisposition,
366,genetic predisposition,makes more vulnerable to,autism,
367,environmental factors,must play a,role,experts believe
368,theory,of autism is,triple hit,said Dr. Bryan King
369,triple hit,includes,genetic predisposition,
370,triple hit,includes,environmental trigger,
371,environmental trigger,strikes during particular window in,brain development,
372,MMR vaccine,is not that,environmental trigger,say health experts
373,MMR vaccine,no evidence that it raised,autism risk,in either group of children
374,children with affected older sibling,no evidence that MMR vaccine raised,autism risk,
375,children without affected older sibling,no evidence that MMR vaccine raised,autism risk,
376,children with affected older sibling and who had received MMR vaccine,were actually one-quarter less likely to be diagnosed with,ASD,one dose by age 2
377,MMR vaccine,is probably not protective against,autism,said Dr. Bryan King
378,vaccination,was not associated with an increased risk in children with or without an affected,sibling,
379,environmental factors,we don't understand those contributing to the exponential rise in,ASD,
380,prenatal development,is,critical period,researchers suspect
381,autism risk,"among more than 322,000 children was elevated among children who had",mothers with pregnancy-related diabetes,researchers found
382,autism-linked genes,some are also involved in regulating,insulin,
383,children with affected older sibling,7% themselves had,ASD,compared with 1% of children without affected older sibling
384,parents who noticed developmental delays,may have,opted-out of vaccination,
385,GlaxoSmithKline,recalling remaining doses of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
386,GlaxoSmithKline,voluntarily initiated,flu vaccine recall,
387,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,potentially may have,reduced effectiveness,
388,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,detected decrease in,vaccine potency,
389,vaccine potency,fell below pre-specified limit prior to expiration of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
390,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,reduced potency does not pose,safety concern,
391,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,is quadrivalent flu vaccine that protects against,influenza viruses,
392,GSK flu vaccine recall,means the vaccine no longer meets the manufacturer's specifications for potency for these particular viruses because of,reduced vaccine potency,
393,reduced vaccine potency,does not necessarily mean people vaccinated received,reduced benefit,
394,CDC,does not recommend revaccination for people who received the recalled,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,
395,vaccinated people,may be,revaccinated,of 2014-2015 FLULAVAL QUADRIVALENT flu vaccine
396,Northern Hemisphere flu vaccine,approved for use in the United States might provide,suboptimal protection,against flu viruses expected to circulate in the Southern Hemisphere
397,HPV vaccine,is effective against,infection at multiple sites,
398,HPV vaccine,provides,partial protection,
399,HPV vaccine,provides partial protection for,women previously exposed to HPV,
400,HPV vaccine,provides partial protection against,high-risk types of HPV,
401,partial protection,provided for,women previously exposed to HPV,
402,young women,protected from,high-risk types of HPV,
403,infection of cervix,is,high-risk types of HPV,
404,infection of anus,is,high-risk types of HPV,
405,infection of mouth,is,high-risk types of HPV,
406,infection of cervix,is primary anatomic site where persistent HPV infections can cause,cancer,
407,infection of anus,is primary anatomic site where persistent HPV infections can cause,cancer,
408,infection of mouth,is primary anatomic site where persistent HPV infections can cause,cancer,
409,multi-site protection,"also observed, though at lower levels, in",women previously exposed to HPV,
410,HPV Vaccine Trial in Costa Rica,previous reports looking at separate sites demonstrated high,vaccine efficacy,
411,HPV Vaccine Trial in Costa Rica,previous reports looking at separate sites demonstrated HPV vaccine is highly effective in providing,multi-site protection,
412,multi-site protection,includes,infection of cervix,
413,multi-site protection,includes,infection of anus,
414,multi-site protection,includes,infection of mouth,
415,HPV Vaccine Trial in Costa Rica,is first to analyze,multi-site protection,"explained Daniel C. Beachler, postdoctoral fellow at NCI"
416,HPV vaccine,brought,reduction in HPV,"of cervix, anus, and mouth"
417,HPV vaccine,brought greatest protection,women without previous HPV,reported Daniel C. Bleacher
418,vaccine efficacy,was lower for,women previously exposed to HPV,
419,HPV vaccine,cannot help clear,current HPV infection,stressed Daniel C. Bleacher
420,HPV vaccine,may provide partial protection at multiple sites in,women previously exposed to HPV,said Daniel C. Bleacher
421,HPV Vaccine Trial in Costa Rica,findings support current,HPV vaccine recommendations,said Daniel C. Bleacher
422,HPV vaccine recommendations,start at,age 11 or 12,
423,HPV vaccine recommendations,are to continue through,age 26,
424,Gardasil,recently approved and protects against seven,cancer-causing types of HPV,
425,MMR vaccines,massive study finds no link to,autism spectrum disorders,
426,JAMA paper,"study of 95,000 children finds no",MMR vaccine-autism link,
427,MMR vaccine-autism link,it seems silly that this is still,argument,
428,vaccines,do not cause,autism,
429,public health organizations,agree that,vaccines do not cause autism,
430,Federal Circuit,agree that,vaccines do not cause autism,
431,The Lancet,agree that,vaccines do not cause autism,
432,JAMA paper,should end once and for all,vaccine debate,
433,MMR vaccine,researchers were unable to find any association with,autism,
434,children with family history of autism,researchers found no association for,MMR vaccine-autism link,
435,scientific paper,there has never been a single high-quality to suggest,MMR vaccine-autism link,
436,studies,numerous have found,vaccines are safe,over past 15 years
437,studies,numerous have found,vaccines are effective,
438,Institute of Medicine,examined large body of epidemiological evidence and confirmed in 2004 that,MMR vaccine does not cause autism,
439,Institute of Medicine,in 2011 reviewed another eight major vaccines and found that,vaccines do not cause autism,
440,CDC,in 2013 tracked 256 children with autism and investigated whether they had received the MMR vaccine and found,MMR vaccine does not cause autism,
441,studies,from several countries proved that,thimerosal is safe,
442,Disneyland measles outbreak,was caused by,unvaccinated children,id
443,MMR vaccine,doesn't cause,autism,
444,MMR vaccine,may lower,autism risk,
445,Wakefield study,had,ill effects,
446,vast amounts of time,spent to counter,ill effects,of Wakefield study
447,vast amounts of money,spent to counter,ill effects,of Wakefield study
448,Wakefield study,claimed to find,MMR vaccine-autism link,
449,vaccines,many parents continue to withhold from,children,because of fear of vaccine-autism link
450,children,many continue to withhold vaccines because of,fear of vaccine-autism link,
451,parents,have fear of,vaccine-autism link,
452,parents,have,fear of vaccine-autism link,
453,fear,parents have that there is,vaccine-autism link,
454,evidence,contradicts,vaccine-autism link,
455,vaccines,have,saved lives,millions
456,vaccines,are probably of past two centuries the greatest,medical advancement,
457,Jain study,adds more weight to evidence about,MMR vaccine safety,
458,Jain study,did not have,suprising results,for those who have followed the science
459,Jain study,shows receipt of,MMR vaccine,not associated with increased ASD risk
460,MMR vaccine,was not associated with increased,ASD risk,Jain study
461,ASD risk,did not increase even in,younger siblings of children with ASD,
462,Jain study,indicates no,harmful association,between MMR vaccine receipt and ASD
463,harmful association,none between,MMR vaccine and ASD,
464,MMR vaccine,no harmful association with,ASD,
465,harmful association,none even for,high-risk children,children at higher risk for ASD
466,previous studies,have already settled,vaccine-autism question,
467,Jain study,should settle,vaccine-autism question,
468,vaccines,cause,autism,is misguided claims
469,vaccines,cause,neurological problems,is misguided claims
470,misguided claims,persist that,vaccines cause autism,
471,misguided claims,persist that,vaccines cause neurological problems,
472,misguided claims,persist thanks to ongoing,activism,
473,activism,ongoing of,anti-vaccine groups,
474,misguided claims,persist thanks to ongoing activism of,anti-vaccine groups,
475,Age of Autism,is such,anti-vaccine groups,
476,Age of Autism,already attacked,Jain study,
477,misguided claims,persist thanks to,conspiracy theories,
478,conspiracy theories,such as,"Robert F. Kennedy, Jr.",
479,"Robert F. Kennedy, Jr.",was campaigning against,vaccines,in Vermont
480,vaccines,unethical to withhold on purpose from,children,
481,withholding vaccines,on purpose is unethical from,children,
482,withholding vaccines,on purpose from children is,unethical,
483,Jain study,was by necessity,observational study,
484,vaccinated children,are somewhat less likely to be diagnosed with autism than unvaccinated children indicated findings of,Jain study,
485,vaccinated children,are somewhat less likely to be diagnosed with,autism,than unvaccinated children
486,vaccinated children,less likely to be diagnosed with autism than,unvaccinated children,indicated findings of Jain study
487,Jain study,indicated statistically significant finding that they are less likely to be diagnosed with autism than unvaccinated high-risk children,vaccinated high-risk children,
488,vaccinated high-risk children,are less likely to be diagnosed with,autism,than unvaccinated high-risk children
