index,source,edge,target,edge-comments
9,high-dose flu vaccine,provided better protection against lab-confirmed flu illness than did the,standard vaccine,says Sanofi Pasteur
10,high-dose flu vaccine,triggered stronger,immune responses,says Sanofi Pasteur
11,side effect risk,difference in side effect risk between standard flu vaccine and high-dose flu vaccine is very,minimal,
12,high-dose flu vaccine,data suggests does a better job of preventing,symptomatic flu infections,
13,high-dose flu vaccine,the jury is still out on whether the high dose truly does a better job of preventing,major flu impacts,from institutional and public health perspective
14,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like,hospitalization of elderly,from institutional and public health perspective
15,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like,death of elderly,from institutional and public health perspective
1,politicians,"as the U.S. sees a measles flare-up, some seem to jump on the",anti-vaccine bandwagon,Washington Post reports
2,Chris Christie,called for some measure of choice on vaccines by parents,vaccine choice,NJ Governor
3,Rand Paul,said that most,vaccines should be voluntary,KY Senator
4,Chris Christie,is,Republican,
5,Rand Paul,is,Republican,
6,Chris Christie,expected to run for 2016,president,
7,Rand Paul,expected to run for 2016,president,
9,medical science,says the evidence is clear,measles vaccination is safe,
10,medical science,says the evidence is clear,whooping cough vaccination is safe,
11,medical science,says the evidence is clear,rubella vaccination is safe,
12,vaccine risks,are far lower than the potential for permanent damage or death caused by,vaccine-preventable diseases,
13,vaccine debate,often spearheaded by,celebrities,
14,vaccine debate,often spearheaded by,nonprofit organizations,
15,vaccine debate,funding comes from a number of,wealthy family foundations,
16,National Vaccine Information Center,"through billboards, the giant Jumbotron display in Times Square, and a film on Delta's (DAL) in-flight video network promotes",vaccine concerns,
17,Dwoskin Family Foundation,started by,Alfred and Lisa Claire Dwoskin,
18,Dwoskin Family Foundation,"has donated $263,000 to",National Vaccine Information Center,
19,Dwoskin Family Foundation,"donated $950,000 to",University of British Columbia,
20,Dwoskin Family Foundation,"donated $950,000 towards some research looking at potential",link between aluminum in vaccines and neurological disorders,
21,University of British Columbia,research looking at potential,link between aluminum in vaccines and neurological disorders,
22,aluminum,in vaccines linked to,neurological disorders,
23,Dwoskin Family Foundation,put money into a film that suggested,vaccines cause childhood illnesses,
24,vaccines,cause various,childhood illnesses,
25,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,immune disorders,
26,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,inflammatory disorders,
27,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,cognitive disorders,
28,vaccines,cause,immune disorders,
29,vaccines,cause,inflammatory disorders,
30,vaccines,cause,cognitive disorders,
31,asthma,since the 1980s has,significantly increased,
32,autism,since the 1980s has,significantly increased,
33,alzheimer's,since the 1980s has,significantly increased,
34,Barry Segal,created,Focus for Health,
35,Focus for Health,"is dedicated to advocacy, education, investigation and research that explores",autism epidemic,
36,Focus for Health,"is dedicated to advocacy, education, investigation and research that explores",chronic illness,
37,Focus for Health,"donated $171,000 to",Generation Rescue,
38,Generation Rescue,started by,Lisa and J.B. Handley,
39,Generation Rescue,headed by,Jenny McCarthy,
40,Generation Rescue,has support from,Andrew Wakefield,according to CNN Money
41,Andrew Wakefield,is former British doctor and co-author of discredited 1998 paper that claimed,MMR vaccine causes autism,
42,Andrew Wakefield,was,discredited,
43,Andrew Wakefield,set off the,anti-vaccine movement,
44,anti-vaccine movement,set off by idea that,MMR vaccine causes autism,
45,Andrew Wakefield,lost his,medical license,
46,autism spectrum disorder,apparent increase of 60% of cases is due to,changes in diagnostic criteria,"according to CBS News, recent study by Danish researchers"
47,autism spectrum disorder,apparent increase of 60% of cases is due to,inclusion of out-of-hospital diagnoses,"according to CBS News, recent study by Danish researchers"
48,MMR vaccine,many studies have refuted the connection between,autism,according to the Immunization Action Coalition
49,Immunization Action Coalition,works closely with,CDC,
1,Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,
2,anti-vaxx movement,is,anti-vaccine movement,
3,anti-vaccine movement,began in late 1990s after publication of now retracted,Wakefield study,
4,measles outbreak,rekindled,anti-vaccine movement,
5,anti-vaccine voices,voices boosted by celebrities like,Jenny McCarthy,
6,anti-vaccine voices,boosted by,celebrities,
7,anti-vaccine voices,have made it difficult for,vaccine-injured children,those who have seen the real but rare side effects of vaccines
8,side effects,are rare,vaccines,
9,vaccine debate,is,polarized area,said Renee Gentry
10,polarized area,has,side of right and good,or you're Jenny McCarthy
11,polarized area,has,Jenny McCarthy,
12,polarized area,has no,in between,
13,parents with vaccine-injured children,lie to,friends and family,
14,parents with vaccine-injured children,lie about,vaccine-injured children,
15,parents with vaccine-injured children,are afraid of being labeled as the,anti-vaxxers,
16,anti-vaxxers,are,anti-vaccine,
17,parents with vaccine-injured children,are afraid of being labeled as the,crazy people,
18,anti-vaxxers,are,crazy people,
19,Drew Downing,is Phoenix,lawyer,who specializes in vaccine injury cases
20,anti-vaccine label,is horrible,misrepresentation,for families who actually have vaccine-injured children
21,anti-vaccine label,is horrible misrepresentation for families who actually have,vaccine-injured children,said Drew Downing
22,anti-vaccine,because you disagree with,government mandate,forcing you to do something
23,anti-vaccine,some are for,the sake of being anti-vaccine,
24,anti-vaccine,because you have good faith,medical belief,that vaccination caused condition
25,anti-vaccine movement,has associated,negative perception,said Renee Gentry
26,negative perception,associated with anti-vaccine movement has made it difficult to have,open conversations,about real risks associated with vaccines
27,open conversations,are difficult to have about,vaccine risks,said Renee Gentry
28,anti-vaccine movement,has made it difficult to have open conversations about real,vaccine risks,said Renee Gentry
29,anti-vaccine movement,has made it difficult to have,open conversations,said Renee Gentry
30,negative perception,is associated with,anti-vaccine movement,said Renee Gentry
31,people,lose their minds if you say you have,vaccine allergy,said Renee Gentry
32,vaccines,are not magic,Pez dispensers,said Renee Gentry
33,vaccines,are not,magic,said Renee Gentry
34,vaccines,are not,miracles,said Renee Gentry
35,vaccines,are very,effective,said Renee Gentry
36,vaccines,"are very effective, incredibly necessary, man-made, for-profit",pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
37,vaccines,are incredibly,necessary,said Renee Gentry
38,vaccines,are,man-made,said Renee Gentry
39,vaccines,are,for-profit,said Renee Gentry
40,vaccines,should be treated as,pharmaceuticals,"very effective, incredibly necessary, man-made, for profit"
