,u,v,adamic_adar
2876,safe level,central nervous system inflammatory demyelination,0.24524606181
2883,safe level,mandatory vaccines,0.533785069988
2899,safe level,vaccines,0.784475468427
2921,safe level,neonatal infection,0.24524606181
2923,safe level,hepatitis B vaccine,0.495936460249
2932,safe level,high risk of non-organic sleep disorder,0.250690398439
2947,safe level,human carcinogen,0.250690398439
2968,safe level,trigger,0.250690398439
2971,safe level,reproductive toxin,0.250690398439
2984,safe level,measles,0.24524606181
2991,safe level,immune-system disruptor,0.250690398439
2999,safe level,learning disabilities,0.24524606181
3024,safe level,vaccine industry,0.784475468427
3033,safe level,pregnant women,0.250690398439
3045,safe level,vaccine reactions,0.24524606181
3046,safe level,preservative,0.539229406617
3066,safe level,diabetes,0.24524606181
3074,safe level,Food and Drug Administration Modernization Act,0.288539008178
3086,safe level,CDC,0.539229406617
3092,safe level,International Business Times,0.24524606181
3101,safe level,single visit,0.24524606181
3104,safe level,asthma,0.24524606181
3108,safe level,toxic heavy metal,0.250690398439
3115,safe level,narcolepsy,0.24524606181
3128,safe level,victims,0.24524606181
3132,safe level,simultaneous vaccinations,0.24524606181
3133,safe level,chewable multivitamin,0.24524606181
3140,safe level,vaccine apologists,0.24524606181
3147,safe level,mercury based preservative,0.250690398439
3149,safe level,toxic chemical ingredients,0.24524606181
3155,safe level,thimerosal-induced cellular damage,0.250690398439
3169,safe level,people,0.288539008178
3177,safe level,WHO vaccine specialists,0.250690398439
3195,safe level,cellular toxicity,0.250690398439
3212,safe level,seasonal flu shot,0.250690398439
3233,safe level,Global Post,0.24524606181
3244,safe level,nervous system,0.288539008178
3248,safe level,Big Pharma,0.24524606181
3252,safe level,pharmaceutical companies,0.250690398439
3261,safe level,ADHD,0.24524606181
3271,safe level,vaccine dangers,0.24524606181
3272,safe level,vaccination,0.24524606181
3277,safe level,The Vaccine and Autism Congressional Hearing,0.250690398439
3287,safe level,teratogen,0.250690398439
3289,safe level,human biology,0.288539008178
3292,safe level,children with severe ASDs,0.288539008178
3293,safe level,rational doctor,0.288539008178
3297,safe level,brain-damaged,0.24524606181
3304,safe level,autism,0.495936460249
3321,safe level,deaths,0.24524606181
3323,safe level,parent's right,0.24524606181
3327,safe level,normal life,0.24524606181
3337,safe level,metal compounds,0.250690398439
3343,safe level,SB 277,0.24524606181
3344,safe level,fetal toxin,0.250690398439
3368,safe level,multi-dose vials,0.250690398439
3386,safe level,informed consent,0.24524606181
3398,safe level,chronic disease,0.24524606181
3430,biological weapons,polio vaccine,0.352956123865
3532,biological weapons,tetanus vaccine,0.352956123865
3650,biological weapons,smallpox vaccination,0.352956123865
3678,biological weapons,first-world nations,0.352956123865
3786,biological weapons,world's healthiest children,0.352956123865
3879,biological weapons,biological warfare program,0.352956123865
3927,biological weapons,"if a little is good, a lot must be better",0.352956123865
4033,biological weapons,vaccines,0.352956123865
4149,biological weapons,rubella vaccine,0.352956123865
4221,biological weapons,mumps vaccine,0.352956123865
4309,biological weapons,pertussis vaccine,0.352956123865
4316,biological weapons,vaccination rate,0.352956123865
4337,biological weapons,measles vaccine,0.352956123865
4359,biological weapons,measles mortality,0.352956123865
4407,biological weapons,measles cases,0.352956123865
4458,biological weapons,diptheria vaccine,0.352956123865
4645,Surgeon General Vivek Murthy,members of the herd,0.455119613313
4658,Surgeon General Vivek Murthy,the cause,0.455119613313
4805,Surgeon General Vivek Murthy,vaccine injuries,1.44269504089
4887,Surgeon General Vivek Murthy,member of the lunatic fringe,0.455119613313
4971,Surgeon General Vivek Murthy,doctors,0.455119613313
5063,Surgeon General Vivek Murthy,campaign of fear mongering,0.455119613313
5080,Surgeon General Vivek Murthy,critical thinking,0.455119613313
5147,Surgeon General Vivek Murthy,government propaganda,1.36535883994
5202,Surgeon General Vivek Murthy,mainstream media,0.455119613313
5289,Surgeon General Vivek Murthy,vaccine industry,0.455119613313
5349,Surgeon General Vivek Murthy,Hollywood celebrities,0.455119613313
5351,Surgeon General Vivek Murthy,CDC,0.455119613313
5375,Surgeon General Vivek Murthy,health authorities,0.455119613313
5432,Surgeon General Vivek Murthy,people,0.910239226627
5519,Surgeon General Vivek Murthy,lies,0.455119613313
5609,Surgeon General Vivek Murthy,vaccine bullying curriculum,0.910239226627
5645,Surgeon General Vivek Murthy,Jenny McCarthy,0.455119613313
5670,remove heavy metals,controversial,0.333808200695
5674,remove heavy metals,children,0.333808200695
5698,remove heavy metals,parental choice,0.333808200695
5727,remove heavy metals,genetically susceptible children,0.333808200695
5747,remove heavy metals,vaccine violence,0.333808200695
5846,remove heavy metals,science,0.333808200695
5908,remove heavy metals,parental consent,0.333808200695
6068,remove heavy metals,California's vaccine violence,0.333808200695
6121,remove heavy metals,Jim Carrey,0.333808200695
6168,remove heavy metals,neurological damage,0.333808200695
6191,remove heavy metals,medical ethics,0.333808200695
6240,remove heavy metals,genetic predisposition,0.333808200695
6279,remove heavy metals,mandatory vaccines,0.333808200695
6295,remove heavy metals,vaccines,0.333808200695
6333,remove heavy metals,mainstream media,0.333808200695
6345,remove heavy metals,genetic screening,0.333808200695
6481,remove heavy metals,human rights,0.333808200695
6545,remove heavy metals,toxic chemical ingredients,0.333808200695
6782,remove heavy metals,informed consent,0.333808200695
6803,Supreme Court,Vaccine Injury Compensation Program,0.402429604382
6899,Supreme Court,rules of due process and law,0.402429604382
6910,Supreme Court,violation of basic human rights,0.402429604382
6922,Supreme Court,Constitution,0.402429604382
6956,Supreme Court,court of law,0.402429604382
7174,Supreme Court,violation of law,0.402429604382
7360,Supreme Court,Apartheid,0.402429604382
7584,Supreme Court,Bill of Rights,0.402429604382
7763,Supreme Court,citizens,0.402429604382
7784,Supreme Court,extraordinary powers,0.402429604382
7885,Supreme Court,millions of dollars,0.402429604382
8577,herd mentality,mercury,1.44269504089
8739,herd mentality,CDC,0.910239226627
8759,herd mentality,vaccine safety,0.910239226627
8795,herd mentality,line up,2.35293426752
9004,herd mentality,you,0.910239226627
9062,Norwegian health authorities,children,1.22489720707
9098,Norwegian health authorities,shot of perspective,0.314657980444
9104,Norwegian health authorities,mothers,0.314657980444
9106,Norwegian health authorities,sicker children,0.314657980444
9142,Norwegian health authorities,Penn and Teller,0.314657980444
9159,Norwegian health authorities,healthier children,0.314657980444
9227,Norwegian health authorities,Senate hearing,0.314657980444
9283,Norwegian health authorities,more health,0.314657980444
9305,Norwegian health authorities,alienation,0.314657980444
9311,Norwegian health authorities,change in attitude,0.314657980444
9539,Norwegian health authorities,modern medicine,0.314657980444
9680,Norwegian health authorities,Ryan Mojabi,0.314657980444
9788,Norwegian health authorities,holocaust,0.314657980444
9795,Norwegian health authorities,pandemic H1N1 swine flu,0.314657980444
9806,Norwegian health authorities,vaccine industry,0.314657980444
9814,Norwegian health authorities,Prevnar,0.314657980444
9853,Norwegian health authorities,crime against children,0.314657980444
9940,Norwegian health authorities,immunization,0.314657980444
9946,Norwegian health authorities,Norwegian government,0.910239226627
10024,Norwegian health authorities,behavior changes,0.314657980444
10085,Norwegian health authorities,autism,0.314657980444
10129,Norwegian health authorities,Jimmy Kimmel,0.314657980444
10149,Norwegian health authorities,social size,0.314657980444
10168,Norwegian health authorities,informed consent,0.314657980444
10185,trace amounts of thimerosal,toxic adjuvants,0.24524606181
10198,trace amounts of thimerosal,disability,0.24524606181
10203,trace amounts of thimerosal,medical fraud,0.258317766807
10211,trace amounts of thimerosal,financial compensation,0.24524606181
10224,trace amounts of thimerosal,California government,0.24524606181
10239,trace amounts of thimerosal,convenience,0.258317766807
10240,trace amounts of thimerosal,number of recommended shots,0.24524606181
10244,trace amounts of thimerosal,GlaxoSmithKine's Energix B,0.62133493456
10245,trace amounts of thimerosal,exemptions,0.258317766807
10246,trace amounts of thimerosal,neurotoxin,0.296974204373
10252,trace amounts of thimerosal,genetic correlation,0.258317766807
10263,trace amounts of thimerosal,vaccine violence,0.24524606181
10292,trace amounts of thimerosal,traditional medicine,0.24524606181
10311,trace amounts of thimerosal,bribery,0.258317766807
10314,trace amounts of thimerosal,toxic vaccines,0.24524606181
10329,trace amounts of thimerosal,immune system dysfunction,0.24524606181
10335,trace amounts of thimerosal,injury,0.24524606181
10337,trace amounts of thimerosal,criminal side,0.258317766807
10352,trace amounts of thimerosal,health outcomes,0.258317766807
10401,trace amounts of thimerosal,public health,0.258317766807
10404,trace amounts of thimerosal,chicken kidney cells,0.296974204373
10412,trace amounts of thimerosal,pandemic H1N1 swine flu vaccine,0.24524606181
10414,trace amounts of thimerosal,Baby Boomers,0.24524606181
10451,trace amounts of thimerosal,scientific fraud,0.258317766807
10476,trace amounts of thimerosal,food,0.24524606181
10485,trace amounts of thimerosal,severe brain damage,0.24524606181
10505,trace amounts of thimerosal,control group,0.296974204373
10530,trace amounts of thimerosal,health,0.24524606181
10551,trace amounts of thimerosal,USDA food donations,0.24524606181
10552,trace amounts of thimerosal,brain damaged and autistic,0.24524606181
10561,trace amounts of thimerosal,flu-related hospitalizations,0.296974204373
10589,trace amounts of thimerosal,Congress,0.258317766807
10612,trace amounts of thimerosal,Big Tobacco,0.258317766807
10614,trace amounts of thimerosal,doctors,0.24524606181
10616,trace amounts of thimerosal,annual flu shot,0.24524606181
10641,trace amounts of thimerosal,Octoxinol-9,0.296974204373
10646,trace amounts of thimerosal,vulnerable,0.258317766807
10659,trace amounts of thimerosal,vaccine ingredients,0.296974204373
10664,trace amounts of thimerosal,intelligent questions,0.258317766807
10680,trace amounts of thimerosal,Tween 80,0.296974204373
10695,trace amounts of thimerosal,formaldehyde,0.296974204373
10715,trace amounts of thimerosal,brain dysfunction,0.24524606181
10723,trace amounts of thimerosal,financial collusion,0.258317766807
10738,trace amounts of thimerosal,trace levels of mercury,0.24524606181
10743,trace amounts of thimerosal,flu-related doctor visits,0.296974204373
10750,trace amounts of thimerosal,words,0.258317766807
10751,trace amounts of thimerosal,widespread health problems,0.24524606181
10774,trace amounts of thimerosal,cataplexy,0.24524606181
10780,trace amounts of thimerosal,parents of unvaccinated children,0.258317766807
10784,trace amounts of thimerosal,central nervous system inflammatory demyelination,0.24524606181
10791,trace amounts of thimerosal,mandatory vaccines,0.503563828617
10807,trace amounts of thimerosal,vaccines,0.503563828617
10810,trace amounts of thimerosal,families who decline vaccines,0.258317766807
10828,trace amounts of thimerosal,lawsuit,0.258317766807
10829,trace amounts of thimerosal,neonatal infection,0.24524606181
10831,trace amounts of thimerosal,mercury,0.800538032991
10845,trace amounts of thimerosal,mainstream media,0.258317766807
10850,trace amounts of thimerosal,placebo,0.296974204373
10872,trace amounts of thimerosal,American Academy of Pediatrics,0.258317766807
10877,trace amounts of thimerosal,quackery,0.258317766807
10878,trace amounts of thimerosal,deceitful social engineering,0.258317766807
10882,trace amounts of thimerosal,hepatitis B vaccine,0.866580996369
10885,trace amounts of thimerosal,monosodium glutamate,0.296974204373
10886,trace amounts of thimerosal,scientific tests,0.258317766807
10892,trace amounts of thimerosal,measles,0.24524606181
10898,trace amounts of thimerosal,vaccination exemptions,0.258317766807
10901,trace amounts of thimerosal,adverse effects,0.296974204373
10907,trace amounts of thimerosal,learning disabilities,0.24524606181
10914,trace amounts of thimerosal,holocaust,0.258317766807
10936,trace amounts of thimerosal,legal immunity,0.258317766807
10940,trace amounts of thimerosal,pregnant women,0.296974204373
10952,trace amounts of thimerosal,vaccine reactions,0.24524606181
10968,trace amounts of thimerosal,bullying,0.258317766807
10973,trace amounts of thimerosal,diabetes,0.24524606181
10985,trace amounts of thimerosal,Bruesewitz v. Wyeth,0.258317766807
10993,trace amounts of thimerosal,CDC,0.296974204373
10997,trace amounts of thimerosal,flu-related deaths,0.296974204373
10999,trace amounts of thimerosal,International Business Times,0.24524606181
11004,trace amounts of thimerosal,advertised,0.296974204373
11008,trace amounts of thimerosal,single visit,0.24524606181
11011,trace amounts of thimerosal,asthma,0.24524606181
11014,trace amounts of thimerosal,vaccine safety,0.258317766807
11022,trace amounts of thimerosal,narcolepsy,0.24524606181
11030,trace amounts of thimerosal,freedom of choice,0.258317766807
11031,trace amounts of thimerosal,humanity,0.258317766807
11035,trace amounts of thimerosal,victims,0.24524606181
11037,trace amounts of thimerosal,government,0.258317766807
11039,trace amounts of thimerosal,simultaneous vaccinations,0.24524606181
11040,trace amounts of thimerosal,chewable multivitamin,0.24524606181
11047,trace amounts of thimerosal,vaccine apologists,0.24524606181
11056,trace amounts of thimerosal,toxic chemical ingredients,0.24524606181
11067,trace amounts of thimerosal,state level,0.258317766807
11094,trace amounts of thimerosal,fraudulent,0.258317766807
11099,trace amounts of thimerosal,generation of children,0.258317766807
11101,trace amounts of thimerosal,CDC documents,0.258317766807
11115,trace amounts of thimerosal,compromised immunity,0.296974204373
11122,trace amounts of thimerosal,Triton X-100,0.296974204373
11128,trace amounts of thimerosal,vaccine efficacy,0.258317766807
11138,trace amounts of thimerosal,solid evidence,0.296974204373
11140,trace amounts of thimerosal,Global Post,0.24524606181
11149,trace amounts of thimerosal,Americans,0.296974204373
11153,trace amounts of thimerosal,risk of pneumonia,0.296974204373
11155,trace amounts of thimerosal,Big Pharma,0.24524606181
11159,trace amounts of thimerosal,pharmaceutical companies,0.296974204373
11160,trace amounts of thimerosal,Bush Administration,0.62133493456
11168,trace amounts of thimerosal,ADHD,0.24524606181
11176,trace amounts of thimerosal,statistics,0.258317766807
11177,trace amounts of thimerosal,conflict of interest,0.258317766807
11178,trace amounts of thimerosal,vaccine dangers,0.24524606181
11179,trace amounts of thimerosal,vaccination,0.503563828617
11190,trace amounts of thimerosal,thimerosal,1.17662690574
11201,trace amounts of thimerosal,elderly,0.296974204373
11204,trace amounts of thimerosal,brain-damaged,0.24524606181
11211,trace amounts of thimerosal,autism,0.24524606181
11217,trace amounts of thimerosal,infants,0.296974204373
11228,trace amounts of thimerosal,deaths,0.24524606181
11230,trace amounts of thimerosal,parent's right,0.24524606181
11234,trace amounts of thimerosal,normal life,0.24524606181
11243,trace amounts of thimerosal,vaccines are safe,0.258317766807
11248,trace amounts of thimerosal,Polysorbate 80,0.296974204373
11250,trace amounts of thimerosal,SB 277,0.24524606181
11292,trace amounts of thimerosal,informed consent,0.24524606181
11294,trace amounts of thimerosal,Every Child by Two,0.258317766807
11304,trace amounts of thimerosal,chronic disease,0.24524606181
11322,toxic adjuvants,disability,0.464335394624
11335,toxic adjuvants,financial compensation,0.24524606181
11345,toxic adjuvants,brain inflammation,0.219089332814
11348,toxic adjuvants,California government,0.24524606181
11349,toxic adjuvants,thimerosal phase out,0.219089332814
11353,toxic adjuvants,school,0.219089332814
11359,toxic adjuvants,autoimmune disorder,0.219089332814
11364,toxic adjuvants,number of recommended shots,0.24524606181
11367,toxic adjuvants,genetically susceptible children,0.219089332814
11368,toxic adjuvants,GlaxoSmithKine's Energix B,0.219089332814
11374,toxic adjuvants,lifelong immunity,0.219089332814
11387,toxic adjuvants,vaccine violence,0.24524606181
11395,toxic adjuvants,childhood diseases,0.219089332814
11403,toxic adjuvants,righteous anger,0.219089332814
11417,toxic adjuvants,traditional medicine,0.24524606181
11424,toxic adjuvants,ineffective,0.219089332814
11439,toxic adjuvants,toxic vaccines,0.24524606181
11445,toxic adjuvants,additive,0.219089332814
11453,toxic adjuvants,immune system dysfunction,0.24524606181
11459,toxic adjuvants,injury,0.24524606181
11471,toxic adjuvants,antibiotics,0.219089332814
11479,toxic adjuvants,public health officials,0.219089332814
11485,toxic adjuvants,science,0.219089332814
11504,toxic adjuvants,black children,0.219089332814
11525,toxic adjuvants,public health,0.219089332814
11536,toxic adjuvants,pandemic H1N1 swine flu vaccine,0.24524606181
11538,toxic adjuvants,Baby Boomers,0.24524606181
11548,toxic adjuvants,effective,0.219089332814
11578,toxic adjuvants,first-world nations,0.219089332814
11579,toxic adjuvants,infectious diseases,0.219089332814
11584,toxic adjuvants,improved healthcare,0.219089332814
11600,toxic adjuvants,food,0.24524606181
11602,toxic adjuvants,safe,0.219089332814
11609,toxic adjuvants,severe brain damage,0.24524606181
11614,toxic adjuvants,genetically engineered human protein,0.219089332814
11616,toxic adjuvants,neurotoxins,0.219089332814
11631,toxic adjuvants,reactions,0.219089332814
11632,toxic adjuvants,harm,0.219089332814
11639,toxic adjuvants,improved santitation,0.219089332814
11642,toxic adjuvants,harmful toxins,0.219089332814
11655,toxic adjuvants,health,0.24524606181
11674,toxic adjuvants,United States,0.219089332814
11675,toxic adjuvants,USDA food donations,0.24524606181
11676,toxic adjuvants,brain damaged and autistic,0.464335394624
11683,toxic adjuvants,SV40,0.219089332814
11699,toxic adjuvants,deadly diseases,0.219089332814
11700,toxic adjuvants,National Vaccine Injury Compensation Program,0.219089332814
11705,toxic adjuvants,safety,0.219089332814
11738,toxic adjuvants,doctors,0.24524606181
11740,toxic adjuvants,annual flu shot,0.24524606181
11741,toxic adjuvants,population,0.219089332814
11776,toxic adjuvants,abortion chemicals,0.219089332814
11783,toxic adjuvants,vaccine ingredients,0.219089332814
11788,toxic adjuvants,intelligent questions,0.219089332814
11806,toxic adjuvants,scientifically irresponsible assertion,0.219089332814
11812,toxic adjuvants,disease,0.219089332814
11815,toxic adjuvants,flu shots,0.24524606181
11819,toxic adjuvants,Dr. Suzanne Humphries,0.219089332814
11820,toxic adjuvants,formaldehyde,0.219089332814
11839,toxic adjuvants,debate,0.219089332814
11840,toxic adjuvants,brain dysfunction,0.24524606181
11850,toxic adjuvants,good plumbing,0.219089332814
11863,toxic adjuvants,trace levels of mercury,0.24524606181
11875,toxic adjuvants,words,0.219089332814
11876,toxic adjuvants,widespread health problems,0.464335394624
11877,toxic adjuvants,genetic predisposition,0.219089332814
11884,toxic adjuvants,aluminum,0.219089332814
11899,toxic adjuvants,cataplexy,0.24524606181
11909,toxic adjuvants,central nervous system inflammatory demyelination,0.24524606181
11910,toxic adjuvants,disabled children,0.219089332814
11916,toxic adjuvants,mandatory vaccines,0.24524606181
11917,toxic adjuvants,encephalopathy,0.219089332814
11925,toxic adjuvants,ethylmercury,0.219089332814
11927,toxic adjuvants,pneumonia,0.219089332814
11954,toxic adjuvants,neonatal infection,0.24524606181
11956,toxic adjuvants,mercury,0.464335394624
11963,toxic adjuvants,vaccine-autism link,0.219089332814
11964,toxic adjuvants,Matthew Downing,0.219089332814
11970,toxic adjuvants,mainstream media,0.219089332814
11996,toxic adjuvants,drug companies,0.219089332814
12002,toxic adjuvants,quackery,0.219089332814
12007,toxic adjuvants,hepatitis B vaccine,0.24524606181
12010,toxic adjuvants,monosodium glutamate,0.219089332814
12014,toxic adjuvants,efficacy,0.219089332814
12017,toxic adjuvants,measles,0.24524606181
12032,toxic adjuvants,learning disabilities,0.24524606181
12033,toxic adjuvants,widespread fear,0.219089332814
12046,toxic adjuvants,pandemic H1N1 swine flu,0.219089332814
12057,toxic adjuvants,vaccine industry,0.464335394624
12058,toxic adjuvants,improved living conditions,0.219089332814
12063,toxic adjuvants,immune system,0.219089332814
12066,toxic adjuvants,pregnant women,0.219089332814
12069,toxic adjuvants,clinical trials,0.219089332814
12078,toxic adjuvants,vaccine reactions,0.24524606181
