,page rank
vaccine information sources,0.000977248907879
tetanus/diphtheria/pertussis,0.00064125865842
social media,0.000686347536046
withholding vaccines,0.00180531748068
children with autistic sibling,0.0017762440927
Institute of Medicine,0.0014264683413
opposed,0.00204143586352
unvaccinated-friendly day care centres,0.00208316975463
conscientious objectors,0.00075953813655
formal advice,0.000587738458668
meningococcal disease,0.0151754701878
supporters,0.000826886343238
populations,0.000997161386458
infection,0.00359529996052
antibiotics,0.00142916490614
transient,0.000637407945992
cases,0.000672511858335
vaccination coverage,0.00271817832939
other meningococcal disease cases,0.000672511858335
women,0.00217477494563
states,0.00501201374363
shame,0.000969386601403
science,0.000930301380174
challenge,0.000555795127107
vaccinated students,0.000920050459409
California Senate,0.000607738228828
Arizona Department of Health Services,0.000759863420098
measles outbreak,0.00297119386141
immune system disorder,0.000627348334684
vaccination exemption,0.00693365436439
household,0.000672511858335
Nepal,0.000615597692353
one dose of vaccine,0.000718549932357
anti-vaxxer,0.00310034056679
vaccine delivery,0.00101003113029
Wakefield study,0.00498345422904
teen girls,0.00126984358391
girls who received Gardasil,0.00060576052041
philosophical exemption,0.000928192099275
population health,0.000592048388798
infection at multiple sites,0.000597715170221
polio,0.00206608261793
risk of infection,0.000592048388798
potential risks,0.000586524850856
Muslims,0.00092456309128
MMR vaccine does not cause autism,0.00162436261453
Tanzania,0.0010645423701
infant mortality,0.000593234889022
good news,0.000759863420098
measles resurgence,0.00259282956948
gelatin,0.000942469429364
medical advancement,0.000592048388798
law,0.000607738228828
data,0.000666346881742
Jain study,0.00662126659565
health professionals,0.000595396442923
Hilary Clinton,0.000593234889022
thimerosal is safe,0.000651403498508
genetic component,0.000555795127107
early treatment,0.000672511858335
hypotheses,0.00190457705843
vaccine benefits,0.000644550731318
responsibility,0.000918259343992
family tax benefit,0.00075953813655
autism rate,0.000917315779889
senators,0.00069663788406
Mississippi,0.00124192317099
epidemiologist,0.000749856716738
what we already knew,0.00186145091681
vaccinated,0.00339225097691
political issues,0.000790583542877
vaccinations should be voluntary,0.000930365216153
observational,0.000608165044304
Catholics,0.00092456309128
non-judgmental environment,0.000664337417153
kindergarten,0.000954420947048
West Virginia,0.00124192317099
variety of medical conditions,0.000594871497883
rubella outbreak,0.000673440937359
physicians,0.0018298838445
California Coalition for Health Choice,0.00155374456818
childcare services,0.00058411884734
new transmission,0.000687688765356
HPV vaccine recommendations,0.00162287337642
safety concern,0.000792010973154
safe,0.00100405138972
vaccine fear,0.000611033233399
brain development,0.000717159128302
Vaccine Free Family Day Care,0.000610274394308
infectious disease mortality,0.00195226401598
Merck,0.000637407945992
schools,0.00390376589999
mystery,0.0020429733976
prophylaxis,0.000663512389222
India,0.000615597692353
Disneyland measles outbreak,0.00256254850104
religious doctrine,0.00149200864918
measles experience,0.000583309347664
minority views,0.00136255330916
vaccine message,0.00252904282139
Muslim leaders,0.000796141032086
developing countries,0.00183089417856
distrust of medical establishment,0.000998499074229
children with family history of autism,0.000594663247786
immune memory cells,0.000583309347664
democrat,0.000709417703129
three-dose course,0.000718549932357
neurological problems,0.000592048388798
childcare benefits,0.00075953813655
worried,0.000586524850856
parental rights,0.00101740302449
health officials,0.00199815023293
state-level policy,0.000593234889022
activism,0.00103779631958
research,0.00257333548899
private schools,0.00131544940994
women without previous HPV,0.000597715170221
parents who refuse to vaccinate their children,0.00591915153106
Andrew Wakefield,0.00251638709997
issue,0.000938754924304
parental responsibility,0.000900759156464
theory,0.000742742232559
parents who choose to delay vaccination,0.000963413318353
caregivers,0.00064125865842
United States,0.0040306390971
members,0.000587738458668
Gardasil,0.0055746557419
immune response,0.00182654341133
unvaccinated clusters,0.000976349244669
benefits,0.000637407945992
wealthy regions,0.00104885734718
anti-vaccination,0.0116567010131
threat,0.000949193683902
state legislatures,0.000938076387639
Prabhupada Village,0.000583309347664
Washington State public-private pilot program,0.00102156031654
women previously exposed to HPV,0.00216483487304
strong-arm tactics,0.000709417703129
Dr. Adams,0.00188863630681
genital warts,0.00348429581872
daily activities,0.000700240350343
vast amounts of time,0.000727069822486
at-risk unvaccinated children,0.000567249868508
seizures,0.000583309347664
legitimate reasons,0.000916639445302
prohibits vaccinating members,0.000679146040345
adult vaccination program,0.00141782776251
small nudges,0.000679467106768
pneumonia deaths,0.000637407945992
girls,0.00321100560107
vaccination of pregnant women,0.000647787020233
anyone,0.000672511858335
compromise,0.000911623975502
Disneyland,0.00101445103942
2014-2015 FLULAVAL QUADRIVALENT flu vaccine,0.00378071094172
vaccine hesitancy,0.00193870222764
headache,0.00124698381764
early childcare advocacy group,0.000750906744562
uninformed,0.000911623975502
doctors,0.00138692908533
true-believer cohort,0.000783468152765
risk of cervical dysplasia,0.000592048388798
Colorado,0.0010645423701
right to personal exemptions,0.00174917077025
pneumonia,0.000583309347664
written down,0.000592048388798
behavioral interventions,0.000892347222209
elite list,0.000687201096613
resurgence in potentially fatal childhood infectious diseases,0.000816429843257
anus,0.000661348511576
vaccine campaign,0.000980880956091
early diagnosis,0.000672511858335
conspiracy,0.00260724805268
childcare,0.00125065480906
unlikely,0.00061316397417
smallpox,0.000687201096613
protective effect of vaccines,0.00377739230569
non-medical reasons for exemption,0.000948968688232
retracted,0.000727069822486
MMR vaccine,0.00811987143766
allergies,0.000627348334684
policy makers,0.00291675578462
ideas,0.00165849198716
bacteria,0.000770542807623
cervical dysplasia,0.00411000310587
birth defects,0.00196249732211
preschoolers,0.00060309297463
Waldorf School of Princeton,0.00131544940994
social issues,0.00152278027027
government rebates,0.000581581625283
pain,0.000700240350343
normal,0.000711799481152
HPV vaccine benefits,0.00156366788811
medical exemption,0.00305478417402
Los Angeles County,0.00060309297463
ear infections,0.000583309347664
vaccine-free day care centres,0.00335940014729
virus,0.000726316319438
unvaccinated workers,0.00103389599631
childhood disease,0.00163158736677
risk to pregnant women,0.000581581625283
environmental factors,0.00271028748171
pro-vaccination,0.00204722572087
reduction in child mortality,0.00107153979298
consequences,0.000610274394308
young adults,0.00213528776589
personal belief exemption,0.0057370433761
part of the story,0.000867918997169
disease,0.00672279026782
mental disorders,0.00126718984876
"Sydney, Australia",0.000699083829269
swelling,0.000700240350343
celebrities,0.00161759949688
social network,0.000942111712684
Jewish dietary laws,0.000592048388798
vaccine potency,0.00141054455128
presidential candidates,0.00119263635412
fear,0.000594663247786
reduction in mortality,0.00102647295894
World Health Organization,0.00109499225055
delaying Gardasil,0.000962091172364
autism risk,0.00621679224196
severe symptoms,0.000687688765356
children without autistic sibling,0.000567249868508
tax benefits,0.00075953813655
immune amnesia,0.00159147700101
Los Angeles,0.00104885734718
respiratory secretions,0.0011074023042
vaccine efficacy,0.000965737098637
public health,0.00305905369383
medical conditions,0.000617208483488
opponent of sanity-oriented legislation,0.00136255330916
children with neurodevelopmental issues,0.00112455627326
recommended vaccines,0.0010908262552
genetic predisposition,0.00183923865276
unethical,0.000640040221056
teens,0.0024904362128
random cases,0.000672511858335
imitation infection,0.000902990043045
NIH,0.00299264454493
meningococcal outbreak,0.00290187816223
orthodox Hasidic Jews,0.00193177646454
Federal Circuit,0.000966232267187
opportunistic infections,0.000637407945992
unvaccinated high-risk children,0.000676464630947
false concerns,0.000748159092379
at risk,0.00131569020667
gift from God,0.000641022462429
Afghanistan,0.000790583542877
medical law,0.000592048388798
Caribbean,0.000858987055478
free vaccine,0.000616836922707
testing,0.000707328740029
vaccine refusal,0.00505467791624
sex,0.000597715170221
backfire,0.000709417703129
Jehovah's Witnesses,0.00126020122367
arm,0.000700240350343
Senator Rand Paul,0.00158577637587
voluntary,0.000593234889022
William Moss,0.00232210098978
vaccinated children and unvaccinated children,0.0014654044806
diarrhea deaths,0.000637407945992
free vaccine eligible,0.00127329414476
vaccines,0.0248767086358
herd immunity,0.00509668716218
behavioral research,0.000998499074229
public schools,0.000815476255633
unconscionable,0.000688791597088
Department of Public Health Immunization Program,0.000928477159763
cervical cancer,0.00297127951711
MMR vaccine doesn't trigger autism,0.000783821349507
we,0.00160349003019
government policy,0.00137104687731
risk of mumps,0.000586908427857
confusion,0.000672511858335
absolute objection,0.000690215377408
models of disease,0.000583309347664
ages 14 to 17,0.000608500956625
infants,0.00368354601245
flu vaccine recall,0.001455373125
approval,0.000826886343238
mortality rate decrease,0.0006905421034
vaccine-autism link,0.0123362855678
scientific paper,0.000594663247786
Catholic parents,0.00160916479854
vaccines cause autism,0.00103275882598
recommended vaccine schedule,0.000964948909268
new version of Gardasil,0.0013212330399
cancer,0.00258855842427
reasons,0.000581509381056
saved lives,0.000592048388798
community,0.00638091645201
measles vaccination,0.00298628364958
church,0.00208609457038
high vaccination rates,0.00196787707377
symptoms,0.00128467535884
ages 11 or 12,0.00146953229446
deaths,0.00175233718413
computer models,0.000666346881742
California,0.00205192143704
risk of rubella,0.000586908427857
controversial bill,0.00201344501233
healthy people,0.000672511858335
Islamic principles,0.00126995476629
polio vaccine opposition,0.00565595244495
preteens,0.00108041625825
families,0.0037636199696
meningitis,0.00106209012973
measles,0.0223060556385
republicans,0.00129266058204
argument,0.000948527385684
pediatricians,0.00169609094463
pig,0.000942469429364
hardness of the skin,0.000700240350343
CDC,0.00192916953022
pharmacological interventions,0.000892347222209
hesitant parents,0.00143298615653
vaccine-preventable diseases,0.00343826834137
three doses Gardasil,0.000646318079398
11-18 year olds,0.00066841325733
vaccine mandates,0.00373064956121
rubella vaccine,0.00162420033517
important message,0.000599466287218
decline in vaccination rates,0.00131769314552
children with autism,0.00258422374374
cluster,0.00205221660977
abnormal cells,0.00060576052041
immune system,0.00309755002969
theological issues,0.000790583542877
triple hit,0.00171646579817
pregnant women,0.00233541792034
Mina study,0.00289367029646
immunosuppression,0.00155955841761
severity,0.000555795127107
vaccines are safe,0.000651403498508
one dose Gardasil,0.000646318079398
new strategies,0.000893560567901
GlaxoSmithKline,0.00141054455128
state-level policies,0.00127716567854
daughters,0.00132552819356
home-school,0.000916872245693
protect the kid next to you,0.000593234889022
HPV,0.00313730545244
multi-site protection,0.00333478563078
reduction in HPV,0.000597715170221
risk of fainting,0.00100405138972
bad news,0.000583309347664
Hinduism,0.000927686521185
party lines,0.000607738228828
programs,0.000813975427312
revaccinated,0.000616836922707
German measles,0.000687688765356
harmful association,0.00122585111523
fever,0.00125854294845
partial protection,0.000965737098637
prevention,0.0012605130542
mumps vaccine,0.000666912755124
unvaccinated children,0.00420810006776
money,0.00292870925022
vaccines cause neurological problems,0.000683932181686
promising news,0.00180593965724
reduced effectiveness,0.000792010973154
eliminated virus,0.0025340637659
unable to speak,0.000988606983804
Dutch Bible belt,0.000583309347664
high-risk types of HPV,0.0019766563361
cervix,0.000661348511576
sterilize Muslims,0.00123381571183
vaccine safety,0.00186934730711
whooping cough,0.00220369855228
parents,0.0225254664445
rubella elimination,0.00170463694043
at-risk vaccinated children,0.000567249868508
anti-vaccine eugenics community,0.00101445103942
personal belief reasons,0.00125231364271
hospitalizations,0.000930059521634
careers,0.000943890042584
insurance claims,0.000651049880163
victims,0.000583309347664
myth,0.00231411216926
Gardasil 4,0.000637368775635
Gardasil 9,0.000637368775635
minor symptoms,0.00267876014554
vaccinated girls,0.000934832903288
JAMA study,0.00278569146178
projects,0.000754290828948
Pakistan,0.000790583542877
Western Hemisphere,0.000687688765356
side effects,0.00835444882698
aborted fetuses,0.00160916479854
children at higher risk for autism,0.00374472000265
people,0.00184352761591
Dutch reformed churches,0.00226242474128
vaccine delay,0.00429693510443
hepatitis A vaccine,0.00203470283388
vaccination rate,0.0033805876324
run down feeling,0.000700240350343
The Lancet,0.000966232267187
make plans ahead of time,0.00071214750506
nervous system problems,0.000797887165747
long-term disabilities,0.00318515829021
Governor Jerry Brown,0.00093473428505
vaccinated children,0.00336120607042
HPV strains,0.00135443724268
religion,0.00276698820784
measles vaccine,0.00986111667154
developmental disability,0.00153333048238
infectious disease,0.00231509643276
University of Minnesota,0.000739945728285
Muslim fundamentalists,0.00199894903509
serogroup C,0.00066841325733
serogroup B,0.00066841325733
preventable disease,0.00137326965527
children with cancer,0.000902676609583
tuition,0.000815476255633
variation,0.00136807015763
serogroup Y,0.00066841325733
whooping cough vaccine,0.000647787020233
vaccine,0.00109264696356
Cervarix,0.00135958723587
Jill Hennessy,0.00138126987883
world,0.00100515386134
Johns Hopkins University,0.000749856716738
Dr. Mark Schleiss,0.00170659578309
carrier,0.00241944729983
Americans,0.000709417703129
mouth,0.000661348511576
mothers with pregnancy-related diabetes,0.000567249868508
true cause of autism,0.00071073243163
meningococcal vaccine,0.00775535060554
commitment,0.000783468152765
childhood mortality,0.00310260445865
Eagle Mountain International Church,0.00126767165701
one child,0.000631039010297
health benefits,0.00363235797326
MMR vaccine safety,0.0015305693795
vaccination,0.0198132136831
outbreaks,0.00292042451638
religious beliefs,0.00125231364271
fast,0.000611001262889
early education,0.000561772969951
Dr. Bill Adams,0.00158133389024
HPV vaccine,0.0132506613597
Senator Jeff Stone,0.000748159092379
funds,0.000592048388798
peers,0.000586524850856
boys,0.00166922563113
link,0.000592048388798
reassurance,0.00177469413733
Victoria's health minister,0.000843449954912
fraud,0.00144004616748
vaccine success,0.000586524850856
complications,0.00057387535239
childcare rebate,0.00075953813655
Pan American Health Organization,0.000768093159295
adults,0.00109779112793
interventions,0.00122045965916
vaccine debate,0.00155515663342
sales,0.000637407945992
vaccinated individuals,0.000592048388798
evidence,0.00238484650944
sibling,0.000593234889022
health care,0.00164494548233
exist,0.000594663247786
vaccination policy,0.000657745471608
social norms,0.000593234889022
education,0.000805791003776
autism,0.0126798298177
sibling with autism,0.000574711456635
preventing cancer,0.000597715170221
National Institutes of Health,0.000754290828948
SB 277,0.00826654052748
California governor,0.00101383099679
field,0.000716924796822
vaccine requirements,0.00276121687397
role,0.000717159128302
driving factors,0.00133561432381
sexually active,0.00289957047236
immunity,0.00241250742842
expected,0.000711799481152
sense of urgency,0.000586524850856
rubella,0.00659602425446
former gastroenterologist,0.000969386601403
varicella vaccine,0.00162420033517
magnitude of benefits,0.000710158906661
serogroups,0.000672511858335
HPV infection,0.0012761378171
state vaccination rates,0.00215826614385
loss of limb,0.000797887165747
Early Childhood Australia,0.00174528172289
religious groups,0.0089653513552
age 26,0.000716224379729
Robert F. Kennedy Jr.,0.00103528055775
friends,0.000586524850856
Catholic Church,0.000691445722095
Amish,0.00137277762471
scheduled appointment,0.000586524850856
meningococcal disease symptoms,0.00257291043434
Netherlands Reformed Congregation,0.000910208438918
immune protection,0.00130741728042
environmental trigger,0.00103032101264
time,0.000610274394308
overseas,0.00149241057506
Tdap vaccine,0.00407486543304
