,u,v,jaccard
1550,evidence,vaccine adverse reactions,0.1
1573,evidence,doctors,0.0212765957447
1576,evidence,population,0.0909090909091
1612,evidence,abortion chemicals,0.0909090909091
1619,evidence,vaccine ingredients,0.0689655172414
1624,evidence,intelligent questions,0.0526315789474
1642,evidence,scientifically irresponsible assertion,0.0909090909091
1648,evidence,disease,0.0769230769231
1651,evidence,flu shots,0.0263157894737
1655,evidence,Dr. Suzanne Humphries,0.1
1656,evidence,formaldehyde,0.0555555555556
1671,evidence,neurological disorders,0.0833333333333
1675,evidence,debate,0.2
1680,evidence,troubling data,0.1
1681,evidence,autism risk,0.0909090909091
1686,evidence,good plumbing,0.1
1703,evidence,whistleblower,0.0833333333333
1711,evidence,words,0.0909090909091
1712,evidence,widespread health problems,0.0909090909091
1713,evidence,genetic predisposition,0.0588235294118
1719,evidence,aluminum,0.047619047619
1721,evidence,vaccines are not safe,0.0833333333333
1739,evidence,CDC study,0.0909090909091
1745,evidence,disabled children,0.0769230769231
1752,evidence,encephalopathy,0.0666666666667
1760,evidence,ethylmercury,0.0833333333333
1762,evidence,pneumonia,0.0909090909091
1772,evidence,troubling,0.1
1774,evidence,CDC website,0.0666666666667
1791,evidence,mercury,0.05
1792,evidence,The Advisory Committee on Immunization Practices,0.0769230769231
1799,evidence,Matthew Downing,0.0666666666667
1800,evidence,high risk of non-organic sleep disorder,0.0909090909091
1804,evidence,vaccine corruption,0.0909090909091
1805,evidence,mainstream media,0.0227272727273
1813,evidence,blanket statement,0.0909090909091
1831,evidence,drug companies,0.05
1832,evidence,American Academy of Pediatrics,0.0909090909091
1837,evidence,quackery,0.153846153846
1840,evidence,conventional health experts,0.1
1845,evidence,monosodium glutamate,0.0454545454545
1849,evidence,efficacy,0.0833333333333
1868,evidence,widespread fear,0.0909090909091
1881,evidence,pandemic H1N1 swine flu,0.0769230769231
1892,evidence,vaccine industry,0.0175438596491
1893,evidence,improved living conditions,0.0909090909091
1898,evidence,immune system,0.0909090909091
1901,evidence,pregnant women,0.0588235294118
1904,evidence,clinical trials,0.166666666667
1932,evidence,CDC scientific fraud,0.1
1938,evidence,vaccination issue,0.0769230769231
1954,evidence,righteous anger,0.0833333333333
1963,evidence,independent reviews,0.166666666667
1967,evidence,more severe autism,0.1
1969,evidence,single visit,0.0909090909091
1974,evidence,toxic substances,0.0909090909091
1985,evidence,parents,0.0357142857143
2005,evidence,swine flu panic campaign,0.0833333333333
2016,evidence,toxic chemical ingredients,0.05
2020,evidence,measles decline,0.0625
2028,evidence,side effects,0.0833333333333
2037,evidence,mentally challenged,0.0833333333333
2052,evidence,piece of evidence,0.1
2061,evidence,CDC documents,0.0833333333333
2063,evidence,benefit,0.1
2075,evidence,compromised immunity,0.0666666666667
2077,evidence,sick children,0.0769230769231
2081,evidence,schedule,0.1
2088,evidence,vaccine efficacy,0.0588235294118
2105,evidence,trustworthy,0.1
2108,evidence,Americans,0.0625
2114,evidence,Big Pharma,0.05
2122,evidence,lies,0.0555555555556
2139,evidence,measles cases,0.05
2141,evidence,heavy metals,0.0909090909091
2144,evidence,lives of children,0.1
2149,evidence,thimerosal,0.0666666666667
2154,evidence,pro-vaccination,0.0588235294118
2170,evidence,autism,0.0454545454545
2178,evidence,problem,0.0909090909091
2182,evidence,number of measles cases,0.1
2191,evidence,unsafe,0.1
2194,evidence,unconcscionable,0.1
2198,evidence,dangerous medical intervention,0.1
2199,evidence,link,0.0909090909091
2202,evidence,vaccines are safe,0.0555555555556
2209,evidence,SB 277,0.0344827586207
2219,evidence,immunity,0.0666666666667
2220,evidence,conclusion,0.1
2228,evidence,population growth,0.1
2230,evidence,vaccine-injured children,0.0416666666667
2249,evidence,African women,0.0833333333333
2250,evidence,antibiotics,0.0666666666667
2255,evidence,students,0.1
2264,evidence,chronic disease,0.0833333333333
2272,safe level,trace amounts of thimerosal,0.125
2273,safe level,toxic adjuvants,0.25
2286,safe level,disability,0.2
2296,safe level,safe form of mercury,0.25
2299,safe level,financial compensation,0.125
2304,safe level,vaccine additives,0.0909090909091
2311,safe level,California government,0.222222222222
2328,safe level,number of recommended shots,0.2
2335,safe level,neurotoxin,0.222222222222
2336,safe level,autism trigger,0.333333333333
2352,safe level,vaccine violence,0.2
2354,safe level,consumers,0.333333333333
2355,safe level,thimerosal-free,0.142857142857
2363,safe level,scientists,0.2
2378,safe level,detoxification,0.25
2382,safe level,traditional medicine,0.333333333333
2388,safe level,mutagen,0.333333333333
2404,safe level,toxic vaccines,0.25
2411,safe level,additive,0.25
2417,safe level,flu shot while pregnant,0.333333333333
2418,safe level,high risk of speech disorder,0.25
2419,safe level,immune system dysfunction,0.333333333333
2425,safe level,injury,0.111111111111
2447,safe level,high risk of autism,0.25
2455,safe level,culprit,0.333333333333
2462,safe level,proof,0.25
2502,safe level,pandemic H1N1 swine flu vaccine,0.105263157895
2504,safe level,Baby Boomers,0.142857142857
2526,safe level,childhood vaccines,0.142857142857
2529,safe level,industry-funded findings,0.25
2566,safe level,food,0.333333333333
2568,safe level,safe,0.142857142857
2575,safe level,severe brain damage,0.25
2621,safe level,health,0.25
2632,safe level,rational scientist,0.142857142857
2642,safe level,USDA food donations,0.166666666667
2643,safe level,brain damaged and autistic,0.25
2662,safe level,vaccine agenda,0.25
2672,safe level,safety,0.2
2674,safe level,U.S. government,0.25
2684,safe level,single dose vaccines,0.333333333333
2687,safe level,top health officials,0.333333333333
2704,safe level,doctors,0.025
2705,safe level,injected,0.25
2706,safe level,annual flu shot,0.166666666667
2710,safe level,anaphylactic shock,0.333333333333
2725,safe level,Jim Carrey,0.125
2750,safe level,vaccine ingredients,0.0434782608696
2767,safe level,multi-dose vaccines,0.333333333333
2772,safe level,neurological damage,0.111111111111
2777,safe level,adult brain cells,0.25
2782,safe level,flu shots,0.103448275862
2789,safe level,glutathione levels,0.333333333333
2798,safe level,Rho-GAM shots,0.25
2802,safe level,neurological disorders,0.2
2804,safe level,neurotoxic,0.5
2807,safe level,brain dysfunction,0.333333333333
2812,safe level,autism risk,0.25
2829,safe level,severe autism,0.333333333333
2830,safe level,trace levels of mercury,0.25
2843,safe level,widespread health problems,0.25
2849,safe level,glutathione,0.2
2851,safe level,aluminum,0.0714285714286
2866,safe level,cataplexy,0.166666666667
2868,safe level,FDA,0.125
2876,safe level,central nervous system inflammatory demyelination,0.333333333333
2883,safe level,mandatory vaccines,0.08
2899,safe level,vaccines,0.03125
2921,safe level,neonatal infection,0.333333333333
2923,safe level,hepatitis B vaccine,0.105263157895
2932,safe level,high risk of non-organic sleep disorder,0.25
2947,safe level,human carcinogen,0.333333333333
2968,safe level,trigger,0.333333333333
2971,safe level,reproductive toxin,0.333333333333
2984,safe level,measles,0.047619047619
2991,safe level,immune-system disruptor,0.333333333333
2999,safe level,learning disabilities,0.333333333333
3024,safe level,vaccine industry,0.0625
3033,safe level,pregnant women,0.1
3045,safe level,vaccine reactions,0.1
3046,safe level,preservative,0.333333333333
3066,safe level,diabetes,0.333333333333
3074,safe level,Food and Drug Administration Modernization Act,0.25
3086,safe level,CDC,0.0392156862745
3092,safe level,International Business Times,0.2
3101,safe level,single visit,0.25
3104,safe level,asthma,0.2
3108,safe level,toxic heavy metal,0.333333333333
3115,safe level,narcolepsy,0.0769230769231
3128,safe level,victims,0.166666666667
3132,safe level,simultaneous vaccinations,0.125
3133,safe level,chewable multivitamin,0.25
3140,safe level,vaccine apologists,0.166666666667
3147,safe level,mercury based preservative,0.333333333333
3149,safe level,toxic chemical ingredients,0.0769230769231
3155,safe level,thimerosal-induced cellular damage,0.142857142857
3169,safe level,people,0.0434782608696
3177,safe level,WHO vaccine specialists,0.333333333333
3195,safe level,cellular toxicity,0.333333333333
3212,safe level,seasonal flu shot,0.25
3233,safe level,Global Post,0.2
3244,safe level,nervous system,0.25
3248,safe level,Big Pharma,0.0769230769231
3252,safe level,pharmaceutical companies,0.0322580645161
3261,safe level,ADHD,0.333333333333
3271,safe level,vaccine dangers,0.166666666667
3272,safe level,vaccination,0.0384615384615
3277,safe level,The Vaccine and Autism Congressional Hearing,0.333333333333
3287,safe level,teratogen,0.333333333333
3289,safe level,human biology,0.166666666667
3292,safe level,children with severe ASDs,0.333333333333
3293,safe level,rational doctor,0.142857142857
3297,safe level,brain-damaged,0.25
3304,safe level,autism,0.0540540540541
3321,safe level,deaths,0.0666666666667
3323,safe level,parent's right,0.25
3327,safe level,normal life,0.333333333333
3337,safe level,metal compounds,0.333333333333
3343,safe level,SB 277,0.0454545454545
3344,safe level,fetal toxin,0.333333333333
3368,safe level,multi-dose vials,0.25
3386,safe level,informed consent,0.0434782608696
3398,safe level,chronic disease,0.2
3430,biological weapons,polio vaccine,0.1
3532,biological weapons,tetanus vaccine,1.0
3650,biological weapons,smallpox vaccination,0.333333333333
3678,biological weapons,first-world nations,0.333333333333
3786,biological weapons,world's healthiest children,1.0
3879,biological weapons,biological warfare program,0.333333333333
3927,biological weapons,"if a little is good, a lot must be better",1.0
4033,biological weapons,vaccines,0.0104166666667
4149,biological weapons,rubella vaccine,1.0
4221,biological weapons,mumps vaccine,0.25
4309,biological weapons,pertussis vaccine,1.0
4316,biological weapons,vaccination rate,1.0
4337,biological weapons,measles vaccine,0.166666666667
4359,biological weapons,measles mortality,0.0555555555556
4407,biological weapons,measles cases,0.0909090909091
4458,biological weapons,diptheria vaccine,1.0
4645,Surgeon General Vivek Murthy,members of the herd,0.142857142857
4658,Surgeon General Vivek Murthy,the cause,0.142857142857
4805,Surgeon General Vivek Murthy,vaccine injuries,0.0588235294118
4887,Surgeon General Vivek Murthy,member of the lunatic fringe,0.142857142857
4971,Surgeon General Vivek Murthy,doctors,0.0227272727273
5063,Surgeon General Vivek Murthy,campaign of fear mongering,0.142857142857
5080,Surgeon General Vivek Murthy,critical thinking,0.0909090909091
5147,Surgeon General Vivek Murthy,government propaganda,0.222222222222
5202,Surgeon General Vivek Murthy,mainstream media,0.0243902439024
5289,Surgeon General Vivek Murthy,vaccine industry,0.0185185185185
5349,Surgeon General Vivek Murthy,Hollywood celebrities,0.125
5351,Surgeon General Vivek Murthy,CDC,0.0178571428571
5375,Surgeon General Vivek Murthy,health authorities,0.125
5432,Surgeon General Vivek Murthy,people,0.0769230769231
5519,Surgeon General Vivek Murthy,lies,0.0666666666667
5609,Surgeon General Vivek Murthy,vaccine bullying curriculum,0.1
5645,Surgeon General Vivek Murthy,Jenny McCarthy,0.111111111111
5670,remove heavy metals,controversial,1.0
5674,remove heavy metals,children,0.0169491525424
5698,remove heavy metals,parental choice,1.0
5727,remove heavy metals,genetically susceptible children,0.142857142857
5747,remove heavy metals,vaccine violence,0.333333333333
5846,remove heavy metals,science,0.0625
5908,remove heavy metals,parental consent,1.0
6068,remove heavy metals,California's vaccine violence,1.0
6121,remove heavy metals,Jim Carrey,0.166666666667
6168,remove heavy metals,neurological damage,0.142857142857
6191,remove heavy metals,medical ethics,1.0
6240,remove heavy metals,genetic predisposition,0.125
6279,remove heavy metals,mandatory vaccines,0.0416666666667
6295,remove heavy metals,vaccines,0.0104166666667
6333,remove heavy metals,mainstream media,0.0285714285714
6345,remove heavy metals,genetic screening,0.5
6481,remove heavy metals,human rights,0.5
6545,remove heavy metals,toxic chemical ingredients,0.0909090909091
6782,remove heavy metals,informed consent,0.047619047619
6803,Supreme Court,Vaccine Injury Compensation Program,0.166666666667
6899,Supreme Court,rules of due process and law,1.0
6910,Supreme Court,violation of basic human rights,0.5
6922,Supreme Court,Constitution,1.0
6956,Supreme Court,court of law,1.0
7174,Supreme Court,violation of law,1.0
7360,Supreme Court,Apartheid,1.0
7584,Supreme Court,Bill of Rights,1.0
7763,Supreme Court,citizens,0.25
7784,Supreme Court,extraordinary powers,1.0
7885,Supreme Court,millions of dollars,0.25
8577,herd mentality,mercury,0.0263157894737
8739,herd mentality,CDC,0.0178571428571
8759,herd mentality,vaccine safety,0.05
8795,herd mentality,line up,0.25
9004,herd mentality,you,0.0625
9062,Norwegian health authorities,children,0.0338983050847
9098,Norwegian health authorities,shot of perspective,0.5
9104,Norwegian health authorities,mothers,0.2
9106,Norwegian health authorities,sicker children,0.5
9142,Norwegian health authorities,Penn and Teller,0.5
9159,Norwegian health authorities,healthier children,0.5
9227,Norwegian health authorities,Senate hearing,0.333333333333
9283,Norwegian health authorities,more health,0.5
9305,Norwegian health authorities,alienation,0.5
9311,Norwegian health authorities,change in attitude,0.333333333333
9539,Norwegian health authorities,modern medicine,0.333333333333
9680,Norwegian health authorities,Ryan Mojabi,0.25
9788,Norwegian health authorities,holocaust,0.166666666667
9795,Norwegian health authorities,pandemic H1N1 swine flu,0.2
9806,Norwegian health authorities,vaccine industry,0.0204081632653
9814,Norwegian health authorities,Prevnar,0.333333333333
9853,Norwegian health authorities,crime against children,0.5
9940,Norwegian health authorities,immunization,0.25
9946,Norwegian health authorities,Norwegian government,0.333333333333
10024,Norwegian health authorities,behavior changes,0.125
10085,Norwegian health authorities,autism,0.027027027027
10129,Norwegian health authorities,Jimmy Kimmel,0.5
10149,Norwegian health authorities,social size,0.5
10168,Norwegian health authorities,informed consent,0.0454545454545
10185,trace amounts of thimerosal,toxic adjuvants,0.142857142857
10198,trace amounts of thimerosal,disability,0.125
10203,trace amounts of thimerosal,medical fraud,0.166666666667
10211,trace amounts of thimerosal,financial compensation,0.0909090909091
10224,trace amounts of thimerosal,California government,0.0769230769231
10239,trace amounts of thimerosal,convenience,0.166666666667
10240,trace amounts of thimerosal,number of recommended shots,0.125
10244,trace amounts of thimerosal,GlaxoSmithKine's Energix B,0.1
10245,trace amounts of thimerosal,exemptions,0.142857142857
10246,trace amounts of thimerosal,neurotoxin,0.0769230769231
10252,trace amounts of thimerosal,genetic correlation,0.142857142857
10263,trace amounts of thimerosal,vaccine violence,0.125
10292,trace amounts of thimerosal,traditional medicine,0.166666666667
10311,trace amounts of thimerosal,bribery,0.142857142857
10314,trace amounts of thimerosal,toxic vaccines,0.142857142857
10329,trace amounts of thimerosal,immune system dysfunction,0.166666666667
10335,trace amounts of thimerosal,injury,0.0833333333333
10337,trace amounts of thimerosal,criminal side,0.166666666667
10352,trace amounts of thimerosal,health outcomes,0.142857142857
10401,trace amounts of thimerosal,public health,0.0833333333333
10404,trace amounts of thimerosal,chicken kidney cells,0.142857142857
10412,trace amounts of thimerosal,pandemic H1N1 swine flu vaccine,0.0434782608696
10414,trace amounts of thimerosal,Baby Boomers,0.1
10451,trace amounts of thimerosal,scientific fraud,0.0526315789474
10476,trace amounts of thimerosal,food,0.166666666667
10485,trace amounts of thimerosal,severe brain damage,0.142857142857
10505,trace amounts of thimerosal,control group,0.166666666667
10530,trace amounts of thimerosal,health,0.142857142857
10551,trace amounts of thimerosal,USDA food donations,0.111111111111
10552,trace amounts of thimerosal,brain damaged and autistic,0.142857142857
10561,trace amounts of thimerosal,flu-related hospitalizations,0.166666666667
10589,trace amounts of thimerosal,Congress,0.125
10612,trace amounts of thimerosal,Big Tobacco,0.142857142857
10614,trace amounts of thimerosal,doctors,0.0232558139535
10616,trace amounts of thimerosal,annual flu shot,0.111111111111
10641,trace amounts of thimerosal,Octoxinol-9,0.125
10646,trace amounts of thimerosal,vulnerable,0.166666666667
10659,trace amounts of thimerosal,vaccine ingredients,0.0384615384615
10664,trace amounts of thimerosal,intelligent questions,0.0666666666667
10680,trace amounts of thimerosal,Tween 80,0.142857142857
10695,trace amounts of thimerosal,formaldehyde,0.0714285714286
10715,trace amounts of thimerosal,brain dysfunction,0.166666666667
10723,trace amounts of thimerosal,financial collusion,0.166666666667
10738,trace amounts of thimerosal,trace levels of mercury,0.142857142857
10743,trace amounts of thimerosal,flu-related doctor visits,0.166666666667
10750,trace amounts of thimerosal,words,0.142857142857
10751,trace amounts of thimerosal,widespread health problems,0.142857142857
10774,trace amounts of thimerosal,cataplexy,0.111111111111
10780,trace amounts of thimerosal,parents of unvaccinated children,0.166666666667
10784,trace amounts of thimerosal,central nervous system inflammatory demyelination,0.166666666667
10791,trace amounts of thimerosal,mandatory vaccines,0.0714285714286
10807,trace amounts of thimerosal,vaccines,0.02
10810,trace amounts of thimerosal,families who decline vaccines,0.125
10828,trace amounts of thimerosal,lawsuit,0.111111111111
10829,trace amounts of thimerosal,neonatal infection,0.166666666667
10831,trace amounts of thimerosal,mercury,0.0857142857143
10845,trace amounts of thimerosal,mainstream media,0.025
10850,trace amounts of thimerosal,placebo,0.166666666667
10872,trace amounts of thimerosal,American Academy of Pediatrics,0.142857142857
10877,trace amounts of thimerosal,quackery,0.1
10878,trace amounts of thimerosal,deceitful social engineering,0.166666666667
10882,trace amounts of thimerosal,hepatitis B vaccine,0.0909090909091
10885,trace amounts of thimerosal,monosodium glutamate,0.0555555555556
10886,trace amounts of thimerosal,scientific tests,0.142857142857
10892,trace amounts of thimerosal,measles,0.0416666666667
10898,trace amounts of thimerosal,vaccination exemptions,0.0666666666667
10901,trace amounts of thimerosal,adverse effects,0.04
10907,trace amounts of thimerosal,learning disabilities,0.166666666667
10914,trace amounts of thimerosal,holocaust,0.1
10936,trace amounts of thimerosal,legal immunity,0.142857142857
10940,trace amounts of thimerosal,pregnant women,0.0769230769231
10952,trace amounts of thimerosal,vaccine reactions,0.0769230769231
10968,trace amounts of thimerosal,bullying,0.142857142857
10973,trace amounts of thimerosal,diabetes,0.166666666667
10985,trace amounts of thimerosal,Bruesewitz v. Wyeth,0.142857142857
10993,trace amounts of thimerosal,CDC,0.0181818181818
10997,trace amounts of thimerosal,flu-related deaths,0.166666666667
10999,trace amounts of thimerosal,International Business Times,0.125
11004,trace amounts of thimerosal,advertised,0.166666666667
11008,trace amounts of thimerosal,single visit,0.142857142857
11011,trace amounts of thimerosal,asthma,0.125
11014,trace amounts of thimerosal,vaccine safety,0.0526315789474
11022,trace amounts of thimerosal,narcolepsy,0.0625
11030,trace amounts of thimerosal,freedom of choice,0.142857142857
11031,trace amounts of thimerosal,humanity,0.166666666667
11035,trace amounts of thimerosal,victims,0.111111111111
11037,trace amounts of thimerosal,government,0.0714285714286
11039,trace amounts of thimerosal,simultaneous vaccinations,0.0909090909091
11040,trace amounts of thimerosal,chewable multivitamin,0.142857142857
11047,trace amounts of thimerosal,vaccine apologists,0.111111111111
11056,trace amounts of thimerosal,toxic chemical ingredients,0.0625
11067,trace amounts of thimerosal,state level,0.111111111111
11094,trace amounts of thimerosal,fraudulent,0.166666666667
11099,trace amounts of thimerosal,generation of children,0.166666666667
11101,trace amounts of thimerosal,CDC documents,0.125
11115,trace amounts of thimerosal,compromised immunity,0.0909090909091
11122,trace amounts of thimerosal,Triton X-100,0.125
11128,trace amounts of thimerosal,vaccine efficacy,0.0769230769231
11138,trace amounts of thimerosal,solid evidence,0.166666666667
11140,trace amounts of thimerosal,Global Post,0.125
11149,trace amounts of thimerosal,Americans,0.0833333333333
11153,trace amounts of thimerosal,risk of pneumonia,0.166666666667
11155,trace amounts of thimerosal,Big Pharma,0.0625
11159,trace amounts of thimerosal,pharmaceutical companies,0.0294117647059
11160,trace amounts of thimerosal,Bush Administration,0.142857142857
11168,trace amounts of thimerosal,ADHD,0.166666666667
11176,trace amounts of thimerosal,statistics,0.111111111111
11177,trace amounts of thimerosal,conflict of interest,0.142857142857
11178,trace amounts of thimerosal,vaccine dangers,0.111111111111
11179,trace amounts of thimerosal,vaccination,0.0714285714286
11190,trace amounts of thimerosal,thimerosal,0.0526315789474
11201,trace amounts of thimerosal,elderly,0.0909090909091
11204,trace amounts of thimerosal,brain-damaged,0.142857142857
11211,trace amounts of thimerosal,autism,0.0243902439024
11217,trace amounts of thimerosal,infants,0.0909090909091
11228,trace amounts of thimerosal,deaths,0.0555555555556
11230,trace amounts of thimerosal,parent's right,0.142857142857
11234,trace amounts of thimerosal,normal life,0.166666666667
11243,trace amounts of thimerosal,vaccines are safe,0.0714285714286
11248,trace amounts of thimerosal,Polysorbate 80,0.142857142857
11250,trace amounts of thimerosal,SB 277,0.04
11292,trace amounts of thimerosal,informed consent,0.0384615384615
11294,trace amounts of thimerosal,Every Child by Two,0.142857142857
11304,trace amounts of thimerosal,chronic disease,0.125
11322,toxic adjuvants,disability,0.666666666667
11335,toxic adjuvants,financial compensation,0.142857142857
11345,toxic adjuvants,brain inflammation,0.333333333333
11348,toxic adjuvants,California government,0.111111111111
11349,toxic adjuvants,thimerosal phase out,0.166666666667
11353,toxic adjuvants,school,0.5
11359,toxic adjuvants,autoimmune disorder,0.333333333333
11364,toxic adjuvants,number of recommended shots,0.25
11367,toxic adjuvants,genetically susceptible children,0.125
11368,toxic adjuvants,GlaxoSmithKine's Energix B,0.166666666667
11374,toxic adjuvants,lifelong immunity,0.5
11387,toxic adjuvants,vaccine violence,0.25
11395,toxic adjuvants,childhood diseases,0.2
11403,toxic adjuvants,righteous anger,0.25
11417,toxic adjuvants,traditional medicine,0.5
11424,toxic adjuvants,ineffective,0.5
11439,toxic adjuvants,toxic vaccines,0.333333333333
11445,toxic adjuvants,additive,0.333333333333
11453,toxic adjuvants,immune system dysfunction,0.5
11459,toxic adjuvants,injury,0.125
11471,toxic adjuvants,antibiotics,0.142857142857
11479,toxic adjuvants,public health officials,0.166666666667
11485,toxic adjuvants,science,0.0588235294118
11504,toxic adjuvants,black children,0.333333333333
11525,toxic adjuvants,public health,0.125
11536,toxic adjuvants,pandemic H1N1 swine flu vaccine,0.0526315789474
11538,toxic adjuvants,Baby Boomers,0.166666666667
11548,toxic adjuvants,effective,0.2
11578,toxic adjuvants,first-world nations,0.25
11579,toxic adjuvants,infectious diseases,0.166666666667
11584,toxic adjuvants,improved healthcare,0.5
11600,toxic adjuvants,food,0.5
11602,toxic adjuvants,safe,0.166666666667
11609,toxic adjuvants,severe brain damage,0.333333333333
11614,toxic adjuvants,genetically engineered human protein,0.333333333333
11616,toxic adjuvants,neurotoxins,0.5
11631,toxic adjuvants,reactions,0.333333333333
11632,toxic adjuvants,harm,0.25
11639,toxic adjuvants,improved santitation,0.5
11642,toxic adjuvants,harmful toxins,0.333333333333
11655,toxic adjuvants,health,0.333333333333
11674,toxic adjuvants,United States,0.0555555555556
11675,toxic adjuvants,USDA food donations,0.2
11676,toxic adjuvants,brain damaged and autistic,1.0
11683,toxic adjuvants,SV40,0.0555555555556
11699,toxic adjuvants,deadly diseases,0.5
11700,toxic adjuvants,National Vaccine Injury Compensation Program,0.0555555555556
11705,toxic adjuvants,safety,0.25
11738,toxic adjuvants,doctors,0.025641025641
11740,toxic adjuvants,annual flu shot,0.2
11741,toxic adjuvants,population,0.333333333333
11776,toxic adjuvants,abortion chemicals,0.333333333333
11783,toxic adjuvants,vaccine ingredients,0.0454545454545
11788,toxic adjuvants,intelligent questions,0.0909090909091
11806,toxic adjuvants,scientifically irresponsible assertion,0.333333333333
11812,toxic adjuvants,disease,0.2
11815,toxic adjuvants,flu shots,0.0333333333333
11819,toxic adjuvants,Dr. Suzanne Humphries,0.5
11820,toxic adjuvants,formaldehyde,0.1
11839,toxic adjuvants,debate,0.333333333333
11840,toxic adjuvants,brain dysfunction,0.5
11850,toxic adjuvants,good plumbing,0.5
11863,toxic adjuvants,trace levels of mercury,0.333333333333
11875,toxic adjuvants,words,0.333333333333
11876,toxic adjuvants,widespread health problems,1.0
11877,toxic adjuvants,genetic predisposition,0.111111111111
11884,toxic adjuvants,aluminum,0.0769230769231
11899,toxic adjuvants,cataplexy,0.2
11909,toxic adjuvants,central nervous system inflammatory demyelination,0.5
11910,toxic adjuvants,disabled children,0.2
11916,toxic adjuvants,mandatory vaccines,0.04
11917,toxic adjuvants,encephalopathy,0.142857142857
11925,toxic adjuvants,ethylmercury,0.25
11927,toxic adjuvants,pneumonia,0.333333333333
11954,toxic adjuvants,neonatal infection,0.5
11956,toxic adjuvants,mercury,0.0625
11963,toxic adjuvants,vaccine-autism link,0.0588235294118
11964,toxic adjuvants,Matthew Downing,0.142857142857
11970,toxic adjuvants,mainstream media,0.0277777777778
11996,toxic adjuvants,drug companies,0.0833333333333
12002,toxic adjuvants,quackery,0.166666666667
12007,toxic adjuvants,hepatitis B vaccine,0.0526315789474
12010,toxic adjuvants,monosodium glutamate,0.0714285714286
12014,toxic adjuvants,efficacy,0.25
12017,toxic adjuvants,measles,0.05
12032,toxic adjuvants,learning disabilities,0.5
12033,toxic adjuvants,widespread fear,0.333333333333
12046,toxic adjuvants,pandemic H1N1 swine flu,0.2
12057,toxic adjuvants,vaccine industry,0.0416666666667
12058,toxic adjuvants,improved living conditions,0.333333333333
12063,toxic adjuvants,immune system,0.333333333333
12066,toxic adjuvants,pregnant women,0.111111111111
12069,toxic adjuvants,clinical trials,0.2
12078,toxic adjuvants,vaccine reactions,0.111111111111
12099,toxic adjuvants,diabetes,0.5
12119,toxic adjuvants,CDC,0.0196078431373
12125,toxic adjuvants,International Business Times,0.25
12132,toxic adjuvants,more severe autism,0.5
12134,toxic adjuvants,single visit,1.0
12137,toxic adjuvants,asthma,0.25
12139,toxic adjuvants,toxic substances,0.333333333333
12148,toxic adjuvants,narcolepsy,0.0833333333333
12161,toxic adjuvants,victims,0.2
12165,toxic adjuvants,simultaneous vaccinations,0.142857142857
12166,toxic adjuvants,chewable multivitamin,0.333333333333
12173,toxic adjuvants,vaccine apologists,0.2
12182,toxic adjuvants,toxic chemical ingredients,0.181818181818
12194,toxic adjuvants,side effects,0.25
12203,toxic adjuvants,mentally challenged,0.25
12229,toxic adjuvants,benefit,0.5
12241,toxic adjuvants,compromised immunity,0.142857142857
12243,toxic adjuvants,sick children,0.2
12247,toxic adjuvants,schedule,0.5
