,u,v,adamic_adar
4795,children,children with family history of autism,0.328458738753
4796,children,immune memory cells,0.261189256564
4800,children,worried,0.254334778144
4801,children,parental rights,0.254334778144
4802,children,health officials,0.261189256564
4805,children,research,0.923456196013
4807,children,religious groups,0.258317766807
4814,children,United States,0.982536777009
4816,children,Gardasil,0.254334778144
4817,children,immune response,0.675350158232
4819,children,benefits,0.333808200695
4821,children,anti-vaccination,1.38361445989
4822,children,threat,0.261189256564
4824,children,Prabhupada Village,0.261189256564
4825,children,Washington State public-private pilot program,0.254334778144
4828,children,Dr. Adams,0.254334778144
4829,children,genital warts,0.258317766807
4833,children,seizures,0.261189256564
4834,children,legitimate reasons,0.254334778144
4838,children,pneumonia deaths,0.333808200695
4842,children,compromise,0.254334778144
4843,children,Disneyland,0.261189256564
4845,children,vaccine hesitancy,0.254334778144
4848,children,uninformed,0.254334778144
4849,children,doctors,0.254334778144
4851,children,risk of cervical dysplasia,0.258317766807
4853,children,pneumonia,0.261189256564
4854,children,written down,0.258317766807
4861,children,childcare,0.254334778144
4864,children,protective effect of vaccines,1.05515572114
4868,children,policy makers,0.930930733794
4871,children,cervical dysplasia,0.258317766807
4872,children,funds,0.258317766807
4879,children,medical exemption,0.254334778144
4881,children,ear infections,0.261189256564
4885,children,childhood disease,0.261189256564
4887,children,environmental factors,0.333808200695
4889,children,reduction in child mortality,0.333808200695
4893,children,personal belief exemption,0.254334778144
4900,children,Jewish dietary laws,0.258317766807
4903,children,fear,0.328458738753
4904,children,reduction in mortality,0.333808200695
4905,children,World Health Organization,0.261189256564
4906,children,delaying Gardasil,0.254334778144
4907,children,autism risk,0.417032391424
4912,children,herd immunity,0.261189256564
4920,children,unethical,0.721347520444
4923,children,imitation infection,0.417032391424
4926,children,orthodox Hasidic Jews,0.480898346963
4928,children,opportunistic infections,0.333808200695
4935,children,medical law,0.258317766807
4937,children,free vaccine,0.480898346963
4939,children,vaccine refusal,0.515524034708
4942,children,Jehovah's Witnesses,0.258317766807
4946,children,William Moss,0.333808200695
4947,children,vaccinated children and unvaccinated children,0.333808200695
4948,children,diarrhea deaths,0.333808200695
4950,children,vaccine success,0.254334778144
4952,children,behavioral research,0.254334778144
4963,children,models of disease,0.261189256564
4967,children,scientific paper,0.328458738753
4970,children,recommended vaccine schedule,0.254334778144
4972,children,cancer,0.254334778144
4974,children,saved lives,0.258317766807
4975,children,community,2.4362459328
4977,children,church,0.258317766807
4981,children,interventions,0.261189256564
4983,children,California,0.261189256564
4990,children,families,0.333808200695
4993,children,argument,0.328458738753
4995,children,evidence,0.328458738753
5003,children,exist,0.328458738753
5010,children,immune system,0.678221647988
5011,children,Hinduism,0.258317766807
5012,children,triple hit,0.721347520444
5013,children,pregnant women,0.721347520444
5014,children,Mina study,0.254334778144
5015,children,immunosuppression,0.678221647988
5016,children,severity,0.333808200695
5021,children,state-level policies,0.261189256564
5022,children,daughters,0.254334778144
5023,children,home-school,0.51389834237
5028,children,risk of fainting,0.258317766807
5029,children,bad news,0.261189256564
5034,children,harmful association,0.333808200695
5037,children,prevention,0.417032391424
5039,children,unvaccinated children,0.261189256564
5043,children,eliminated virus,0.261189256564
5045,children,Dutch Bible belt,0.261189256564
5051,children,rubella elimination,0.678221647988
5052,children,revaccinated,0.480898346963
5053,children,anti-vaccine eugenics community,0.261189256564
5054,children,personal belief reasons,0.768233120514
5055,children,vaccine-preventable diseases,0.261189256564
5057,children,insurance claims,0.62133493456
5058,children,victims,0.261189256564
5059,children,myth,0.721347520444
5062,children,minor symptoms,0.258317766807
5067,children,side effects,0.254334778144
5069,children,children at higher risk for autism,0.662266939448
5070,children,people,0.258317766807
5080,children,vaccinated children,0.333808200695
5082,children,religion,0.742087603527
5083,children,infectious disease,0.254334778144
5088,children,preventable disease,0.519507023372
5097,children,world,0.417032391424
5107,children,childhood mortality,0.59499745726
5108,children,Eagle Mountain International Church,0.261189256564
5111,children,health benefits,0.333808200695
5113,children,vaccination,0.678221647988
5115,children,religious beliefs,0.768233120514
5121,children,peers,0.254334778144
5123,children,link,0.258317766807
5128,children,complications,0.417032391424
5130,children,infants,1.32727161805
5132,children,adults,0.328458738753
5133,children,deaths,0.261189256564
5134,children,vaccine debate,0.62133493456
5135,children,sales,0.333808200695
5136,children,vaccinated individuals,0.258317766807
5137,children,pig,0.258317766807
5146,children,SB 277,1.50744923428
5150,children,driving factors,0.254334778144
5151,children,sexually active,0.254334778144
5152,children,immunity,1.42974625
5154,children,sense of urgency,0.254334778144
5155,children,rubella,0.721347520444
5166,children,Robert F. Kennedy Jr.,0.258317766807
5167,children,friends,0.254334778144
5170,children,scheduled appointment,0.254334778144
5172,children,Netherlands Reformed Congregation,0.261189256564
5173,children,immune protection,0.261189256564
5174,children,environmental trigger,0.417032391424
5177,children,Tdap vaccine,0.254334778144
5241,vaccination schedule,National Infant Immunization Week,0.480898346963
5252,vaccination schedule,withholding vaccines,0.333808200695
5317,vaccination schedule,vaccinated,0.333808200695
5369,vaccination schedule,parental responsibility,0.333808200695
5399,vaccination schedule,vaccination of pregnant women,0.480898346963
5427,vaccination schedule,MMR vaccine,0.333808200695
5433,vaccination schedule,birth defects,0.333808200695
5457,vaccination schedule,disease,0.814706547658
5482,vaccination schedule,recommended vaccines,0.480898346963
5483,vaccination schedule,genetic predisposition,0.333808200695
5513,vaccination schedule,vaccines,1.05515572114
5531,vaccination schedule,vaccine-autism link,0.333808200695
5557,vaccination schedule,measles,1.05515572114
5616,vaccination schedule,whooping cough,0.480898346963
5617,vaccination schedule,parents,0.333808200695
5629,vaccination schedule,minor symptoms,0.721347520444
5631,vaccination schedule,JAMA study,0.333808200695
5640,vaccination schedule,vaccine delay,0.333808200695
5652,vaccination schedule,measles vaccine,0.333808200695
5653,vaccination schedule,developmental disability,0.333808200695
5664,vaccination schedule,whooping cough vaccine,0.480898346963
5687,vaccination schedule,early education,0.333808200695
5710,vaccination schedule,health care,0.333808200695
5715,vaccination schedule,autism,0.333808200695
5722,vaccination schedule,vaccine requirements,0.333808200695
5750,vaccination schedule,Tdap vaccine,0.480898346963
6032,best-sellers,celebrities,0.910239226627
6084,best-sellers,vaccines,0.910239226627
6413,American Medical Association,states,0.389871245251
6422,American Medical Association,vaccination exemption,0.389871245251
6431,American Medical Association,philosophical exemption,0.389871245251
6503,American Medical Association,health officials,0.389871245251
6508,American Medical Association,religious groups,0.389871245251
6529,American Medical Association,Dr. Adams,0.721347520444
6543,American Medical Association,compromise,0.389871245251
6549,American Medical Association,uninformed,0.389871245251
6678,American Medical Association,reasons,0.389871245251
6757,American Medical Association,parents,0.389871245251
6780,American Medical Association,vaccine delay,0.721347520444
6791,American Medical Association,religion,1.44269504089
6810,American Medical Association,Dr. Mark Schleiss,0.721347520444
6860,American Medical Association,SB 277,0.389871245251
6947,Orthodox Jewish communities,low vaccination rates,0.261189256564
6952,Orthodox Jewish communities,brain damage,0.261189256564
7010,Orthodox Jewish communities,measles resurgence,0.261189256564
7051,Orthodox Jewish communities,infectious disease mortality,0.261189256564
7057,Orthodox Jewish communities,Disneyland measles outbreak,0.261189256564
7059,Orthodox Jewish communities,measles experience,0.261189256564
7066,Orthodox Jewish communities,immune memory cells,0.261189256564
7072,Orthodox Jewish communities,health officials,0.261189256564
7075,Orthodox Jewish communities,research,0.261189256564
7085,Orthodox Jewish communities,United States,0.261189256564
7093,Orthodox Jewish communities,threat,0.261189256564
7095,Orthodox Jewish communities,Prabhupada Village,0.261189256564
7104,Orthodox Jewish communities,seizures,0.261189256564
7114,Orthodox Jewish communities,Disneyland,0.261189256564
7124,Orthodox Jewish communities,pneumonia,0.261189256564
7154,Orthodox Jewish communities,ear infections,0.261189256564
7158,Orthodox Jewish communities,childhood disease,0.261189256564
7179,Orthodox Jewish communities,World Health Organization,0.261189256564
7186,Orthodox Jewish communities,herd immunity,0.261189256564
7214,Orthodox Jewish communities,vaccine refusal,0.261189256564
7239,Orthodox Jewish communities,models of disease,0.261189256564
7258,Orthodox Jewish communities,interventions,0.261189256564
7260,Orthodox Jewish communities,California,0.261189256564
7287,Orthodox Jewish communities,immune system,0.261189256564
7292,Orthodox Jewish communities,immunosuppression,0.261189256564
7298,Orthodox Jewish communities,state-level policies,0.261189256564
7306,Orthodox Jewish communities,bad news,0.261189256564
7316,Orthodox Jewish communities,unvaccinated children,0.261189256564
7320,Orthodox Jewish communities,eliminated virus,0.261189256564
7322,Orthodox Jewish communities,Dutch Bible belt,0.261189256564
7328,Orthodox Jewish communities,parents,0.261189256564
7329,Orthodox Jewish communities,rubella elimination,0.261189256564
7331,Orthodox Jewish communities,anti-vaccine eugenics community,0.261189256564
7333,Orthodox Jewish communities,vaccine-preventable diseases,0.261189256564
7336,Orthodox Jewish communities,victims,0.261189256564
7362,Orthodox Jewish communities,religion,0.261189256564
7370,Orthodox Jewish communities,preventable disease,0.261189256564
7389,Orthodox Jewish communities,childhood mortality,0.261189256564
7390,Orthodox Jewish communities,Eagle Mountain International Church,0.261189256564
7395,Orthodox Jewish communities,vaccination,0.261189256564
7416,Orthodox Jewish communities,deaths,0.261189256564
7438,Orthodox Jewish communities,immunity,0.261189256564
7458,Orthodox Jewish communities,Netherlands Reformed Congregation,0.261189256564
7459,Orthodox Jewish communities,immune protection,0.261189256564
7473,fence-sitters,choice,0.258317766807
7478,fence-sitters,spread of infectious diseases,0.258317766807
7493,fence-sitters,vaccine alternatives,0.258317766807
7496,fence-sitters,scientists,0.328458738753
7500,fence-sitters,efficacious,0.258317766807
7506,fence-sitters,protection,0.258317766807
7510,fence-sitters,Jews,0.258317766807
7518,fence-sitters,studies,0.328458738753
7541,fence-sitters,meningococcal disease,0.258317766807
7544,fence-sitters,infection,0.258317766807
7553,fence-sitters,science,0.58677650556
7566,fence-sitters,Wakefield study,0.328458738753
7570,fence-sitters,population health,0.258317766807
7572,fence-sitters,polio,0.258317766807
7573,fence-sitters,risk of infection,0.258317766807
7577,fence-sitters,public health,0.58677650556
7578,fence-sitters,neurological problems,0.258317766807
7581,fence-sitters,gelatin,0.258317766807
7582,fence-sitters,medical advancement,0.258317766807
7585,fence-sitters,Jain study,0.328458738753
7591,fence-sitters,hypotheses,0.328458738753
7616,fence-sitters,safe,0.258317766807
7623,fence-sitters,schools,0.258317766807
7635,fence-sitters,children with family history of autism,0.328458738753
7645,fence-sitters,research,0.328458738753
7647,fence-sitters,religious groups,0.258317766807
7658,fence-sitters,immune response,0.258317766807
7662,fence-sitters,anti-vaccination,0.328458738753
7670,fence-sitters,genital warts,0.258317766807
7692,fence-sitters,risk of cervical dysplasia,0.258317766807
7695,fence-sitters,written down,0.258317766807
7713,fence-sitters,cervical dysplasia,0.258317766807
7715,fence-sitters,funds,0.258317766807
7738,fence-sitters,disease,0.258317766807
7744,fence-sitters,Jewish dietary laws,0.258317766807
7747,fence-sitters,fear,0.328458738753
7780,fence-sitters,medical law,0.258317766807
7787,fence-sitters,Jehovah's Witnesses,0.258317766807
7812,fence-sitters,scientific paper,0.328458738753
7819,fence-sitters,saved lives,0.258317766807
7820,fence-sitters,community,0.258317766807
7822,fence-sitters,church,0.258317766807
7839,fence-sitters,argument,0.328458738753
7840,fence-sitters,pediatricians,1.44269504089
7841,fence-sitters,evidence,0.328458738753
7848,fence-sitters,exist,0.328458738753
7856,fence-sitters,Hinduism,0.258317766807
7873,fence-sitters,risk of fainting,0.258317766807
7896,fence-sitters,parents,0.58677650556
7908,fence-sitters,minor symptoms,0.258317766807
7910,fence-sitters,JAMA study,0.328458738753
7916,fence-sitters,children at higher risk for autism,0.328458738753
7917,fence-sitters,people,0.258317766807
7937,fence-sitters,preventable disease,0.258317766807
7973,fence-sitters,link,0.258317766807
7982,fence-sitters,adults,0.328458738753
7986,fence-sitters,vaccinated individuals,0.258317766807
7987,fence-sitters,pig,0.258317766807
7989,fence-sitters,health care,0.258317766807
7994,fence-sitters,autism,0.258317766807
7998,fence-sitters,SB 277,0.258317766807
8005,fence-sitters,immunity,0.258317766807
8019,fence-sitters,Robert F. Kennedy Jr.,0.258317766807
8379,Journal of the American Medical Association,vaccine-autism link,0.62133493456
8472,Journal of the American Medical Association,insurance claims,0.62133493456
8553,Journal of the American Medical Association,vaccine debate,0.62133493456
8602,sexually transmitted virus,reduction in HPV,0.3001016285
8603,sexually transmitted virus,fear of autism,0.254334778144
8641,sexually transmitted virus,protection,0.554436406644
8672,sexually transmitted virus,unvaccinated-friendly day care centres,0.254334778144
8684,sexually transmitted virus,women,0.558110626551
8694,sexually transmitted virus,vaccination exemption,0.254334778144
8701,sexually transmitted virus,teen girls,0.3001016285
8705,sexually transmitted virus,infection at multiple sites,0.3001016285
8708,sexually transmitted virus,potential risks,0.254334778144
8728,sexually transmitted virus,vaccine-free day care centres,0.254334778144
8748,sexually transmitted virus,HPV vaccine recommendations,0.3001016285
8757,sexually transmitted virus,schools,0.254334778144
8768,sexually transmitted virus,distrust of medical establishment,0.254334778144
8774,sexually transmitted virus,worried,0.254334778144
8775,sexually transmitted virus,parental rights,0.254334778144
8776,sexually transmitted virus,health officials,0.3001016285
8782,sexually transmitted virus,women without previous HPV,0.3001016285
8789,sexually transmitted virus,United States,0.3001016285
8791,sexually transmitted virus,Gardasil,0.812445404695
8800,sexually transmitted virus,Washington State public-private pilot program,0.254334778144
8801,sexually transmitted virus,women previously exposed to HPV,0.3001016285
8803,sexually transmitted virus,Dr. Adams,0.254334778144
8804,sexually transmitted virus,genital warts,0.3001016285
8809,sexually transmitted virus,legitimate reasons,0.254334778144
8814,sexually transmitted virus,girls,0.3001016285
8817,sexually transmitted virus,compromise,0.254334778144
8820,sexually transmitted virus,vaccine hesitancy,0.254334778144
8823,sexually transmitted virus,uninformed,0.254334778144
8824,sexually transmitted virus,doctors,0.254334778144
8836,sexually transmitted virus,childcare,0.254334778144
8847,sexually transmitted virus,cervical dysplasia,0.858212255052
8856,sexually transmitted virus,medical exemption,0.254334778144
8870,sexually transmitted virus,personal belief exemption,0.254334778144
8884,sexually transmitted virus,delaying Gardasil,0.254334778144
8892,sexually transmitted virus,vaccine efficacy,0.3001016285
8894,sexually transmitted virus,medical conditions,0.558110626551
8910,sexually transmitted virus,at risk,0.3001016285
8918,sexually transmitted virus,vaccine refusal,0.254334778144
8919,sexually transmitted virus,sex,0.3001016285
8929,sexually transmitted virus,vaccines,0.254334778144
8930,sexually transmitted virus,vaccine success,0.254334778144
8932,sexually transmitted virus,behavioral research,0.254334778144
8946,sexually transmitted virus,vaccine-autism link,0.254334778144
8950,sexually transmitted virus,recommended vaccine schedule,0.254334778144
8952,sexually transmitted virus,cancer,1.99713144753
8955,sexually transmitted virus,community,0.254334778144
8960,sexually transmitted virus,ages 11 or 12,0.3001016285
8971,sexually transmitted virus,meningitis,0.3001016285
8972,sexually transmitted virus,measles,0.254334778144
8995,sexually transmitted virus,Mina study,0.254334778144
9003,sexually transmitted virus,daughters,0.254334778144
9007,sexually transmitted virus,multi-site protection,0.3001016285
9016,sexually transmitted virus,partial protection,0.3001016285
9026,sexually transmitted virus,high-risk types of HPV,0.3001016285
9034,sexually transmitted virus,personal belief reasons,0.254334778144
9048,sexually transmitted virus,side effects,0.254334778144
9053,sexually transmitted virus,vaccine delay,0.254334778144
9065,sexually transmitted virus,measles vaccine,0.254334778144
9066,sexually transmitted virus,developmental disability,0.254334778144
9067,sexually transmitted virus,infectious disease,0.254334778144
9095,sexually transmitted virus,health benefits,0.3001016285
9099,sexually transmitted virus,religious beliefs,0.254334778144
9105,sexually transmitted virus,peers,0.254334778144
9106,sexually transmitted virus,boys,0.3001016285
9128,sexually transmitted virus,autism,0.254334778144
9130,sexually transmitted virus,preventing cancer,0.3001016285
9132,sexually transmitted virus,SB 277,0.254334778144
9137,sexually transmitted virus,driving factors,0.254334778144
9138,sexually transmitted virus,sexually active,0.254334778144
9141,sexually transmitted virus,sense of urgency,0.254334778144
9147,sexually transmitted virus,HPV infection,0.3001016285
9154,sexually transmitted virus,friends,0.254334778144
9157,sexually transmitted virus,scheduled appointment,0.254334778144
9164,sexually transmitted virus,Tdap vaccine,0.554436406644
9175,fear of autism,ill effects,0.480898346963
9179,fear of autism,debunked,0.480898346963
9205,fear of autism,protection,0.671367169568
9211,fear of autism,vast amounts of money,0.480898346963
9237,fear of autism,unvaccinated-friendly day care centres,0.254334778144
9259,fear of autism,vaccination exemption,0.254334778144
9272,fear of autism,potential risks,0.254334778144
9275,fear of autism,public health,0.806903636676
9278,fear of autism,measles resurgence,0.417032391424
9292,fear of autism,vaccine-free day care centres,0.254334778144
9308,fear of autism,physicians,0.417032391424
9321,fear of autism,schools,0.254334778144
9332,fear of autism,distrust of medical establishment,0.254334778144
9338,fear of autism,worried,0.254334778144
9339,fear of autism,parental rights,0.254334778144
9355,fear of autism,Gardasil,0.254334778144
9356,fear of autism,immune response,0.417032391424
9364,fear of autism,Washington State public-private pilot program,0.254334778144
9367,fear of autism,Dr. Adams,0.254334778144
9370,fear of autism,vast amounts of time,0.480898346963
9373,fear of autism,legitimate reasons,0.254334778144
9381,fear of autism,compromise,0.254334778144
9384,fear of autism,vaccine hesitancy,0.254334778144
9387,fear of autism,uninformed,0.254334778144
9388,fear of autism,doctors,0.644206023395
9400,fear of autism,childcare,0.254334778144
9405,fear of autism,retracted,0.480898346963
9408,fear of autism,policy makers,0.417032391424
9420,fear of autism,medical exemption,0.254334778144
9434,fear of autism,personal belief exemption,0.254334778144
9448,fear of autism,delaying Gardasil,0.254334778144
9449,fear of autism,autism risk,0.389871245251
9492,fear of autism,vaccines,0.254334778144
9494,fear of autism,behavioral research,0.254334778144
9502,fear of autism,risk of mumps,0.389871245251
9509,fear of autism,vaccine-autism link,0.735233125107
9513,fear of autism,recommended vaccine schedule,0.254334778144
9515,fear of autism,cancer,0.254334778144
9518,fear of autism,community,0.254334778144
9520,fear of autism,church,0.389871245251
9527,fear of autism,risk of rubella,0.389871245251
9535,fear of autism,measles,0.644206023395
9558,fear of autism,Mina study,0.254334778144
9567,fear of autism,daughters,0.254334778144
9581,fear of autism,prevention,0.417032391424
9598,fear of autism,personal belief reasons,0.644206023395
9612,fear of autism,side effects,0.254334778144
