,u,v,adamic_adar
3527,vaccine efficacy,artificial vaccine,0.51389834237
3584,vaccine efficacy,PLOS Computational Biology,0.51389834237
3595,vaccine efficacy,effective,0.721347520444
3600,vaccine efficacy,Tdap vaccine,0.51389834237
3609,vaccines cause childhood illnesses,University of British Columbia,0.480898346963
3658,vaccines cause childhood illnesses,vaccine-autism link,0.480898346963
3678,vaccines cause childhood illnesses,cognitive disorders,0.480898346963
3679,vaccines cause childhood illnesses,Alfred and Lisa Claire Dwoskin,0.480898346963
3704,vaccines cause childhood illnesses,immune disorders,0.480898346963
3734,vaccines cause childhood illnesses,National Vaccine Information Center,0.480898346963
3805,University of British Columbia,anti-vaccination,0.721347520444
3820,University of British Columbia,Andrew Wakefield,0.721347520444
3823,University of British Columbia,cognitive disorders,0.480898346963
3824,University of British Columbia,Alfred and Lisa Claire Dwoskin,0.480898346963
3849,University of British Columbia,immune disorders,0.480898346963
3879,University of British Columbia,National Vaccine Information Center,0.480898346963
3908,anti-vaxx movement,negative perception,0.352956123865
3915,anti-vaxx movement,government mandate,0.352956123865
3938,anti-vaxx movement,vaccine risk,0.352956123865
3946,anti-vaxx movement,the sake of being anti-vaccine,0.352956123865
3948,anti-vaxx movement,vaccine-autism link,0.352956123865
3964,anti-vaxx movement,Andrew Wakefield,0.352956123865
3989,anti-vaxx movement,measles outbreak,0.352956123865
3994,anti-vaxx movement,Wakefield study,0.352956123865
4003,anti-vaxx movement,misrepresentation,0.352956123865
4006,anti-vaxx movement,medical belief,0.352956123865
4009,anti-vaxx movement,politicians,0.352956123865
4018,anti-vaxx movement,vaccine-injured children,0.352956123865
4032,anti-vaxx movement,Jenny McCarthy,0.352956123865
4035,anti-vaxx movement,anti-vaxxers,0.352956123865
4039,anti-vaxx movement,open conversations,0.352956123865
4102,chronic illness,Barry Segal,0.721347520444
4143,chronic illness,autism,0.721347520444
4187,necessary,for-profit,0.345976256261
4189,necessary,man-made,0.345976256261
4193,necessary,magic,0.345976256261
4200,necessary,side effects,0.345976256261
4212,necessary,voluntary,0.345976256261
4219,necessary,Pez dispensers,0.345976256261
4221,necessary,Rand Paul,0.345976256261
4222,necessary,childhood illnesses,0.345976256261
4226,necessary,protection,0.345976256261
4243,necessary,miracles,0.345976256261
4253,necessary,cognitive disorders,0.345976256261
4255,necessary,pharmaceuticals,0.345976256261
4262,necessary,imperfect,0.345976256261
4271,necessary,infants,0.345976256261
4279,necessary,immune disorders,0.345976256261
4316,necessary,effective,0.345976256261
4329,man-made,for-profit,0.345976256261
4334,man-made,magic,0.345976256261
4341,man-made,side effects,0.345976256261
4353,man-made,voluntary,0.345976256261
4360,man-made,Pez dispensers,0.345976256261
4362,man-made,Rand Paul,0.345976256261
4363,man-made,childhood illnesses,0.345976256261
4367,man-made,protection,0.345976256261
4384,man-made,miracles,0.345976256261
4394,man-made,cognitive disorders,0.345976256261
4396,man-made,pharmaceuticals,0.345976256261
4403,man-made,imperfect,0.345976256261
4412,man-made,infants,0.345976256261
4420,man-made,immune disorders,0.345976256261
4457,man-made,effective,0.345976256261
4497,Focus for Health,Lisa and J.B. Handley,0.721347520444
4511,Focus for Health,diagnoses,0.62133493456
4532,Focus for Health,Andrew Wakefield,0.721347520444
4596,Focus for Health,MMR vaccine,0.62133493456
4598,Focus for Health,Jenny McCarthy,0.721347520444
4603,Focus for Health,diagnosis,0.62133493456
4710,school,SB 277,1.44269504089
4849,parental choice,SB 277,1.44269504089
4886,magic,for-profit,0.345976256261
4894,magic,side effects,0.345976256261
4906,magic,voluntary,0.345976256261
4913,magic,Pez dispensers,0.345976256261
4915,magic,Rand Paul,0.345976256261
4916,magic,childhood illnesses,0.345976256261
4920,magic,protection,0.345976256261
4936,magic,miracles,0.345976256261
4946,magic,cognitive disorders,0.345976256261
4948,magic,pharmaceuticals,0.345976256261
4955,magic,imperfect,0.345976256261
4965,magic,infants,0.345976256261
4973,magic,immune disorders,0.345976256261
5010,magic,effective,0.345976256261
5031,negative perception,government mandate,0.352956123865
5054,negative perception,vaccine risk,1.26319535049
5062,negative perception,the sake of being anti-vaccine,0.352956123865
5064,negative perception,vaccine-autism link,0.352956123865
5079,negative perception,Andrew Wakefield,0.352956123865
5105,negative perception,measles outbreak,0.352956123865
5110,negative perception,Wakefield study,0.352956123865
5119,negative perception,misrepresentation,0.352956123865
5122,negative perception,medical belief,0.352956123865
5125,negative perception,politicians,0.352956123865
5134,negative perception,vaccine-injured children,0.352956123865
5147,negative perception,Jenny McCarthy,0.352956123865
5150,negative perception,anti-vaxxers,0.352956123865
5154,7-11 year olds,increase in cases,0.389871245251
5156,7-11 year olds,whooping cough,0.389871245251
5181,7-11 year olds,teens,0.389871245251
5188,7-11 year olds,vomiting,0.389871245251
5189,7-11 year olds,United States,0.389871245251
5200,7-11 year olds,vaccination,0.389871245251
5214,7-11 year olds,Australia,0.389871245251
5228,7-11 year olds,severe coughing,0.389871245251
5234,7-11 year olds,infants,0.389871245251
5239,7-11 year olds,adults,0.389871245251
5263,7-11 year olds,pertussis vaccine,1.44269504089
5363,Disneyland measles outbreak,Richard Pan,0.721347520444
5388,Disneyland measles outbreak,SB 277,0.721347520444
5441,acelluar vaccine,acellular pertussis vaccine,0.910239226627
5543,acelluar vaccine,whole-cell vaccine,0.910239226627
5620,immunization,Connie Leyva,0.558110626551
5647,immunization,education,0.558110626551
5655,immunization,SB 277,0.558110626551
5666,immunization,home-school,0.558110626551
5691,increase in cases,whooping cough,0.389871245251
5714,increase in cases,teens,0.389871245251
5721,increase in cases,vomiting,0.389871245251
5722,increase in cases,United States,0.389871245251
5733,increase in cases,vaccination,0.389871245251
5747,increase in cases,Australia,0.389871245251
5761,increase in cases,severe coughing,0.389871245251
5767,increase in cases,infants,0.389871245251
5772,increase in cases,adults,0.389871245251
5829,Children's Hospital of Philadelphia,waning effectiveness,0.910239226627
5926,Children's Hospital of Philadelphia,pertussis vaccine,0.910239226627
5954,side effects,for-profit,0.345976256261
5963,side effects,changes,0.389871245251
5964,side effects,vaccine duration,0.389871245251
5967,side effects,voluntary,0.345976256261
5969,side effects,waning immunity,0.389871245251
5974,side effects,Pez dispensers,0.345976256261
5975,side effects,Rand Paul,0.345976256261
5976,side effects,childhood illnesses,0.345976256261
5980,side effects,protection,0.345976256261
5992,side effects,pertussis increase,0.389871245251
5994,side effects,adolescents,0.389871245251
5996,side effects,miracles,0.345976256261
6006,side effects,cognitive disorders,0.345976256261
6008,side effects,pharmaceuticals,0.345976256261
6015,side effects,imperfect,0.345976256261
6019,side effects,cases,0.389871245251
6022,side effects,CDC,0.389871245251
6025,side effects,infants,0.345976256261
6027,side effects,medical science,0.389871245251
6033,side effects,immune disorders,0.345976256261
6040,side effects,pregnant women,0.389871245251
6052,side effects,effectiveness,0.389871245251
6069,side effects,effective,0.345976256261
6105,government mandate,vaccine risk,0.352956123865
6113,government mandate,the sake of being anti-vaccine,0.352956123865
6115,government mandate,vaccine-autism link,0.352956123865
6130,government mandate,Andrew Wakefield,0.352956123865
6156,government mandate,measles outbreak,0.352956123865
6161,government mandate,Wakefield study,0.352956123865
6170,government mandate,misrepresentation,0.352956123865
6173,government mandate,medical belief,0.352956123865
6176,government mandate,politicians,0.352956123865
6185,government mandate,vaccine-injured children,0.352956123865
6198,government mandate,Jenny McCarthy,0.352956123865
6201,government mandate,anti-vaxxers,0.352956123865
6204,government mandate,open conversations,0.352956123865
6205,everyone,low-income family,0.314657980444
6210,everyone,infectious disease,0.314657980444
6217,everyone,changes,0.314657980444
6222,everyone,vaccinated children,0.314657980444
6242,everyone,proposed restrictions,0.314657980444
6244,everyone,fair balance,0.314657980444
6254,everyone,committee hearing room,0.314657980444
6266,everyone,Connie Leyva,0.314657980444
6267,everyone,California,0.314657980444
6268,everyone,Chairwoman Carol Liu,0.314657980444
6269,everyone,Senate committee,0.314657980444
6277,everyone,Saron Runner,0.314657980444
6280,everyone,Tina Kimmel,0.314657980444
6284,everyone,Senate Education Committee,0.314657980444
6287,everyone,vaccination exemption,0.314657980444
6293,everyone,education,0.314657980444
6296,everyone,public education,0.314657980444
6310,everyone,home-school,0.314657980444
6326,everyone,personal belief exemption,0.314657980444
6384,nonprofit organizations,wealthy family foundations,0.721347520444
6405,nonprofit organizations,polarized area,0.721347520444
6499,waning effectiveness,Americans,0.910239226627
6559,waning effectiveness,pertussis vaccine,1.82047845325
6695,standard flu vaccine,high-dose flu vaccine,1.44269504089
6712,elderly,mixed findings,0.480898346963
6735,elderly,immune response,0.480898346963
6753,elderly,age 65 and older,0.480898346963
6754,elderly,standard vaccine,0.480898346963
6779,elderly,age 85 and older,0.480898346963
6911,state-required vaccinations,education,0.558110626551
6918,state-required vaccinations,SB 277,0.558110626551
6927,state-required vaccinations,pertussis vaccine,0.558110626551
6939,state-required vaccinations,whole-cell vaccine,0.558110626551
6960,vaccine duration,changes,0.389871245251
6962,vaccine duration,acellular pertussis vaccine,1.44269504089
6965,vaccine duration,waning immunity,0.389871245251
6990,vaccine duration,pertussis increase,0.389871245251
6992,vaccine duration,adolescents,0.389871245251
7016,vaccine duration,cases,0.389871245251
7019,vaccine duration,CDC,0.389871245251
7024,vaccine duration,medical science,0.389871245251
7036,vaccine duration,pregnant women,0.389871245251
7048,vaccine duration,effectiveness,0.389871245251
7096,bacteria,protection,0.51389834237
7117,bacteria,artificial vaccine,0.51389834237
7173,bacteria,PLOS Computational Biology,0.51389834237
7180,bacteria,whole-cell vaccine,0.51389834237
7188,bacteria,Tdap vaccine,0.51389834237
7198,acellular pertussis vaccine,immune response,0.910239226627
7204,acellular pertussis vaccine,vaccines,1.44269504089
7299,acellular pertussis vaccine,effective,0.721347520444
7302,acellular pertussis vaccine,disease,0.910239226627
7310,voluntary,for-profit,0.345976256261
7322,voluntary,Pez dispensers,0.345976256261
7324,voluntary,Rand Paul,0.345976256261
7325,voluntary,childhood illnesses,0.345976256261
7329,voluntary,protection,0.345976256261
7345,voluntary,miracles,0.345976256261
7355,voluntary,cognitive disorders,0.345976256261
7357,voluntary,pharmaceuticals,0.345976256261
7364,voluntary,imperfect,0.345976256261
7373,voluntary,infants,0.345976256261
7381,voluntary,immune disorders,0.345976256261
7416,voluntary,effective,0.345976256261
7424,vaccinated children,low-income family,0.314657980444
7429,vaccinated children,infectious disease,0.314657980444
7433,vaccinated children,changes,0.314657980444
7453,vaccinated children,proposed restrictions,0.314657980444
7455,vaccinated children,fair balance,0.314657980444
7465,vaccinated children,committee hearing room,0.314657980444
7477,vaccinated children,Connie Leyva,0.314657980444
7478,vaccinated children,California,0.314657980444
7479,vaccinated children,Chairwoman Carol Liu,0.314657980444
7480,vaccinated children,Senate committee,0.314657980444
7487,vaccinated children,Saron Runner,0.314657980444
7490,vaccinated children,Tina Kimmel,0.314657980444
7494,vaccinated children,Senate Education Committee,0.314657980444
7497,vaccinated children,vaccination exemption,0.314657980444
7503,vaccinated children,education,0.314657980444
7506,vaccinated children,public education,0.314657980444
7520,vaccinated children,home-school,0.314657980444
7535,vaccinated children,personal belief exemption,0.314657980444
7550,waning immunity,changes,0.389871245251
7575,waning immunity,pertussis increase,0.389871245251
7577,waning immunity,adolescents,0.389871245251
7601,waning immunity,cases,0.389871245251
7604,waning immunity,CDC,0.389871245251
7609,waning immunity,medical science,0.389871245251
7621,waning immunity,pregnant women,0.389871245251
7633,waning immunity,effectiveness,0.389871245251
7677,debate,United States,0.62133493456
7682,debate,pertussis,0.62133493456
7718,debate,CDC,0.62133493456
7760,debate,data,0.62133493456
7783,vaccines,Republican,0.910239226627
7784,vaccines,minimal,0.910239226627
7791,vaccines,pertussis,0.910239226627
7846,vaccines,maternal inoculation,0.910239226627
7853,vaccines,pertussis vaccine,0.910239226627
7863,vaccines,president,0.910239226627
7865,vaccines,whole-cell vaccine,1.44269504089
7917,Lisa and J.B. Handley,Andrew Wakefield,0.721347520444
7982,Lisa and J.B. Handley,Jenny McCarthy,0.721347520444
8026,ages 65-84,age 65 and older,1.44269504089
8103,teens,whooping cough,0.389871245251
8117,teens,vomiting,0.389871245251
8118,teens,United States,0.389871245251
8129,teens,vaccination,0.389871245251
8143,teens,Australia,0.389871245251
8156,teens,severe coughing,0.389871245251
8162,teens,infants,0.389871245251
8167,teens,adults,0.389871245251
8283,Republican,vaccine choice,0.910239226627
8310,Republican,president,1.82047845325
8330,Pez dispensers,for-profit,0.345976256261
8333,Pez dispensers,Rand Paul,0.345976256261
8334,Pez dispensers,childhood illnesses,0.345976256261
8338,Pez dispensers,protection,0.345976256261
8354,Pez dispensers,miracles,0.345976256261
8364,Pez dispensers,cognitive disorders,0.345976256261
8366,Pez dispensers,pharmaceuticals,0.345976256261
8373,Pez dispensers,imperfect,0.345976256261
8382,Pez dispensers,infants,0.345976256261
8390,Pez dispensers,immune disorders,0.345976256261
8425,Pez dispensers,effective,0.345976256261
8519,minimal,pertussis vaccine,0.910239226627
8549,Rand Paul,for-profit,0.345976256261
8551,Rand Paul,childhood illnesses,0.345976256261
8555,Rand Paul,protection,0.345976256261
8571,Rand Paul,miracles,0.345976256261
8581,Rand Paul,cognitive disorders,0.345976256261
8583,Rand Paul,pharmaceuticals,0.345976256261
8590,Rand Paul,imperfect,0.345976256261
8599,Rand Paul,infants,0.345976256261
8607,Rand Paul,immune disorders,0.345976256261
8641,Rand Paul,effective,0.345976256261
8656,childhood illnesses,for-profit,0.345976256261
8661,childhood illnesses,protection,0.345976256261
8677,childhood illnesses,miracles,0.345976256261
8687,childhood illnesses,cognitive disorders,0.345976256261
8689,childhood illnesses,pharmaceuticals,0.345976256261
8696,childhood illnesses,imperfect,0.345976256261
8705,childhood illnesses,infants,0.345976256261
8713,childhood illnesses,immune disorders,0.345976256261
8748,childhood illnesses,effective,0.345976256261
8767,vaccine risk,misrepresentation,0.352956123865
8771,vaccine risk,the sake of being anti-vaccine,0.352956123865
8773,vaccine risk,vaccine-autism link,0.352956123865
8788,vaccine risk,Andrew Wakefield,0.352956123865
8813,vaccine risk,measles outbreak,0.352956123865
8818,vaccine risk,Wakefield study,0.352956123865
8829,vaccine risk,medical belief,0.352956123865
8832,vaccine risk,politicians,0.352956123865
8841,vaccine risk,vaccine-injured children,0.352956123865
8853,vaccine risk,Jenny McCarthy,0.352956123865
8856,vaccine risk,anti-vaxxers,0.352956123865
8860,vomiting,whooping cough,0.389871245251
8868,vomiting,United States,0.389871245251
8879,vomiting,vaccination,0.389871245251
8893,vomiting,Australia,0.389871245251
8906,vomiting,severe coughing,0.389871245251
8912,vomiting,infants,0.389871245251
8917,vomiting,adults,0.389871245251
8964,United States,whooping cough,0.389871245251
8995,United States,Australia,0.389871245251
9008,United States,severe coughing,0.389871245251
9011,United States,CDC,0.62133493456
9014,United States,infants,0.389871245251
9019,United States,adults,0.389871245251
9053,United States,data,0.62133493456
9072,protection,for-profit,0.345976256261
9089,protection,miracles,0.345976256261
9094,protection,artificial vaccine,0.51389834237
9099,protection,cognitive disorders,0.345976256261
9101,protection,pharmaceuticals,0.345976256261
9108,protection,imperfect,0.345976256261
9117,protection,infants,0.345976256261
9125,protection,immune disorders,0.345976256261
9150,protection,PLOS Computational Biology,0.51389834237
9157,protection,whole-cell vaccine,0.51389834237
9160,protection,effective,0.345976256261
9165,protection,Tdap vaccine,0.51389834237
9179,diagnosis,diagnoses,0.62133493456
9235,diagnosis,MMR vaccine,0.62133493456
9272,immune response,mixed findings,0.480898346963
9294,immune response,age 65 and older,0.480898346963
9295,immune response,standard vaccine,0.480898346963
9319,immune response,age 85 and older,0.480898346963
9363,immune response,disease,0.910239226627
9383,parents with vaccine-injured children,anti-vaccination,2.35293426752
9529,diagnoses,MMR vaccine,0.62133493456
9628,Richard Pan,SB 277,1.44269504089
9667,the sake of being anti-vaccine,misrepresentation,0.352956123865
9670,the sake of being anti-vaccine,vaccine-autism link,0.352956123865
9684,the sake of being anti-vaccine,Andrew Wakefield,0.352956123865
9708,the sake of being anti-vaccine,measles outbreak,0.352956123865
9713,the sake of being anti-vaccine,Wakefield study,0.352956123865
9724,the sake of being anti-vaccine,medical belief,0.352956123865
9727,the sake of being anti-vaccine,politicians,0.352956123865
9736,the sake of being anti-vaccine,vaccine-injured children,0.352956123865
9748,the sake of being anti-vaccine,Jenny McCarthy,0.352956123865
9751,the sake of being anti-vaccine,anti-vaxxers,0.352956123865
9754,the sake of being anti-vaccine,open conversations,0.352956123865
9755,proposed restrictions,low-income family,0.314657980444
9760,proposed restrictions,changes,0.314657980444
9762,proposed restrictions,infectious disease,0.314657980444
9766,proposed restrictions,fair balance,0.314657980444
9775,proposed restrictions,committee hearing room,0.314657980444
9787,proposed restrictions,Connie Leyva,0.314657980444
9788,proposed restrictions,California,0.314657980444
9789,proposed restrictions,Chairwoman Carol Liu,0.314657980444
9790,proposed restrictions,Senate committee,0.314657980444
9796,proposed restrictions,Saron Runner,0.314657980444
9799,proposed restrictions,Tina Kimmel,0.314657980444
9803,proposed restrictions,Senate Education Committee,0.314657980444
9806,proposed restrictions,vaccination exemption,0.314657980444
9812,proposed restrictions,education,0.314657980444
9815,proposed restrictions,public education,0.314657980444
9829,proposed restrictions,home-school,2.66759224796
9844,proposed restrictions,personal belief exemption,0.314657980444
9858,vaccine-autism link,misrepresentation,0.352956123865
9875,vaccine-autism link,cognitive disorders,0.480898346963
9876,vaccine-autism link,Alfred and Lisa Claire Dwoskin,0.480898346963
9896,vaccine-autism link,measles outbreak,0.352956123865
9900,vaccine-autism link,immune disorders,0.480898346963
9901,vaccine-autism link,Wakefield study,0.352956123865
9912,vaccine-autism link,medical belief,0.352956123865
9915,vaccine-autism link,politicians,0.352956123865
9924,vaccine-autism link,vaccine-injured children,0.352956123865
9928,vaccine-autism link,discredited,0.62133493456
9929,vaccine-autism link,National Vaccine Information Center,0.480898346963
9934,vaccine-autism link,medical license,0.62133493456
9936,vaccine-autism link,Jenny McCarthy,0.352956123865
9939,vaccine-autism link,anti-vaxxers,0.352956123865
9942,vaccine-autism link,open conversations,0.352956123865
9959,for-profit,miracles,0.345976256261
9969,for-profit,cognitive disorders,0.345976256261
9971,for-profit,pharmaceuticals,0.345976256261
9978,for-profit,imperfect,0.345976256261
9986,for-profit,infants,0.345976256261
