,u,v,jaccard
2640,Dwoskin Family Foundation,Andrew Wakefield,0.0833333333333
2642,Dwoskin Family Foundation,vaccine concerns,0.125
2739,parents,everyone,0.166666666667
2750,parents,vaccinated children,0.142857142857
2756,parents,infectious disease,0.166666666667
2771,parents,proposed restrictions,0.111111111111
2773,parents,fair balance,0.142857142857
2783,parents,committee hearing room,0.166666666667
2794,parents,California,0.166666666667
2796,parents,Chairwoman Carol Liu,0.142857142857
2797,parents,Senate committee,0.166666666667
2804,parents,Saron Runner,0.166666666667
2808,parents,Tina Kimmel,0.142857142857
2810,parents,Richard Pan,0.142857142857
2812,parents,Senate Education Committee,0.166666666667
2815,parents,vaccination exemption,0.142857142857
2824,parents,public education,0.125
2850,parents,changes,0.142857142857
2855,parents,personal belief exemption,0.142857142857
2860,parents,low-income family,0.333333333333
2935,vaccinated,artificial vaccine,0.333333333333
2951,vaccinated,vaccine refusal,1.0
3131,friends and family,crazy people,0.5
3141,friends and family,vaccine-injured children,0.5
3158,friends and family,anti-vaxxers,0.333333333333
3163,breathing,increase in cases,0.5
3165,breathing,whooping cough,1.0
3179,breathing,7-11 year olds,0.5
3202,breathing,teens,1.0
3210,breathing,vomiting,1.0
3211,breathing,United States,0.5
3222,breathing,vaccination,0.2
3236,breathing,Australia,1.0
3250,breathing,severe coughing,1.0
3257,breathing,infants,0.333333333333
3262,breathing,adults,1.0
3323,increased,Focus for Health,0.166666666667
3364,increased,diagnoses,0.333333333333
3449,increased,MMR vaccine,0.333333333333
3456,increased,diagnosis,0.333333333333
3488,vaccine efficacy,bacteria,0.333333333333
3505,vaccine efficacy,protection,0.25
3527,vaccine efficacy,artificial vaccine,0.2
3584,vaccine efficacy,PLOS Computational Biology,0.333333333333
3595,vaccine efficacy,effective,0.25
3600,vaccine efficacy,Tdap vaccine,0.25
3609,vaccines cause childhood illnesses,University of British Columbia,0.5
3658,vaccines cause childhood illnesses,vaccine-autism link,0.25
3678,vaccines cause childhood illnesses,cognitive disorders,0.5
3679,vaccines cause childhood illnesses,Alfred and Lisa Claire Dwoskin,1.0
3704,vaccines cause childhood illnesses,immune disorders,0.5
3734,vaccines cause childhood illnesses,National Vaccine Information Center,0.5
3805,University of British Columbia,anti-vaccination,0.0555555555556
3820,University of British Columbia,Andrew Wakefield,0.166666666667
3823,University of British Columbia,cognitive disorders,0.333333333333
3824,University of British Columbia,Alfred and Lisa Claire Dwoskin,0.5
3849,University of British Columbia,immune disorders,0.333333333333
3879,University of British Columbia,National Vaccine Information Center,0.333333333333
3908,anti-vaxx movement,negative perception,0.5
3915,anti-vaxx movement,government mandate,1.0
3938,anti-vaxx movement,vaccine risk,0.333333333333
3946,anti-vaxx movement,the sake of being anti-vaccine,1.0
3948,anti-vaxx movement,vaccine-autism link,0.25
3964,anti-vaxx movement,Andrew Wakefield,0.2
3989,anti-vaxx movement,measles outbreak,1.0
3994,anti-vaxx movement,Wakefield study,1.0
4003,anti-vaxx movement,misrepresentation,1.0
4006,anti-vaxx movement,medical belief,1.0
4009,anti-vaxx movement,politicians,1.0
4018,anti-vaxx movement,vaccine-injured children,0.5
4032,anti-vaxx movement,Jenny McCarthy,0.333333333333
4035,anti-vaxx movement,anti-vaxxers,0.333333333333
4039,anti-vaxx movement,open conversations,0.333333333333
4102,chronic illness,Barry Segal,1.0
4143,chronic illness,autism,0.2
4187,necessary,for-profit,1.0
4189,necessary,man-made,1.0
4193,necessary,magic,1.0
4200,necessary,side effects,0.333333333333
4212,necessary,voluntary,1.0
4219,necessary,Pez dispensers,1.0
4221,necessary,Rand Paul,0.333333333333
4222,necessary,childhood illnesses,1.0
4226,necessary,protection,0.5
4243,necessary,miracles,1.0
4253,necessary,cognitive disorders,0.5
4255,necessary,pharmaceuticals,1.0
4262,necessary,imperfect,1.0
4271,necessary,infants,0.333333333333
4279,necessary,immune disorders,0.5
4316,necessary,effective,0.5
4329,man-made,for-profit,1.0
4334,man-made,magic,1.0
4341,man-made,side effects,0.333333333333
4353,man-made,voluntary,1.0
4360,man-made,Pez dispensers,1.0
4362,man-made,Rand Paul,0.333333333333
4363,man-made,childhood illnesses,1.0
4367,man-made,protection,0.5
4384,man-made,miracles,1.0
4394,man-made,cognitive disorders,0.5
4396,man-made,pharmaceuticals,1.0
4403,man-made,imperfect,1.0
4412,man-made,infants,0.333333333333
4420,man-made,immune disorders,0.5
4457,man-made,effective,0.5
4497,Focus for Health,Lisa and J.B. Handley,0.25
4511,Focus for Health,diagnoses,0.25
4532,Focus for Health,Andrew Wakefield,0.125
4596,Focus for Health,MMR vaccine,0.25
4598,Focus for Health,Jenny McCarthy,0.166666666667
4603,Focus for Health,diagnosis,0.25
4710,school,SB 277,0.0416666666667
4849,parental choice,SB 277,0.0416666666667
4886,magic,for-profit,1.0
4894,magic,side effects,0.333333333333
4906,magic,voluntary,1.0
4913,magic,Pez dispensers,1.0
4915,magic,Rand Paul,0.333333333333
4916,magic,childhood illnesses,1.0
4920,magic,protection,0.5
4936,magic,miracles,1.0
4946,magic,cognitive disorders,0.5
4948,magic,pharmaceuticals,1.0
4955,magic,imperfect,1.0
4965,magic,infants,0.333333333333
4973,magic,immune disorders,0.5
5010,magic,effective,0.5
5031,negative perception,government mandate,0.5
5054,negative perception,vaccine risk,0.666666666667
5062,negative perception,the sake of being anti-vaccine,0.5
5064,negative perception,vaccine-autism link,0.2
5079,negative perception,Andrew Wakefield,0.166666666667
5105,negative perception,measles outbreak,0.5
5110,negative perception,Wakefield study,0.5
5119,negative perception,misrepresentation,0.5
5122,negative perception,medical belief,0.5
5125,negative perception,politicians,0.5
5134,negative perception,vaccine-injured children,0.333333333333
5147,negative perception,Jenny McCarthy,0.25
5150,negative perception,anti-vaxxers,0.25
5154,7-11 year olds,increase in cases,0.333333333333
5156,7-11 year olds,whooping cough,0.5
5181,7-11 year olds,teens,0.5
5188,7-11 year olds,vomiting,0.5
5189,7-11 year olds,United States,0.333333333333
5200,7-11 year olds,vaccination,0.166666666667
5214,7-11 year olds,Australia,0.5
5228,7-11 year olds,severe coughing,0.5
5234,7-11 year olds,infants,0.25
5239,7-11 year olds,adults,0.5
5263,7-11 year olds,pertussis vaccine,0.0714285714286
5363,Disneyland measles outbreak,Richard Pan,0.5
5388,Disneyland measles outbreak,SB 277,0.0416666666667
5441,acelluar vaccine,acellular pertussis vaccine,0.142857142857
5543,acelluar vaccine,whole-cell vaccine,0.25
5620,immunization,Connie Leyva,0.333333333333
5647,immunization,education,0.333333333333
5655,immunization,SB 277,0.0416666666667
5666,immunization,home-school,0.25
5691,increase in cases,whooping cough,0.5
5714,increase in cases,teens,0.5
5721,increase in cases,vomiting,0.5
5722,increase in cases,United States,0.333333333333
5733,increase in cases,vaccination,0.166666666667
5747,increase in cases,Australia,0.5
5761,increase in cases,severe coughing,0.5
5767,increase in cases,infants,0.25
5772,increase in cases,adults,0.5
5829,Children's Hospital of Philadelphia,waning effectiveness,0.5
5926,Children's Hospital of Philadelphia,pertussis vaccine,0.0769230769231
5954,side effects,for-profit,0.333333333333
5963,side effects,changes,0.25
5964,side effects,vaccine duration,0.25
5967,side effects,voluntary,0.333333333333
5969,side effects,waning immunity,0.333333333333
5974,side effects,Pez dispensers,0.333333333333
5975,side effects,Rand Paul,0.2
5976,side effects,childhood illnesses,0.333333333333
5980,side effects,protection,0.25
5992,side effects,pertussis increase,0.2
5994,side effects,adolescents,0.25
5996,side effects,miracles,0.333333333333
6006,side effects,cognitive disorders,0.25
6008,side effects,pharmaceuticals,0.333333333333
6015,side effects,imperfect,0.333333333333
6019,side effects,cases,0.25
6022,side effects,CDC,0.166666666667
6025,side effects,infants,0.2
6027,side effects,medical science,0.2
6033,side effects,immune disorders,0.25
6040,side effects,pregnant women,0.333333333333
6052,side effects,effectiveness,0.333333333333
6069,side effects,effective,0.25
6105,government mandate,vaccine risk,0.333333333333
6113,government mandate,the sake of being anti-vaccine,1.0
6115,government mandate,vaccine-autism link,0.25
6130,government mandate,Andrew Wakefield,0.2
6156,government mandate,measles outbreak,1.0
6161,government mandate,Wakefield study,1.0
6170,government mandate,misrepresentation,1.0
6173,government mandate,medical belief,1.0
6176,government mandate,politicians,1.0
6185,government mandate,vaccine-injured children,0.5
6198,government mandate,Jenny McCarthy,0.333333333333
6201,government mandate,anti-vaxxers,0.333333333333
6204,government mandate,open conversations,0.333333333333
6205,everyone,low-income family,0.5
6210,everyone,infectious disease,1.0
6217,everyone,changes,0.5
6222,everyone,vaccinated children,0.5
6242,everyone,proposed restrictions,0.25
6244,everyone,fair balance,0.5
6254,everyone,committee hearing room,1.0
6266,everyone,Connie Leyva,0.333333333333
6267,everyone,California,1.0
6268,everyone,Chairwoman Carol Liu,0.5
6269,everyone,Senate committee,1.0
6277,everyone,Saron Runner,1.0
6280,everyone,Tina Kimmel,0.5
6284,everyone,Senate Education Committee,1.0
6287,everyone,vaccination exemption,0.5
6293,everyone,education,0.333333333333
6296,everyone,public education,0.333333333333
6310,everyone,home-school,0.25
6326,everyone,personal belief exemption,0.5
6384,nonprofit organizations,wealthy family foundations,1.0
6405,nonprofit organizations,polarized area,0.333333333333
6499,waning effectiveness,Americans,0.5
6559,waning effectiveness,pertussis vaccine,0.153846153846
6695,standard flu vaccine,high-dose flu vaccine,0.111111111111
6712,elderly,mixed findings,0.5
6735,elderly,immune response,0.333333333333
6753,elderly,age 65 and older,0.333333333333
6754,elderly,standard vaccine,0.5
6779,elderly,age 85 and older,0.5
6911,state-required vaccinations,education,0.333333333333
6918,state-required vaccinations,SB 277,0.0416666666667
6927,state-required vaccinations,pertussis vaccine,0.0769230769231
6939,state-required vaccinations,whole-cell vaccine,0.25
6960,vaccine duration,changes,0.333333333333
6962,vaccine duration,acellular pertussis vaccine,0.125
6965,vaccine duration,waning immunity,0.5
6990,vaccine duration,pertussis increase,0.25
6992,vaccine duration,adolescents,0.333333333333
7016,vaccine duration,cases,0.333333333333
7019,vaccine duration,CDC,0.2
7024,vaccine duration,medical science,0.25
7036,vaccine duration,pregnant women,0.5
7048,vaccine duration,effectiveness,0.5
7096,bacteria,protection,0.5
7117,bacteria,artificial vaccine,0.333333333333
7173,bacteria,PLOS Computational Biology,1.0
7180,bacteria,whole-cell vaccine,0.25
7188,bacteria,Tdap vaccine,0.5
7198,acellular pertussis vaccine,immune response,0.125
7204,acellular pertussis vaccine,vaccines,0.0416666666667
7299,acellular pertussis vaccine,effective,0.125
7302,acellular pertussis vaccine,disease,0.111111111111
7310,voluntary,for-profit,1.0
7322,voluntary,Pez dispensers,1.0
7324,voluntary,Rand Paul,0.333333333333
7325,voluntary,childhood illnesses,1.0
7329,voluntary,protection,0.5
7345,voluntary,miracles,1.0
7355,voluntary,cognitive disorders,0.5
7357,voluntary,pharmaceuticals,1.0
7364,voluntary,imperfect,1.0
7373,voluntary,infants,0.333333333333
7381,voluntary,immune disorders,0.5
7416,voluntary,effective,0.5
7424,vaccinated children,low-income family,0.333333333333
7429,vaccinated children,infectious disease,0.5
7433,vaccinated children,changes,0.333333333333
7453,vaccinated children,proposed restrictions,0.2
7455,vaccinated children,fair balance,0.333333333333
7465,vaccinated children,committee hearing room,0.5
7477,vaccinated children,Connie Leyva,0.25
7478,vaccinated children,California,0.5
7479,vaccinated children,Chairwoman Carol Liu,0.333333333333
7480,vaccinated children,Senate committee,0.5
7487,vaccinated children,Saron Runner,0.5
7490,vaccinated children,Tina Kimmel,0.333333333333
7494,vaccinated children,Senate Education Committee,0.5
7497,vaccinated children,vaccination exemption,0.333333333333
7503,vaccinated children,education,0.25
7506,vaccinated children,public education,0.25
7520,vaccinated children,home-school,0.2
7535,vaccinated children,personal belief exemption,0.333333333333
7550,waning immunity,changes,0.5
7575,waning immunity,pertussis increase,0.333333333333
7577,waning immunity,adolescents,0.5
7601,waning immunity,cases,0.5
7604,waning immunity,CDC,0.25
7609,waning immunity,medical science,0.333333333333
7621,waning immunity,pregnant women,1.0
7633,waning immunity,effectiveness,1.0
7677,debate,United States,0.5
7682,debate,pertussis,0.0769230769231
7718,debate,CDC,0.25
7760,debate,data,1.0
7783,vaccines,Republican,0.0526315789474
7784,vaccines,minimal,0.0555555555556
7791,vaccines,pertussis,0.0333333333333
7846,vaccines,maternal inoculation,0.0555555555556
7853,vaccines,pertussis vaccine,0.0333333333333
7863,vaccines,president,0.0526315789474
7865,vaccines,whole-cell vaccine,0.047619047619
7917,Lisa and J.B. Handley,Andrew Wakefield,0.2
7982,Lisa and J.B. Handley,Jenny McCarthy,0.333333333333
8026,ages 65-84,age 65 and older,0.5
8103,teens,whooping cough,1.0
8117,teens,vomiting,1.0
8118,teens,United States,0.5
8129,teens,vaccination,0.2
8143,teens,Australia,1.0
8156,teens,severe coughing,1.0
8162,teens,infants,0.333333333333
8167,teens,adults,1.0
8283,Republican,vaccine choice,0.5
8310,Republican,president,1.0
8330,Pez dispensers,for-profit,1.0
8333,Pez dispensers,Rand Paul,0.333333333333
8334,Pez dispensers,childhood illnesses,1.0
8338,Pez dispensers,protection,0.5
8354,Pez dispensers,miracles,1.0
8364,Pez dispensers,cognitive disorders,0.5
8366,Pez dispensers,pharmaceuticals,1.0
8373,Pez dispensers,imperfect,1.0
8382,Pez dispensers,infants,0.333333333333
8390,Pez dispensers,immune disorders,0.5
8425,Pez dispensers,effective,0.5
8519,minimal,pertussis vaccine,0.0769230769231
8549,Rand Paul,for-profit,0.333333333333
8551,Rand Paul,childhood illnesses,0.333333333333
8555,Rand Paul,protection,0.25
8571,Rand Paul,miracles,0.333333333333
8581,Rand Paul,cognitive disorders,0.25
8583,Rand Paul,pharmaceuticals,0.333333333333
8590,Rand Paul,imperfect,0.333333333333
8599,Rand Paul,infants,0.2
8607,Rand Paul,immune disorders,0.25
8641,Rand Paul,effective,0.25
8656,childhood illnesses,for-profit,1.0
8661,childhood illnesses,protection,0.5
8677,childhood illnesses,miracles,1.0
8687,childhood illnesses,cognitive disorders,0.5
8689,childhood illnesses,pharmaceuticals,1.0
8696,childhood illnesses,imperfect,1.0
8705,childhood illnesses,infants,0.333333333333
8713,childhood illnesses,immune disorders,0.5
8748,childhood illnesses,effective,0.5
8767,vaccine risk,misrepresentation,0.333333333333
8771,vaccine risk,the sake of being anti-vaccine,0.333333333333
8773,vaccine risk,vaccine-autism link,0.166666666667
8788,vaccine risk,Andrew Wakefield,0.142857142857
8813,vaccine risk,measles outbreak,0.333333333333
8818,vaccine risk,Wakefield study,0.333333333333
8829,vaccine risk,medical belief,0.333333333333
8832,vaccine risk,politicians,0.333333333333
8841,vaccine risk,vaccine-injured children,0.25
8853,vaccine risk,Jenny McCarthy,0.2
8856,vaccine risk,anti-vaxxers,0.2
8860,vomiting,whooping cough,1.0
8868,vomiting,United States,0.5
8879,vomiting,vaccination,0.2
8893,vomiting,Australia,1.0
8906,vomiting,severe coughing,1.0
8912,vomiting,infants,0.333333333333
8917,vomiting,adults,1.0
8964,United States,whooping cough,0.5
8995,United States,Australia,0.5
9008,United States,severe coughing,0.5
9011,United States,CDC,0.2
9014,United States,infants,0.25
9019,United States,adults,0.5
9053,United States,data,0.5
9072,protection,for-profit,0.5
9089,protection,miracles,0.5
9094,protection,artificial vaccine,0.25
9099,protection,cognitive disorders,0.333333333333
9101,protection,pharmaceuticals,0.5
9108,protection,imperfect,0.5
9117,protection,infants,0.25
9125,protection,immune disorders,0.333333333333
9150,protection,PLOS Computational Biology,0.5
9157,protection,whole-cell vaccine,0.2
9160,protection,effective,0.333333333333
9165,protection,Tdap vaccine,0.333333333333
9179,diagnosis,diagnoses,1.0
9235,diagnosis,MMR vaccine,1.0
9272,immune response,mixed findings,0.5
9294,immune response,age 65 and older,0.333333333333
9295,immune response,standard vaccine,0.5
9319,immune response,age 85 and older,0.5
9363,immune response,disease,0.25
9383,parents with vaccine-injured children,anti-vaccination,0.105263157895
9529,diagnoses,MMR vaccine,1.0
9628,Richard Pan,SB 277,0.0833333333333
9667,the sake of being anti-vaccine,misrepresentation,1.0
9670,the sake of being anti-vaccine,vaccine-autism link,0.25
9684,the sake of being anti-vaccine,Andrew Wakefield,0.2
9708,the sake of being anti-vaccine,measles outbreak,1.0
9713,the sake of being anti-vaccine,Wakefield study,1.0
9724,the sake of being anti-vaccine,medical belief,1.0
9727,the sake of being anti-vaccine,politicians,1.0
9736,the sake of being anti-vaccine,vaccine-injured children,0.5
9748,the sake of being anti-vaccine,Jenny McCarthy,0.333333333333
9751,the sake of being anti-vaccine,anti-vaxxers,0.333333333333
9754,the sake of being anti-vaccine,open conversations,0.333333333333
9755,proposed restrictions,low-income family,0.2
9760,proposed restrictions,changes,0.2
9762,proposed restrictions,infectious disease,0.25
9766,proposed restrictions,fair balance,0.2
9775,proposed restrictions,committee hearing room,0.25
9787,proposed restrictions,Connie Leyva,0.166666666667
9788,proposed restrictions,California,0.25
9789,proposed restrictions,Chairwoman Carol Liu,0.2
9790,proposed restrictions,Senate committee,0.25
9796,proposed restrictions,Saron Runner,0.25
9799,proposed restrictions,Tina Kimmel,0.2
9803,proposed restrictions,Senate Education Committee,0.25
9806,proposed restrictions,vaccination exemption,0.2
9812,proposed restrictions,education,0.166666666667
9815,proposed restrictions,public education,0.166666666667
9829,proposed restrictions,home-school,0.6
9844,proposed restrictions,personal belief exemption,0.2
9858,vaccine-autism link,misrepresentation,0.25
9875,vaccine-autism link,cognitive disorders,0.2
9876,vaccine-autism link,Alfred and Lisa Claire Dwoskin,0.25
9896,vaccine-autism link,measles outbreak,0.25
9900,vaccine-autism link,immune disorders,0.2
9901,vaccine-autism link,Wakefield study,0.25
9912,vaccine-autism link,medical belief,0.25
9915,vaccine-autism link,politicians,0.25
9924,vaccine-autism link,vaccine-injured children,0.2
9928,vaccine-autism link,discredited,0.25
9929,vaccine-autism link,National Vaccine Information Center,0.2
9934,vaccine-autism link,medical license,0.25
9936,vaccine-autism link,Jenny McCarthy,0.166666666667
9939,vaccine-autism link,anti-vaxxers,0.166666666667
9942,vaccine-autism link,open conversations,0.166666666667
9959,for-profit,miracles,1.0
9969,for-profit,cognitive disorders,0.5
9971,for-profit,pharmaceuticals,1.0
9978,for-profit,imperfect,1.0
9986,for-profit,infants,0.333333333333
9994,for-profit,immune disorders,0.5
10029,for-profit,effective,0.5
10037,fair balance,low-income family,0.333333333333
10043,fair balance,infectious disease,0.5
10050,fair balance,changes,0.333333333333
10053,fair balance,committee hearing room,0.5
10064,fair balance,California,0.5
10065,fair balance,Connie Leyva,0.25
10067,fair balance,Chairwoman Carol Liu,0.333333333333
10068,fair balance,Senate committee,0.5
10074,fair balance,Saron Runner,0.5
10077,fair balance,Tina Kimmel,0.333333333333
10081,fair balance,Senate Education Committee,0.5
10084,fair balance,vaccination exemption,0.333333333333
10090,fair balance,education,0.25
10093,fair balance,public education,0.25
10107,fair balance,home-school,0.2
10122,fair balance,personal belief exemption,0.333333333333
10136,anti-vaccination,vaccine debate,0.05
10147,anti-vaccination,polarized area,0.0526315789474
10157,anti-vaccination,discredited,0.0588235294118
10159,anti-vaccination,crazy people,0.0555555555556
10170,anti-vaccination,medical license,0.0588235294118
10198,anti-vaccination,vaccine-preventable diseases,0.0588235294118
10223,cognitive disorders,miracles,0.5
10234,cognitive disorders,Alfred and Lisa Claire Dwoskin,0.5
10235,cognitive disorders,pharmaceuticals,0.5
10242,cognitive disorders,imperfect,0.5
10250,cognitive disorders,infants,0.25
10258,cognitive disorders,immune disorders,1.0
10287,cognitive disorders,National Vaccine Information Center,0.333333333333
10293,cognitive disorders,effective,0.333333333333
10333,measles vaccine is safe,rubella vaccination is safe,1.0
10367,measles vaccine is safe,pertussis vaccine,0.0769230769231
10395,pertussis increase,adolescents,0.25
10399,pertussis increase,changes,0.25
10423,pertussis increase,cases,0.25
10425,pertussis increase,CDC,0.166666666667
10430,pertussis increase,medical science,0.2
10442,pertussis increase,pregnant women,0.333333333333
10453,pertussis increase,effectiveness,0.333333333333
10484,adolescents,pertussis,0.0714285714286
10486,adolescents,changes,0.333333333333
10510,adolescents,cases,0.333333333333
10512,adolescents,CDC,0.2
10517,adolescents,medical science,0.25
10529,adolescents,pregnant women,0.5
10540,adolescents,effectiveness,0.5
10620,options,SB 277,0.0416666666667
10672,miracles,pharmaceuticals,1.0
10679,miracles,imperfect,1.0
10687,miracles,infants,0.333333333333
10695,miracles,immune disorders,0.5
10729,miracles,effective,0.5
10758,Barry Segal,autism,0.2
10823,committee hearing room,Senate Education Committee,1.0
10827,committee hearing room,vaccination exemption,0.5
10834,committee hearing room,low-income family,0.5
10840,committee hearing room,education,0.333333333333
10844,committee hearing room,public education,0.333333333333
