index,source,edge,target,edge-comments
123,serious reactions,involving,hospitalization,VAERS hepatitis B reports
124,serious reactions,involving,disablement,VAERS hepatitis B reports
125,serious reactions,involving,deaths,VAERS hepatitis B reports
126,hepatitis B,is,rare disease,
127,hepatitis B,is mainly,blood-transmitted disease,
128,hepatitis B,cases only 54 reported in 0-1 age group to,CDC,
129,incidence,in 0-1 age group was 0.001 percent of,hepatitis B,
130,VAERS,"received 1,080 reports of",adverse reactions,from hep B vaccine in 0-1 age group
131,deaths,47 reported from,hepatitis B vaccine,"1996 CDC, in 0-1 age group"
132,hepatitis B,for every child that contracted there were 20 immunized babies reported to have severe,complications,
133,traditional medicine,harming about 200,children,to protect one from hepatitis B
134,conventional health experts,assert no,vaccine-autism link,
135,vaccines,link to,autism,
136,vaccine-autism link,you cannot come to a,conclusion,
137,vaccine-autism link,studies examine just one type of,vaccine,
138,vaccine-autism link,studies examine just one type of,ingredient,
139,MMR vaccine,only one studied in association with,autism,
140,cumulative effect of vaccines,where are studies demonstrating,several vaccines administered simultaneously,
141,children,receive whopping 48 doses of,vaccines,before age of six
142,MMR shot,only vaccine studied in association with,autism,according to David Kirby
143,David Kirby,is author of,"Evidence of Harm: Mercury in Vaccines and the Autism Epidemic, A Medical Controversy",
144,studies,but where are of all the others in relation to,autism,
145,vaccination schedule,illogical and downright ignorant to state that it is,a-okay,
146,vaccination schedule,is,illogical,
147,vaccination schedule,is,ignorant,
148,vaccines,illogical and downright ignorant to suggest that have nothing to do with rise in,autism,based on studies done so far
149,accepted rate,for a number of years was 1 in 150 of,autism,
150,statistics,recently suggest have increased to 1 in 63,autism rate,And this number is TWO years old
151,autism spectrum disorders,100 percent increase in 2007 compared to 2003,parent-reported cases,2007 survey results from National Survey of Children's Health compared to 2003 survey
152,autism rates,have,risen,to new heights
153,autism rates,in U.K is,1 in 83,
154,vaccine link,dismissed with,blanket statement,
155,blanket statement,of vaccine link has not been verified with rigorous,scientific study,
156,vaccine link,dismissal is,unconcscionable,
157,citizens,must be for,sanity,If we want a healthier world
158,citizens,must be for,logic,If we want a healthier world
159,citizens,must demand a more,rational approach,If we want a healthier world
160,safety,must come before,profits,
161,conventional medicine,changed their,tune,just like there were links between smoking and lung cancer
162,proof,there is enough to call a complete halt to excessive,vaccine program,
163,proof,there is enough to ban any level of,mercury,
164,Big Tobacco,is like,Big Pharma,
165,Big Pharma,refuses to protect,you,
166,Big Pharma,refuses to protect your,children,
167,protection,would mean drastic reduction in,profits,
168,hepatitis B vaccine,increased risk of,neurological disorders,
169,hepatitis B vaccine,more than tripled their risk of developing autism spectrum disorder in,newborn boys,
170,newborn boys,more than tripled their risk of developing,autism spectrum disorder,after receiving hep B vaccine
171,hepatitis B vaccine,increased use coincides with rise in,autism,
172,hepatitis B vaccine,contained 25 micrograms,thimerosal,
173,thimerosal,contains,mercury,
174,thimerosal,long been thought to be contributing factor,autism,
175,thimerosal,has potent,neurotoxic effects,
176,hepatitis B vaccine,can still damage those with certain genetic factors,myelin,
177,children,who received the hepatitis B vaccine were 50 percent more likely to develop,central nervous system inflammatory demyelination,
178,thimerosal-free pediatric formulations,were licensed of,hepatitis B vaccine,according to FDA
179,GlaxoSmithKine's Energix B,to be the worst of the bunch,vaccine,
180,GlaxoSmithKine's Energix B,increasing risk by 74 percent,demyelination,
181,GlaxoSmithKine's Energix B,tripled risk of developing,multiple sclerosis,in genetically susceptible people
182,GlaxoSmithKine's Energix B,contain 0.5mg,aluminum,
183,GlaxoSmithKine's Energix B,licensed as,Thimerosal-free,
184,aluminum,may be even worse than,mercury,
185,exposures,we need to know what in combination mean to the health of children to turn around the tide of,autism,
186,exposures,need to know what they mean in combination for,health of children,
187,thimerosal,is,safe,
188,studies,dispute,industry-funded findings,
189,industry-funded findings,that safe to inject,thimerosal,
190,thimerosal,used as,preservative,
191,thimerosal,induces,neural damage,study published in journal Toxicological & Environmental Chemistry in June this year
192,neural damage,from thimerosal similar to that seen in,autism patients,
193,thimerosal,induces,thimerosal-induced cellular damage,
194,thimerosal-induced cellular damage,led to,mitochondrial damage,concentration-dependent
195,thimerosal-induced cellular damage,led to,reduced oxidative-reduction activity,time-dependent
196,thimerosal-induced cellular damage,led to,cellular degeneration,
197,thimerosal-induced cellular damage,led to,cell death,
198,thimerosal,even low concentrations induced significant,cellular toxicity,
199,thimerosal,found to be significantly more toxic than other,metal compounds,
200,Robert F. Kennedy Jr.,wrote Rolling Stone article exposing truth about,drug industry's greed,
201,Robert F. Kennedy Jr.,exposing truth about,secret gathering,
202,top government scientists,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
203,top health officials,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
204,CDC officials,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
205,FDA officials,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
206,WHO vaccine specialists,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
207,vaccine manufacturer representatives,secretly gathered to discuss use of in childhood vaccines,thimerosal,according to Kennedy's account
208,drug industry,hatched up plan to cover up dangers,thimerosal,
209,thimerosal,is,toxic heavy metal,
210,thimerosal,appeared to be responsible for drastic increase in,autism,data indicated
211,thimerosal,appeared to be responsible for drastic increase among children,other neurological disorders,
212,group of top government scientists and health officials,did not take every precaution to protect,public health,
213,group of top government scientists and health officials,plotting how to protect,industry,
214,group of top government scientists and health officials,plotting how to protect industry's bottom line by getting rid of,troubling data,
215,thimerosal,was eventually removed from the majority of,childhood vaccines,in 2001
216,thimerosal,is still used in some,multi-dose vials,
217,thimerosal,is present in nearly all,seasonal flu vaccines,
218,swine flu vaccines,many will contain 25 mcg of,mercury,
219,low-level mercury poisoning,study confirming link between,autism spectrum disorder,recent study published in Journal of Neurological Sciences in September 2008
220,children with severe ASDs,found to have significantly higher levels of,mercury intoxication,in comparison to children with mild ASDs
221,children with severe ASDs,higher levels of mercury intoxication than,children with mild ASDs,
222,glutathione,key biochemical in body's pathway,mercury detoxification,
223,glutathione,significantly lower in patients diagnosed with,ASD,
224,lower glutahione levels,related to,greater severity of autism,
225,mercury,is not the only toxin that can affect,glutathione levels,although this study shows relationship between loewr glutathione levels and greater severity of autism
226,toxins,plethora in your daily environment that contribute to,toxic load,
227,toxins,any number may be contributing to,problem,
228,toxic microbes,may be significant contributing factor to,autism,
229,endotoxins,may be significant contributing factor to,autism,
230,phthalates,may be significant contributing factor to,autism,
231,electromagnetic fields,may be significant contributing factor to,autism,
232,environmental chemicals,may be significant contributing factors to,autism,
233,environmental chemicals,like,phthalates,
234,vitamin D deficiency,recently implicated as,underlying condition,
235,squalene,is another dangerous,vaccine ingredient,
236,National Vaccine Information Center,leader for,vaccine safety,
