"","id","label","community"
"138","138","early treatment",11
"139","139","hypotheses",5
"140","140","vaccine benefits",3
"141","141","responsibility",6
"142","142","vaccine-free day care centres",3
"143","143","senators",14
"144","144","Mississippi",4
"145","145","epidemiologist",15
"146","146","tax benefits",19
"147","147","vaccinated",6
"148","148","political issues",7
"149","149","vaccinations should be voluntary",6
"150","150","observational",5
"151","151","Catholics",6
"152","152","non-judgmental environment",3
"153","153","kindergarten",4
"154","154","West Virginia",4
"155","155","variety of medical conditions",10
"156","156","rubella outbreak",18
"157","157","physicians",3
"158","158","California Coalition for Health Choice",14
"159","159","childcare services",17
"160","160","increased sensitivity to light",11
"161","161","HPV vaccine recommendations",10
"162","162","safety concern",2
"163","163","safe",11
"164","164","new transmission",18
"165","165","vaccine fear",6
"166","166","brain development",5
"167","167","Vaccine Free Family Day Care",14
"168","168","infectious disease mortality",6
"169","169","Merck",15
"170","170","schools",20
"171","171","mystery",15
"172","172","prophylaxis",10
"173","173","India",17
"174","174","Disneyland measles outbreak",6
"175","175","religious doctrine",4
"176","176","measles experience",6
"177","177","minority views",21
"178","178","vaccine message",1
"179","179","Muslim leaders",6
"180","180","developing countries",15
"181","181","distrust of medical establishment",3
"182","182","children with family history of autism",5
"183","183","immune memory cells",6
"184","184","democrat",3
"185","185","Victoria's health minister",3
"186","186","infant mortality",6
"187","187","childcare benefits",19
"188","188","worried",3
"189","189","parental rights",3
"190","190","health officials",1
"191","191","state-level policy",6
"192","192","activism",14
"193","193","research",15
"194","194","private schools",20
"195","195","women without previous HPV",10
"196","196","parents who refuse to vaccinate their children",19
"197","197","Andrew Wakefield",12
"198","198","issue",17
"199","199","parental responsibility",1
"200","200","theory",5
"201","201","parents who choose to delay vaccination",1
"202","202","caregivers",18
"203","203","United States",16
"204","204","members",6
"205","205","Gardasil",10
"206","206","immune response",3
"207","207","unvaccinated clusters",6
"208","208","benefits",15
"209","209","wealthy regions",4
"210","210","anti-vaccination",14
"211","211","threat",20
"212","212","state legislatures",4
"213","213","Prabhupada Village",6
"214","214","Washington State public-private pilot program",1
"215","215","women previously exposed to HPV",10
"216","216","strong-arm tactics",3
"217","217","Dr. Adams",3
"218","218","genital warts",10
"219","219","daily activities",11
"220","220","vast amounts of time",12
"221","221","at-risk unvaccinated children",5
"222","222","seizures",6
"223","223","legitimate reasons",3
"224","224","prohibits vaccinating members",4
"225","225","adult vaccination program",18
"226","226","small nudges",16
"227","227","pneumonia deaths",15
"228","228","girls",10
"229","229","vaccination of pregnant women",6
"230","230","anyone",11
"231","231","compromise",4
"232","232","Disneyland",6
"233","233","2014-2015 FLULAVAL QUADRIVALENT flu vaccine",2
"234","234","vaccine hesitancy",3
"235","235","headache",11
"236","236","early childcare advocacy group",3
"237","237","uninformed",4
"238","238","doctors",3
"239","239","true-believer cohort",21
"240","240","risk of cervical dysplasia",6
"241","241","Colorado",16
"242","242","right to personal exemptions",4
"243","243","pneumonia",6
"244","244","written down",6
"245","245","risk of mumps",3
"246","246","behavioral interventions",5
"247","247","elite list",18
"248","248","resurgence in potentially fatal childhood infectious diseases",17
"249","249","anus",10
"250","250","vaccine campaign",5
"251","251","argument",14
"252","252","conspiracy",7
"253","253","childcare",4
"254","254","unlikely",5
"255","255","smallpox",18
"256","256","protective effect of vaccines",5
"257","257","non-medical reasons for exemption",4
"258","258","retracted",12
"259","259","MMR vaccine",5
"260","260","allergies",4
"261","261","policy makers",3
"262","262","ideas",4
"263","263","bacteria",11
"264","264","cervical dysplasia",10
"265","265","birth defects",18
"266","266","preschoolers",4
"267","267","Waldorf School of Princeton",20
"268","268","social issues",7
"269","269","government rebates",5
"270","270","pain",11
"271","271","normal",6
"272","272","HPV vaccine benefits",11
"273","273","medical exemption",4
"274","274","Los Angeles County",4
"275","275","ear infections",6
"276","276","autism rate",5
"277","277","virus",4
"278","278","unvaccinated workers",17
"279","279","childhood disease",6
"280","280","risk to pregnant women",5
"281","281","environmental factors",5
"282","282","pro-vaccination",1
"283","283","reduction in child mortality",15
"284","284","consequences",14
"285","285","young adults",11
"286","286","at-risk vaccinated children",5
"287","287","personal belief exemption",4
"288","288","part of the story",1
"289","289","disease",6
"290","290","mental disorders",6
"291","291","Sydney, Australia",3
"292","292","swelling",11
"293","293","celebrities",8
"294","294","social network",20
"295","295","Jewish dietary laws",6
"296","296","Hinduism",6
"297","297","vaccine potency",2
"298","298","presidential candidates",4
"299","299","fear",5
"300","300","reduction in mortality",15
"301","301","World Health Organization",18
"302","302","delaying Gardasil",3
"303","303","autism risk",5
"304","304","severe symptoms",18
"305","305","children without autistic sibling",5
"306","306","what we already knew",5
"307","307","immune amnesia",5
"308","308","herd immunity",6
"309","309","respiratory secretions",11
"310","310","vaccine efficacy",10
"311","311","public health",6
"312","312","medical conditions",10
"313","313","opponent of sanity-oriented legislation",21
"314","314","children with neurodevelopmental issues",5
"315","315","recommended vaccines",11
"316","316","genetic predisposition",5
"317","317","unethical",5
"318","318","public schools",20
"319","319","random cases",11
"320","320","imitation infection",6
"321","321","voluntary",6
"322","322","NIH",5
"323","323","meningococcal outbreak",1
"324","324","orthodox Hasidic Jews",17
"325","325","Federal Circuit",10
"326","326","opportunistic infections",15
"327","327","unvaccinated high-risk children",5
"328","328","false concerns",5
"329","329","at risk",10
"330","330","gift from God",17
"331","331","Afghanistan",7
"332","332","medical law",6
"333","333","Caribbean",18
"334","334","free vaccine",6
"335","335","testing",5
"336","336","vaccine refusal",3
"337","337","sex",10
"338","338","backfire",3
"339","339","Jehovah's Witnesses",6
"340","340","arm",11
"341","341","Senator Rand Paul",6
"342","342","efficacious",6
"343","343","William Moss",15
"344","344","vaccinated children and unvaccinated children",5
"345","345","diarrhea deaths",15
"346","346","vaccines",6
"347","347","Los Angeles",4
"348","348","behavioral research",3
"349","349","teens",11
"350","350","unconscionable",14
"351","351","Department of Public Health Immunization Program",3
"352","352","cervical cancer",10
"353","353","MMR vaccine doesn't trigger autism",5
"354","354","we",14
"355","355","government policy",1
"356","356","free vaccine eligible",10
"357","357","confusion",11
"358","358","absolute objection",17
"359","359","models of disease",6
"360","360","ages 14 to 17",10
"361","361","flu vaccine recall",2
"362","362","approval",4
"363","363","mortality rate decrease",15
"364","364","vaccine-autism link",5
"365","365","scientific paper",5
"366","366","Catholic parents",13
"367","367","vaccines cause autism",14
"368","368","recommended vaccine schedule",1
"369","369","new version of Gardasil",10
"370","370","cancer",10
"371","371","reasons",4
"372","372","saved lives",6
"373","373","community",1
"374","374","measles vaccination",16
"375","375","church",17
"376","376","high vaccination rates",17
"377","377","symptoms",11
"378","378","ages 11 or 12",10
"379","379","interventions",17
"380","380","computer models",15
"381","381","California",17
"382","382","risk of rubella",3
"383","383","controversial bill",4
"384","384","healthy people",11
"385","385","Islamic principles",6
"386","386","polio vaccine opposition",7
"387","387","preteens",11
"388","388","families",14
"389","389","meningitis",10
"390","390","measles",6
"391","391","republicans",4
"392","392","early diagnosis",11
"393","393","pediatricians",9
"394","394","evidence",15
"395","395","hardness of the skin",11
"396","396","CDC",10
"397","397","pharmacological interventions",5
"398","398","hesitant parents",9
"399","399","hospitalizations",6
"400","400","three doses Gardasil",10
"401","401","11-18 year olds",11
"402","402","exist",5
"403","403","rubella vaccine",13
"404","404","employees",5
"405","405","decline in vaccination rates",17
"406","406","children with autism",7
"407","407","cluster",20
"408","408","abnormal cells",10
"409","409","immune system",6
"410","410","theological issues",7
"411","411","triple hit",5
"412","412","pregnant women",18
"413","413","Mina study",15
"414","414","immunosuppression",6
"415","415","severity",5
"416","416","vaccines are safe",5
"417","417","one dose Gardasil",10
"418","418","new strategies",17
"419","419","GlaxoSmithKline",2
"420","420","state-level policies",6
"421","421","daughters",3
"422","422","home-school",3
"423","423","protect the kid next to you",6
"424","424","HPV",10
"425","425","multi-site protection",10
"426","426","other meningococcal disease cases",11
"427","427","risk of fainting",11
"428","428","bad news",6
"429","429","family tax benefit",19
"430","430","party lines",4
"431","431","programs",17
"432","432","German measles",18
"433","433","harmful association",5
"434","434","fever",11
"435","435","partial protection",10
"436","436","prevention",3
"437","437","mumps vaccine",17
"438","438","unvaccinated children",5
"439","439","reduced effectiveness",2
"440","440","vaccines cause neurological problems",14
"441","441","promising news",18
"442","442","eliminated virus",18
"443","443","unable to speak",7
"444","444","Dutch Bible belt",6
"445","445","high-risk types of HPV",10
"446","446","cervix",10
"447","447","sterilize Muslims",7
"448","448","vaccine safety",15
"449","449","whooping cough",6
"450","450","parents",3
"451","451","rubella elimination",5
"452","452","revaccinated",6
"453","453","anti-vaccine eugenics community",6
"454","454","personal belief reasons",3
"455","455","vaccine-preventable diseases",6
"456","456","careers",8
"457","457","insurance claims",5
"458","458","victims",6
"459","459","myth",5
"460","460","Gardasil 4",10
"461","461","Gardasil 9",10
"462","462","minor symptoms",6
"463","463","vaccinated girls",10
"464","464","JAMA study",5
"465","465","projects",14
"466","466","Pakistan",7
"467","467","Western Hemisphere",18
"468","468","preventable disease",6
"469","469","aborted fetuses",13
"470","470","children at higher risk for autism",5
"471","471","people",4
"472","472","Dutch reformed churches",17
"473","473","vaccine delay",3
"474","474","hepatitis A vaccine",13
"475","475","vaccination rate",17
"476","476","run down feeling",11
"477","477","driving factors",1
"478","478","make plans ahead of time",9
"479","479","nervous system problems",11
"480","480","long-term disabilities",11
"481","481","magnitude of benefits",11
"482","482","vaccinated children",5
"483","483","HPV strains",10
"484","484","religion",6
"485","485","measles vaccine",15
"486","486","developmental disability",5
"487","487","infectious disease",6
"488","488","University of Minnesota",14
"489","489","Muslim fundamentalists",7
"490","490","serogroup C",11
"491","491","serogroup B",11
"492","492","side effects",11
"493","493","children with cancer",6
"494","494","tuition",20
"495","495","state vaccination rates",1
"496","496","serogroup Y",11
"497","497","whooping cough vaccine",6
"498","498","vaccine",10
"499","499","Cervarix",10
"500","500","Jill Hennessy",3
"501","501","world",18
"502","502","Johns Hopkins University",15
"503","503","Dr. Mark Schleiss",14
"504","504","carrier",11
"505","505","Americans",3
"506","506","mouth",10
"507","507","mothers with pregnancy-related diabetes",5
"508","508","true cause of autism",14
"509","509","meningococcal vaccine",11
"510","510","commitment",21
"511","511","childhood mortality",6
"512","512","Eagle Mountain International Church",14
"513","513","Pan American Health Organization",18
"514","514","one child",6
"515","515","health benefits",15
"516","516","MMR vaccine safety",5
"517","517","vaccination",6
"518","518","outbreaks",6
"519","519","religious beliefs",3
"520","520","fast",3
"521","521","early education",6
"522","522","Dr. Bill Adams",3
"523","523","HPV vaccine",10
"524","524","Senator Jeff Stone",5
"525","525","funds",6
"526","526","peers",3
"527","527","boys",10
"528","528","link",6
"529","529","reassurance",5
"530","530","three-dose course",10
"531","531","fraud",12
"532","532","vaccine success",3
"533","533","complications",6
"534","534","childcare rebate",19
"535","535","infants",6
"536","536","money",14
"537","537","adults",19
"538","538","deaths",11
"539","539","vaccine debate",15
"540","540","sales",15
"541","541","vaccinated individuals",6
"542","542","pig",6
"543","543","sibling",6
"544","544","health care",6
"545","545","vaccine mandates",3
"546","546","vaccination policy",3
"547","547","social norms",6
"548","548","education",4
"549","549","autism",5
"550","550","sibling with autism",5
"551","551","preventing cancer",10
"552","552","National Institutes of Health",14
"553","553","SB 277",4
"554","554","California governor",3
"555","555","field",15
"556","556","vaccine requirements",3
"557","557","role",5
"558","558","The Lancet",10
"559","559","sexually active",10
"560","560","immunity",6
"561","561","expected",6
"562","562","sense of urgency",3
"563","563","rubella",18
"564","564","former gastroenterologist",12
"565","565","varicella vaccine",13
"566","566","Governor Jerry Brown",4
"567","567","serogroups",11
"568","568","HPV infection",10
"569","569","variation",1
"570","570","loss of limb",11
"571","571","Early Childhood Australia",3
"572","572","religious groups",6
"573","573","age 26",10
"574","574","Robert F. Kennedy Jr.",7
"575","575","friends",3
"576","576","Catholic Church",1
"577","577","Amish",6
"578","578","scheduled appointment",3
"579","579","meningococcal disease symptoms",11
"580","580","Netherlands Reformed Congregation",6
"581","581","immune protection",6
"582","582","environmental trigger",5
"583","583","time",14
"584","584","overseas",17
"585","585","Tdap vaccine",18
